"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Ledy","Ledy","Ledy","Ledy","Ledy","Ledy","Ledy","Ledy"
"Region","Shebel Berenta","Shebel Berenta","Shebel Berenta","Shebel Berenta","Shebel Berenta","Shebel Berenta","Shebel Berenta","Shebel Berenta"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","21","21","0.14","46","54","0.05","66.73","0"
"1984-1977","0","46","0.65","44","55","0.08","43.7","0"
"1985-1978","100","3","0.03","0","75","1","100","0"
"1986-1979","0","65","0.89","0","75","1","0","0"
"1987-1980","0","38","0.51","27","62","0.14","27.42","0"
"1988-1981","11","23","0.22","0","75","1","10.91","0"
"1989-1982","49","15","0.08","0","75","1","48.66","0"
"1990-1983","0","32","0.41","0","75","1","0","0"
"1991-1984","0","38","0.49","0","75","1","0","1"
"1992-1985","18","21","0.16","33","60","0.11","51.32","0"
"1993-1986","0","56","0.78","0","75","1","0","1"
"1994-1987","0","57","0.81","0","75","1","0","1"
"1995-1988","0","28","0.32","0","75","1","0","0"
"1996-1989","0","50","0.73","0","75","1","0","0"
"1997-1990","0","75","1","0","75","1","0","1"
"1998-1991","0","44","0.62","0","75","1","0","0"
"1999-1992","0","42","0.54","0","75","1","0","0"
"2000-1993","0","31","0.38","0","75","1","0","0"
"2001-1994","0","75","0.97","0","75","1","0","0"
"2002-1995","0","32","0.43","3","73","0.22","2.74","0"
"2003-1996","12","23","0.19","0","75","1","11.96","0"
"2004-1997","0","25","0.3","8","70","0.19","8.33","0"
"2005-1998","30","19","0.11","0","75","1","30.2","0"
"2006-1999","0","35","0.46","0","74","0.24","0.47","0"
"2007-2000","0","44","0.59","0","75","1","0","0"
"2008-2001","0","66","0.92","0","75","1","0","0"
"2009-2002","0","50","0.73","0","75","1","0","0"
"2010-2003","0","29","0.35","23","64","0.16","22.77","0"
"2011-2004","0","50","0.76","0","75","1","0","1"
"2012-2005","0","25","0.3","0","75","1","0","0"
"2013-2006","0","42","0.57","0","75","1","0","0"
"2014-2007","0","25","0.3","0","75","1","0","0"
"2015-2008","0","46","0.68","82","39","0.03","82.1","0"
"2016-2009","0","64","0.86","0","75","1","0","0"
"2017-2010","100","4","0.05","0","75","1","100","0"
"2018-2011","0","72","0.95","0","75","1","0","0"
"2019-2012","0","61","0.84","0","75","1","0","0"
