"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.19","0.43","0.24","0.54","0.19","0.05",,"0.78"
"Abara","0.14","0.59","0.11","0.08","0.14","0.43",,"0.25"
"Abarwuha","0.11","0.73","0.05","0.43","0.11","0.19",,"0.22"
"Abaselima","0.08","0.59","0.14","0.27","0.08","0.41",,"0.25"
"Abina","0.19","0.57","0.16","0.24","0.19","0.16",,"0.78"
"AbrahaAtsbaha","0.84","0.76","0.27","0.22","0.84","0.03",,"0.22"
"Abrekuy","0.14","0.62","0.19","0.38","0.14","0.3",,"0.25"
"AdekeAla","0.68","0.59","0.38","0.16","0.68","0.08",,"0.88"
"Adekiney","0.51","0.86","0.57","0.68","0.51","0.22",,"0.28"
"AderSeg","0.19","0.46","0.19","0.54","0.19","0.11",,"0.78"
"Adibearj","0.68","0.62","0.35","0.46","0.68","0.27",,"0.56"
"AdiHa","0.68","0.41","0.22","0.27","0.68","0.08",,"0.69"
"AdiKisandid","0.84","0.84","0.62","0.62","0.84","0.38",,"0.22"
"Adisalem","0.24","0.59","0.22","0.32","0.24","0.22",,"0.5"
"AdisAlemS","0.68","0.59","0.19","0.11","0.68","0.08",,"0.88"
"AdisAlemW","0.84","0.59","0.14","0.22","0.84","0.19",,"0.5"
"Adiselam","0.49","0.35","0.16","0.27","0.49","0.11",,"0.91"
"Adishimbirkti","1","0.7","0.3","0.73","1","0.84",,"0.47"
"AdisKigni","0.84","0.78","0.51","0.78","0.84","0.32",,"0.78"
"Adiyikoro","0.84","0.73","0.22","0.27","0.84","0.05",,"0.5"
"Adizata","0.84","0.68","0.27","0.51","0.84","0.05",,"0.5"
"Adreb","0.57","0.14","0.16","0.24","0.57","0.08",,"0.91"
"AgazenMeda","0.11","0.73","0.05","0.24","0.11","0.08",,"0.22"
"Agazi","1","0.81","0.76","0.76","1","0.08",,"0.34"
"Agbe","0.7","0.19","0.24","0.22","0.7","0.11",,"0.69"
"Agela","0.05","0.54","0.35","0.62","0.05","0.54",,"0.94"
"Agid","0.65","0.54","1","0.59","0.65","0.14",,"0.81"
"AlemeTesfa","0.19","0.62","0.32","0.32","0.19","0.08",,"0.5"
"AmdiWeyane","0.68","0.51","0.19","0.11","0.68","0.08",,"0.88"
"Amedwuha","0.95","0.51","0.19","0.43","0.95","0.16",,"0.59"
"Ameno","0.24","0.59","0.24","0.54","0.24","0.03",,"0.94"
"Amisetya","0.86","0.57","0.24","0.3","0.86","0.19",,"0.62"
"Angot","0.11","1","0.05","0.3","0.11","0.27",,"0.22"
"Anigot","0.05","0.54","0.54","0.68","0.05","0.22",,"0.94"
"Ansheb","0.11","0.62","0.11","0.16","0.11","0.51",,"0.09"
"AquaShumoch","0.05","0.59","0.08","0.05","0.05","0.27",,"0.81"
"Aquha","0.32","0.57","0.24","0.27","0.32","0.16",,"0.62"
"Arena","0.81","0.76","0.16","0.22","0.81","0.16",,"0.81"
"Asmena","1","0.89","0.73","0.78","1","0.22",,"0.34"
"Asta","0.05","0.59","0.35","0.51","0.05","0.08",,"0.94"
"Atakilti","0.46","0.08","0.11","0.16","0.46","0.05",,"0.81"
"AwetBikalsi","0.68","0.22","0.16","0.08","0.68","0.08",,"0.69"
"AwusaMeda","0.19","0.62","0.16","0.22","0.19","0.05",,"0.5"
"Ayba","0.68","0.68","0.43","0.73","0.68","0.59",,"0.69"
"Aynalem","0.84","0.65","0.43","0.38","0.84","0.38",,"0.22"
"Bala","0.84","0.78","0.51","0.78","0.84","0.32",,"0.78"
"Balarab","0.86","0.57","0.22","0.19","0.86","0.32",,"0.62"
"Bamba","0.62","0.32","0.11","0.11","0.62","0.08",,"0.88"
"BarkaAdiswha","0.89","0.51","0.73","0.73","0.89","0.24",,"0.22"
"Begasheka","0.51","0.14","0.14","0.14","0.51","0.03",,"0.81"
"Berlay","0.16","0.62","0.05","0.14","0.16","0.43",,"0.5"
"Betgebez","0.81","0.59","0.19","0.49","0.81","0.22",,"0.81"
"Bethans","0.81","0.54","0.14","0.3","0.81","0.03",,"0.25"
"BilbWuha","0.11","0.38","0.16","0.51","0.11","0.08",,"0.69"
"Birkutea","0.03","0.54","0.27","0.54","0.03","0.03",,"0.94"
"Boneya","0.08","0.59","0.11","0.11","0.08","0.35",,"0.25"
"Burkoche","0.81","0.65","0.24","0.27","0.81","0.08",,"0.62"
"Cheli","0.59","0.51","0.14","0.08","0.59","0.05",,"0.88"
"Darubekeda","0.95","0.65","0.32","0.59","0.95","0.08",,"0.47"
"Deberkerbye","0.62","0.35","0.19","0.08","0.62","0.05",,"0.34"
"DeberAbaJale","0.05","0.54","0.11","0.38","0.05","0.08",,"0.81"
"DebrAbay","0.22","0.62","0.14","0.16","0.22","0.22",,"0.5"
"DebreAliays","0.16","0.59","0.27","0.35","0.16","0.08",,"0.5"
"Debrebirhan","0.81","0.89","0.3","0.24","0.81","0.03",,"0.44"
"Debrebrhan","0.81","0.59","0.43","0.38","0.81","0.62",,"0.47"
"DebreGenet","0.11","0.86","0.08","0.16","0.11","0.27",,"0.5"
"DebreGenetA","0.68","0.54","0.11","0.11","0.68","0.03",,"0.25"
"DebreGenetK","0.54","0.27","0.05","0.05","0.54","0.05",,"0.81"
"DebreGeorgis","0.19","0.62","0.3","0.27","0.19","0.14",,"0.5"
"DebreKidusan","0.14","0.81","0.08","0.16","0.14","0.14",,"0.5"
"Debremawie","0.16","0.62","0.14","0.22","0.16","0.24",,"0.5"
"Debreselam","0.81","0.86","0.3","0.3","0.81","0.05",,"0.44"
"Debrinetseb","0.43","0.08","0.24","0.27","0.43","0.08",,"0.81"
"Dekera","0.73","0.35","0.05","0.08","0.73","0.16",,"0.94"
"DembezaAmbaLay","0.16","0.62","0.14","0.24","0.16","0.35",,"0.5"
"Derit","0.14","0.59","0.03","0.19","0.14","0.11",,"0.22"
"Derita","0.05","0.62","0.27","0.59","0.05","0.03",,"0.94"
"Dinkashena","0.84","0.62","0.24","0.43","0.84","0.05",,"0.72"
"Ebo","0.7","0.78","0.35","0.68","0.7","0.89",,"0.69"
"Edagaarbi","0.86","0.73","0.38","0.65","0.86","0.11",,"0.66"
"EmbaAhfrom","0.86","0.84","0.35","0.54","0.86","0.14",,"0.5"
"EmbachekoGunaguna","0.05","0.59","0.14","0.08","0.05","0.24",,"0.81"
"EndaBagerima","0.81","0.68","0.24","0.35","0.81","0.05",,"0.25"
"Endabano","0.54","0.32","0.19","0.24","0.54","0.03",,"0.53"
"Endachiwa","0.68","0.65","0.32","0.3","0.68","0.03",,"0.5"
"EndaFelasi","0.54","0.41","0.14","0.32","0.54","0.24",,"0.53"
"Endagahamus","0.59","0.73","0.27","0.19","0.59","0.22",,"0.5"
"Endamariam","0.78","0.59","0.27","0.54","0.78","0.16",,"0.81"
"Erba","0.84","0.84","0.51","0.78","0.84","0.59",,"0.75"
"Esiret","0.59","0.46","0.14","0.14","0.59","0.08",,"0.88"
"Estifanos","0.03","0.54","0.35","0.59","0.03","0.19",,"0.94"
"Fala","0.92","0.62","0.38","0.62","0.92","0.32",,"0.62"
"Felegehiwot","0.11","0.81","0.08","0.24","0.11","0.46",,"0.5"
"FelegeWayane","0.78","0.81","0.7","0.62","0.78","0.38",,"0.22"
"FikreAlem","0.51","0.57","0.14","0.08","0.51","0.54",,"0.72"
"Filatako","0.14","0.59","0.03","0.19","0.14","0.11",,"0.22"
"Gebsit","0.11","0.62","0.11","0.14","0.11","0.59",,"0.25"
"Gedayasu","0.11","0.62","0.11","0.16","0.11","0.43",,"0.09"
"GelaMatebiya","0.24","0.84","0.22","0.22","0.24","0.08",,"0.81"
"Gendebta","0.81","0.78","0.27","0.35","0.81","0.03",,"0.5"
"Geneti","0.81","0.89","0.43","0.68","0.81","0.84",,"0.69"
"Genfel","0.84","0.65","0.73","0.68","0.84","0.16",,"0.22"
"Gera","0.54","0.35","0.11","0.08","0.54","0.11",,"0.75"
"Gerjale","0.86","0.89","0.51","0.81","0.86","0.62",,"0.72"
"GetskiMilesiley","0.54","0.3","0.16","0.27","0.54","0.03",,"0.69"
"Gijet","0.73","0.59","0.24","0.27","0.73","0.05",,"0.69"
"Ginaza","0.32","0.54","1","1","0.32","0.46",,"0.81"
"Golgolemalee","0.78","0.68","0.57","0.59","0.78","0.27",,"0.22"
"Goshedur","0.11","0.81","0.08","0.27","0.11","0.41",,"0.5"
"Goza","0.11","0.41","0.14","0.46","0.11","0.05",,"0.69"
"Grwre","0.51","0.27","0.22","0.24","0.51","0.19",,"0.75"
"GuemseAgamet","0.92","0.81","0.59","0.73","0.92","0.38",,"0.34"
"Guroro","0.43","0.08","0.11","0.19","0.43","0.05",,"0.81"
"Guya","0.43","0.08","0.19","0.11","0.43","0.05",,"0.81"
"Habees","0.89","0.65","0.7","0.68","0.89","0.32",,"0.22"
"Hadashtekli","0.59","0.14","0.11","0.08","0.59","0.11",,"0.69"
"HadeAlga","0.89","0.81","0.43","0.81","0.89","0.54",,"0.75"
"HadnetK","0.78","0.41","0.49","0.35","0.78","0.41",,"0.44"
"HadnetS","1","0.81","0.76","0.76","1","0.08",,"0.34"
"HadushAdi","0.95","0.81","0.68","0.78","0.95","0.11",,"0.34"
"HadushHiwet","1","0.92","0.62","0.78","1","0.22",,"0.34"
"HagereGenet","0.14","0.86","0.16","0.22","0.14","0.22",,"0.5"
"HagereSelamE","0.22","0.62","0.19","0.32","0.22","0.22",,"0.5"
"HagereSelamW","0.62","0.3","0.43","0.16","0.62","0.54",,"0.88"
"Hangoda","1","0.81","0.76","0.76","1","0.08",,"0.34"
"Hareko","0.81","0.41","0.16","0.22","0.81","0.3",,"0.78"
"Hawelti","0.81","0.81","0.43","0.81","0.81","0.92",,"0.69"
"Hayelom","0.84","0.76","0.43","0.38","0.84","0.03",,"0.44"
"Hintsa","0.68","0.49","0.14","0.03","0.68","0.14",,"0.88"
"HintsaWaza","0.68","0.49","0.16","0.08","0.68","0.14",,"0.88"
"HizbaTeklehymanot","0.68","0.7","0.38","0.65","0.68","0.68",,"0.69"
"ImbaRufael","0.54","0.35","0.16","0.16","0.54","0.22",,"0.75"
"Jijqe","0.46","0.05","0.16","0.22","0.46","0.03",,"0.81"
"JimanDeregeha","0.11","0.59","0.11","0.05","0.11","0.05",,"0.81"
"Jira","0.46","1","0.14","0.38","0.46","0.11",,"0.5"
"kabe","0.49","0.51","1","1","0.49","0.22",,"0.81"
"Karima","0.11","0.86","0.11","0.16","0.11","0.46",,"0.09"
"Keregna","0.65","0.54","1","1","0.65","0.05",,"0.81"
"Kihen","0.43","0.35","0.49","0.27","0.43","0.38",,"0.44"
"Kita","0.97","0.62","0.3","0.27","0.97","0.11",,"0.62"
"Korme","0.86","0.92","0.46","0.76","0.86","0.62",,"0.72"
"Ksadacki","0.49","0.05","0.11","0.24","0.49","0.14",,"0.91"
"Kudo","0.86","0.84","0.41","0.57","0.86","0.11",,"0.5"
"Kuluferha","0.62","0.62","0.49","0.49","0.62","0.27",,"0.53"
"KuluGizeLemlem","0.84","0.78","0.49","0.78","0.84","0.3",,"0.78"
"LaelayDayu","0.86","0.84","0.49","0.78","0.86","0.32",,"0.78"
"Laelayhahaile","0.86","0.81","0.27","0.49","0.86","0.08",,"0.5"
"LaelayMegariaTsemri","0.78","0.41","0.27","0.51","0.78","0.05",,"0.81"
"Lalaylogomti","0.68","0.76","0.19","0.24","0.68","0.19",,"0.5"
"Ledy","0.14","0.62","0.24","0.35","0.14","0.43",,"0.25"
"Lemlem","0.68","0.35","0.14","0.19","0.68","0.14",,"0.94"
"LemlemArena","0.78","0.19","0.24","0.41","0.78","0.19",,"0.78"
"Libo ","0.24","0.62","0.24","0.35","0.24","0.03",,"0.94"
"Limaat","0.84","0.78","0.51","0.78","0.84","0.73",,"0.78"
"Limat","0.54","0.14","0.19","0.24","0.54","0.05",,"0.81"
"Lul","0.24","0.62","0.11","0.16","0.24","0.3",,"0.09"
"LusinaAbegeldi","0.24","0.86","0.22","0.22","0.24","0.24",,"0.81"
"Maekelawi","0.59","0.73","0.27","0.19","0.59","0.22",,"0.5"
