"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","1","1","1","1","1","0.78","0.45","1"
"Abara","1","1","1","1","1","0.41","0.55","0.91"
"Abarwuha","1","1","1","1","1","0.19","0.27","0.94"
"Abaselima","1","1","1","1","1","0.57","0.55","0.91"
"Abina","1","1","1","1","1","0.89","0.55","1"
"AbrahaAtsbaha","1","1","1","1","1","0.65","0.64","0.97"
"Abrekuy","1","1","1","1","1","0.22","0.45","0.91"
"AdekeAla","1","1","1","1","1","0.43","0.45","1"
"Adekiney","1","1","1","1","1","0.54","0.45","0.97"
"AderSeg","1","1","1","1","1","0.81","0.45","1"
"Adibearj","1","1","1","1","1","0.35","0.27","1"
"AdiHa","1","1","1","1","1","0.68","0.45","1"
"AdiKisandid","1","1","1","1","1","0.89","0.64","0.97"
"Adisalem","1","1","1","0.08","1","0.27","0.36","0.84"
"AdisAlemS","1","1","1","1","1","0.59","0.45","1"
"AdisAlemW","1","1","1","1","1","0.51","0.36","0.97"
"Adiselam","1","1","1","1","1","0.22","0.36","0.97"
"Adishimbirkti","1","1","1","1","1","0.7","0.45","1"
"AdisKigni","1","1","1","1","1","0.68","0.36","0.84"
"Adiyikoro","1","1","1","1","1","0.51","0.36","0.97"
"Adizata","1","1","1","1","1","0.57","0.45","0.97"
"Adreb","1","1","1","1","1","0.54","0.27","0.97"
"AgazenMeda","1","1","1","0.19","1","0.27","0.27","0.94"
"Agazi","1","1","1","1","1","0.59","0.55","1"
"Agbe","1","1","1","1","1","0.54","0.45","1"
"Agela","1","1","1","1","1","0.14","0.18","0.97"
"Agid","1","1","1","1","1","0.24","0.18","1"
"AlemeTesfa","1","1","1","0.32","1","0.32","0.36","0.84"
"AmdiWeyane","1","1","1","1","1","0.57","0.55","1"
"Amedwuha","1","1","1","1","1","0.78","0.45","0.97"
"Ameno","1","1","1","1","1","0.51","0.18","0.97"
"Amisetya","1","1","1","1","1","0.84","0.64","1"
"Angot","1","1","1","1","1","0.22","0.27","0.94"
"Anigot","1","1","1","1","1","0.24","0.18","0.97"
"Ansheb","1","1","1","0.19","1","0.51","0.55","0.81"
"AquaShumoch","1","1","1","1","1","0.27","0.09","0.97"
"Aquha","1","1","1","1","1","0.95","0.55","1"
"Arena","1","1","1","1","1","0.68","0.45","1"
"Asmena","1","1","1","1","1","0.62","0.27","1"
"Asta","0.19","1","1","1","0.19","0.22","0.18","0.97"
"Atakilti","1","1","1","1","1","0.24","0.27","1"
"AwetBikalsi","1","1","1","1","1","0.49","0.45","1"
"AwusaMeda","1","1","1","0.24","1","0.38","0.27","0.84"
"Ayba","1","1","1","1","1","0.65","0.36","0.97"
"Aynalem","1","1","1","1","1","0.7","0.73","0.97"
"Bala","1","1","1","1","1","0.54","0.45","0.84"
"Balarab","1","1","1","1","1","0.81","0.64","1"
"Bamba","1","1","1","1","1","0.49","0.82","1"
"BarkaAdiswha","1","1","1","1","1","0.46","0.64","0.97"
"Begasheka","1","1","1","1","1","0.62","0.36","1"
"Berlay","1","1","1","1","1","0.38","0.36","0.84"
"Betgebez","1","1","1","1","1","0.84","0.45","1"
"Bethans","1","1","1","1","1","0.38","0.27","1"
"BilbWuha","0.14","1","1","1","0.14","0.35","0.18","1"
"Birkutea","1","1","1","1","1","0.19","0.18","0.97"
"Boneya","1","1","1","1","1","0.43","0.55","0.91"
"Burkoche","1","1","1","1","1","0.92","0.55","1"
"Cheli","1","1","1","1","1","0.57","0.82","1"
"Darubekeda","1","1","1","1","1","0.46","0.64","1"
"Deberkerbye","1","1","1","1","1","0.11","0.36","0.97"
"DeberAbaJale","1","1","1","1","1","0.3","0.18","0.97"
"DebrAbay","1","1","1","1","1","0.46","0.45","0.84"
"DebreAliays","1","1","1","0.16","1","0.27","0.36","0.84"
"Debrebirhan","1","1","1","1","1","0.49","0.64","1"
"Debrebrhan","1","1","1","1","1","0.7","0.45","1"
"DebreGenet","1","1","1","1","1","0.24","0.36","0.84"
"DebreGenetA","1","1","1","1","1","0.73","0.27","1"
"DebreGenetK","1","1","1","1","1","0.62","0.45","1"
"DebreGeorgis","1","1","1","0.22","1","0.35","0.36","0.84"
"DebreKidusan","0.51","1","1","1","0.51","0.73","0.45","0.84"
"Debremawie","1","1","1","1","1","0.16","0.36","0.84"
"Debreselam","1","1","1","1","1","0.57","0.55","1"
"Debrinetseb","1","1","1","1","1","0.59","0.27","1"
"Dekera","1","1","1","1","1","0.57","0.82","1"
"DembezaAmbaLay","1","1","1","1","1","0.35","0.36","0.84"
"Derit","1","1","1","0.14","1","0.24","0.27","0.94"
"Derita","0.19","1","1","1","0.19","0.24","0.18","0.97"
"Dinkashena","1","1","1","1","1","0.65","0.64","0.97"
"Ebo","1","1","1","1","1","0.41","0.36","0.97"
"Edagaarbi","1","1","1","1","1","0.57","0.45","0.97"
"EmbaAhfrom","1","1","1","1","1","0.54","0.45","0.97"
"EmbachekoGunaguna","1","1","1","1","1","0.32","0.09","0.97"
"EndaBagerima","1","1","1","1","1","0.54","0.27","1"
"Endabano","1","1","1","1","1","0.97","0.27","1"
"Endachiwa","1","1","1","1","1","0.41","0.27","0.97"
"EndaFelasi","1","1","1","0.38","1","0.76","0.27","1"
"Endagahamus","1","1","1","0.46","1","0.86","0.27","0.97"
"Endamariam","1","1","1","1","1","0.59","0.45","1"
"Erba","1","1","1","1","1","0.32","0.36","0.78"
"Esiret","1","1","1","1","1","0.54","0.82","1"
"Estifanos","1","1","1","1","1","0.14","0.09","0.97"
"Fala","1","1","1","1","1","0.43","0.45","0.91"
"Felegehiwot","1","1","1","1","1","0.27","0.36","0.84"
"FelegeWayane","1","1","1","0.43","1","0.59","0.27","0.97"
"FikreAlem","1","1","1","1","1","0.76","0.55","0.94"
"Filatako","1","1","1","0.14","1","0.19","0.27","0.94"
"Gebsit","1","1","1","1","1","0.38","0.36","0.91"
"Gedayasu","1","1","1","1","1","0.43","0.36","0.81"
"GelaMatebiya","1","1","1","1","1","0.78","0.27","0.97"
"Gendebta","1","1","1","1","1","0.62","0.36","0.97"
"Geneti","1","1","1","1","1","0.57","0.45","0.97"
"Genfel","1","1","1","1","1","0.76","0.73","0.97"
"Gera","1","1","1","1","1","0.68","0.91","0.97"
"Gerjale","1","1","1","1","1","0.38","0.45","0.94"
"GetskiMilesiley","1","1","1","1","1","0.59","0.27","1"
"Gijet","1","1","1","1","1","0.51","0.45","1"
"Ginaza","1","1","1","1","1","0.11","0.18","1"
"Golgolemalee","1","1","1","1","1","0.68","0.27","0.97"
"Goshedur","1","1","1","1","1","0.11","0.36","0.84"
"Goza","0.14","1","1","1","0.14","0.35","0.18","1"
"Grwre","1","1","1","1","1","0.78","0.82","0.97"
"GuemseAgamet","1","1","1","1","1","0.76","0.64","1"
"Guroro","1","1","1","1","1","0.41","0.27","1"
"Guya","1","1","1","1","1","0.57","0.18","1"
"Habees","1","1","1","1","1","0.46","0.64","0.97"
"Hadashtekli","1","1","1","1","1","0.73","0.55","1"
"HadeAlga","1","1","1","1","1","0.49","0.45","0.78"
"HadnetK","1","1","1","1","1","0.76","0.27","0.97"
"HadnetS","1","1","1","1","1","0.59","0.55","1"
"HadushAdi","1","1","1","1","1","0.38","0.36","1"
"HadushHiwet","1","1","1","1","1","0.51","0.36","1"
"HagereGenet","0.51","1","1","1","0.51","0.62","0.45","0.84"
"HagereSelamE","1","1","1","1","1","0.65","0.45","0.84"
"HagereSelamW","1","1","1","1","1","0.7","0.55","1"
"Hangoda","1","1","1","1","1","0.59","0.55","1"
"Hareko","1","1","1","1","1","0.65","0.45","1"
"Hawelti","1","1","1","1","1","0.46","0.36","0.97"
"Hayelom","1","1","1","1","1","0.81","0.55","1"
"Hintsa","1","1","1","1","1","0.49","0.73","1"
"HintsaWaza","1","1","1","1","1","0.49","0.73","1"
"HizbaTeklehymanot","1","1","1","1","1","0.51","0.36","0.97"
"ImbaRufael","1","1","1","1","1","0.59","0.82","0.97"
"Jijqe","1","1","1","1","1","0.7","0.45","1"
"JimanDeregeha","1","1","1","1","1","0.24","0.18","0.97"
"Jira","1","1","1","1","1","0.65","0.36","1"
"kabe","1","1","1","1","1","0.24","0.18","1"
"Karima","1","1","1","1","1","0.41","0.36","0.81"
"Keregna","1","1","1","1","1","0.32","0.18","1"
"Kihen","1","1","1","1","1","0.76","0.27","0.97"
"Kita","1","1","1","1","1","0.78","0.64","0.91"
"Korme","1","1","1","1","1","0.38","0.36","0.94"
"Ksadacki","1","1","1","1","1","0.7","0.27","0.97"
"Kudo","1","1","1","1","1","0.57","0.45","0.97"
"Kuluferha","1","1","1","1","1","0.24","0.27","0.97"
"KuluGizeLemlem","1","1","1","1","1","0.57","0.45","0.84"
"LaelayDayu","1","1","1","1","1","0.49","0.45","0.84"
"Laelayhahaile","1","1","1","1","1","0.3","0.36","0.97"
"LaelayMegariaTsemri","1","1","1","1","1","0.54","0.45","1"
"Lalaylogomti","1","1","1","1","1","0.54","0.27","0.97"
"Ledy","1","1","1","1","1","0.32","0.45","0.91"
"Lemlem","1","1","1","1","1","0.84","0.82","1"
"LemlemArena","1","1","1","1","1","0.59","0.45","1"
"Libo ","1","1","1","1","1","0.22","0.18","0.97"
"Limaat","1","1","1","1","1","0.76","0.36","0.84"
"Limat","1","1","1","1","1","0.51","0.45","1"
"Lul","1","1","1","0.16","1","0.49","0.45","0.81"
"LusinaAbegeldi","1","1","1","1","1","0.78","0.27","0.97"
"Maekelawi","1","1","1","0.46","1","0.86","0.27","0.97"
"MaekelSegli","1","1","1","1","1","0.84","0.27","1"
"MahbereWeyni","1","1","1","1","1","0.76","0.36","0.97"
"MariamShewito","1","1","1","1","1","0.41","0.27","1"
