"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","SelamW","SelamW","SelamW","SelamW","SelamW","SelamW","SelamW","SelamW"
"Region","WiereLahe","WiereLahe","WiereLahe","WiereLahe","WiereLahe","WiereLahe","WiereLahe","WiereLahe"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","31","0.59","0","75","1","0","0"
"1984-1977","81","6","0.16","53","54","0.08","134.01","0"
"1985-1978","0","21","0.35","0","75","1","0","0"
"1986-1979","0","25","0.49","0","75","1","0","0"
"1987-1980","0","54","0.95","0","70","0.3","0","0"
"1988-1981","0","11","0.3","0","75","1","0","0"
"1989-1982","0","33","0.62","0","75","1","0","0"
"1990-1983","0","11","0.27","50","55","0.11","49.74","0"
"1991-1984","82","6","0.14","0","75","1","81.68","0"
"1992-1985","100","0","0.08","0","70","0.27","100","0"
"1993-1986","0","35","0.65","0","75","1","0","0"
"1994-1987","0","50","0.92","0","75","1","0","0"
"1995-1988","0","17","0.32","0","75","1","0","0"
"1996-1989","0","64","1","0","75","1","0","0"
"1997-1990","0","49","0.86","66","50","0.05","65.52","0"
"1998-1991","0","50","0.92","0","75","1","0","0"
"1999-1992","19","9","0.24","0","75","1","19.29","0"
"2000-1993","0","27","0.51","0","74","0.38","0","0"
"2001-1994","100","0","0.08","66","50","0.05","165.52","0"
"2002-1995","71","6","0.19","35","59","0.16","106.02","0"
"2003-1996","0","29","0.54","0","75","1","0","0"
"2004-1997","0","25","0.49","45","56","0.14","44.62","0"
"2005-1998","100","5","0.11","0","75","1","100","0"
"2006-1999","0","25","0.49","14","65","0.19","14.3","1"
"2007-2000","0","43","0.81","0","75","1","0","0"
"2008-2001","0","23","0.38","0","75","1","0","0"
"2009-2002","0","38","0.7","0","75","1","0","1"
"2010-2003","0","43","0.78","13","65","0.22","13.26","0"
"2011-2004","0","41","0.76","0","75","1","0","0"
"2012-2005","0","30","0.57","0","75","1","0","0"
"2013-2006","0","25","0.49","0","71","0.35","0","0"
"2014-2007","59","7","0.22","0","75","1","59.31","1"
"2015-2008","100","0","0.08","1","69","0.24","101.29","1"
"2016-2009","0","40","0.73","0","75","1","0","1"
"2017-2010","0","36","0.68","0","75","1","0","0"
"2018-2011","0","55","0.97","0","75","1","0","0"
"2019-2012","0","49","0.84","0","70","0.32","0","0"
