"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.51","0.7","0.78","1","0.51","0.86",,"0.62"
"Abara","0.76","0.84","0.89","0.89","0.76","0.95",,"0.28"
"Abarwuha","0.81","0.49","0.73","0.92","0.81","0.65",,"0.56"
"Abaselima","0.92","0.84","0.92","0.76","0.92","0.95",,"0.28"
"Abina","0.62","0.84","0.78","1","0.62","0.95",,"0.62"
"AbrahaAtsbaha","0.97","1","0.86","1","0.97","0.95",,"0.09"
"Abrekuy","0.89","0.81","1","1","0.89","0.62",,"0.28"
"AdekeAla","0.95","0.89","0.76","0.92","0.95","0.97",,"0.38"
"Adekiney","1","1","0.89","0.97","1","0.78",,"0.22"
"AderSeg","0.51","0.7","0.81","1","0.51","0.81",,"0.62"
"Adibearj","0.46","0.54","0.7","0.76","0.46","0.46",,"0.44"
"AdiHa","0.76","0.7","0.76","0.92","0.76","0.89",,"0.56"
"AdiKisandid","0.81","1","0.86","0.86","0.81","1",,"0.09"
"Adisalem","0.7","0.84","0.89","1","0.7","0.97",,"0.53"
"AdisAlemS","0.95","0.89","0.76","0.92","0.95","0.95",,"0.38"
"AdisAlemW","0.76","1","0.68","0.89","0.76","0.97",,"0.28"
"Adiselam","0.68","0.46","0.65","1","0.68","0.78",,"0.53"
"Adishimbirkti","0.92","0.95","0.89","0.92","0.92","0.73",,"0.59"
"AdisKigni","0.97","0.97","0.92","0.97","0.97","0.27",,"0.97"
"Adiyikoro","0.73","0.92","0.73","0.97","0.73","0.92",,"0.28"
"Adizata","0.73","0.97","0.7","0.92","0.73","0.81",,"0.28"
"Adreb","0.73","0.51","0.65","1","0.73","0.51",,"0.53"
"AgazenMeda","0.81","0.49","0.78","1","0.81","0.89",,"0.56"
"Agazi","0.89","1","0.86","0.92","0.89","1",,"0.22"
"Agbe","0.54","0.76","0.68","0.86","0.54","0.92",,"0.56"
"Agela","0.24","0.38","1","1","0.24","0.65",,"0.31"
"Agid","0.38","0.38","1","1","0.38","1",,"0.84"
"AlemeTesfa","0.89","0.86","1","0.95","0.89","0.96",,"0.53"
"AmdiWeyane","0.95","0.86","0.76","0.92","0.95","1",,"0.38"
"Amedwuha","0.86","1","0.86","0.92","0.86","0.86",,"0.44"
"Ameno","0.49","0.43","0.76","1","0.49","0.59",,"0.31"
"Amisetya","0.7","0.86","0.84","1","0.7","0.95",,"0.53"
"Angot","0.81","0.59","1","1","0.81","0.65",,"0.56"
"Anigot","0.24","0.38","1","1","0.24","0.59",,"0.31"
"Ansheb","0.92","0.86","0.92","0.92","0.92","0.97",,"0.38"
"AquaShumoch","0.3","0.38","1","1","0.3","0.38",,"0.69"
"Aquha","0.73","0.86","0.89","1","0.73","0.95",,"0.53"
"Arena","0.73","1","0.81","0.89","0.73","0.97",,"0.91"
"Asmena","0.86","1","0.68","0.81","0.86","0.86",,"0.22"
"Asta","0.41","0.43","1","1","0.41","0.38",,"0.31"
"Atakilti","0.51","0.51","0.7","0.73","0.51","0.95",,"0.72"
