"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.03","1","1","1","0.03","0.14",,"0.06"
"Abara","0.03","1","1","1","0.03","0.19",,"0.41"
"Abarwuha","0.16","1","1","1","0.16","0.22",,"0.44"
"Abaselima","0.16","1","1","0.05","0.16","0.14",,"0.41"
"Abina","0.03","1","1","0.08","0.03","0.05",,"0.06"
"AbrahaAtsbaha","0.03","1","1","0.32","0.03","0.08",,"0.06"
"Abrekuy","0.14","1","1","1","0.14","0.03",,"0.41"
"AdekeAla","0.24","1","1","0.11","0.24","0.08",,"0.12"
"Adekiney","0.14","1","0.08","0.19","0.14","0.27",,"0.12"
"AderSeg","0.03","1","1","1","0.03","0.14",,"0.06"
"Adibearj","1","1","1","1","1","0.14",,"0.03"
"AdiHa","0.03","1","1","1","0.03","0.38",,"0.19"
"AdiKisandid","0.03","1","0.14","0.38","0.03","0.46",,"0.06"
"Adisalem","0.16","1","0.05","0.19","0.16","0.11",,"0.31"
"AdisAlemS","0.24","1","1","0.14","0.24","0.32",,"0.12"
"AdisAlemW","0.08","1","0.14","1","0.08","0.57",,"0.06"
"Adiselam","1","1","1","1","1","0.49",,"0.06"
"Adishimbirkti","0.08","1","0.03","0.03","0.08","0.95",,"0.06"
"AdisKigni","0.08","0.27","0.11","0.11","0.08","0.35",,"0.12"
"Adiyikoro","0.03","1","1","1","0.03","0.46",,"0.06"
"Adizata","0.03","1","1","1","0.03","0.32",,"0.06"
"Adreb","1","1","1","1","1","0.38",,"0.06"
"AgazenMeda","0.11","1","1","0.14","0.11","0.08",,"0.44"
"Agazi","0.14","1","0.22","0.35","0.14","0.16",,"0.03"
"Agbe","0.22","1","1","1","0.22","0.59",,"0.19"
"Agela","0.05","1","1","1","0.05","0.22",,"0.25"
"Agid","1","1","1","1","1","0.32",,"0.22"
"AlemeTesfa","0.14","1","0.05","0.08","0.14","0.68",,"0.31"
"AmdiWeyane","0.24","1","1","0.08","0.24","0.46",,"0.12"
"Amedwuha","0.05","1","0.11","0.19","0.05","0.08",,"0.03"
"Ameno","0.05","1","1","1","0.05","0.32",,"0.25"
"Amisetya","0.03","1","0.03","0.03","0.03","0.05",,"0.12"
"Angot","0.16","1","1","1","0.16","0.35",,"0.44"
"Anigot","0.05","1","1","1","0.05","0.22",,"0.25"
"Ansheb","0.03","1","0.03","0.05","0.03","0.24",,"0.31"
"AquaShumoch","0.03","1","1","1","0.03","0.51",,"0.09"
"Aquha","0.03","1","0.03","0.03","0.03","0.03",,"0.12"
"Arena","0.03","1","1","0.03","0.03","0.46",,"0.03"
"Asmena","0.03","1","0.16","0.38","0.03","0.81",,"0.03"
"Asta","0.08","1","1","1","0.08","0.08",,"0.25"
"Atakilti","1","1","1","1","1","0.62",,"0.19"
"AwetBikalsi","0.03","1","1","0.11","0.03","0.35",,"0.19"
"AwusaMeda","0.14","1","0.08","0.11","0.14","0.35",,"0.31"
"Ayba","0.05","1","0.08","0.16","0.05","0.78",,"0.03"
"Aynalem","0.03","1","0.19","0.16","0.03","0.65",,"0.06"
"Bala","0.08","0.27","0.11","0.14","0.08","0.32",,"0.12"
"Balarab","0.03","1","0.03","0.03","0.03","0.03",,"0.12"
