"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.68","0.46","0.68","0.51","0.68","0.57","0.09",
"Abara","0.68","0.16","0.65","0.3","0.68","0.11","0.09",
"Abarwuha","0.49","0.11","0.43","0.35","0.49","0.68","0.09",
"Abaselima","0.62","0.16","0.62","0.16","0.62","0.35","0.09",
"Abina","0.62","0.3","0.84","0.7","0.62","0.3","0.09",
"AbrahaAtsbaha","0.76","0.11","0.19","0.41","0.76","0.11","0.09",
"Abrekuy","0.68","0.19","0.54","0.32","0.68","0.97","0.09",
"AdekeAla","0.16","0.08","0.43","0.3","0.16","0.81","0.09",
"Adekiney","0.24","0.08","0.05","0.41","0.24","0.32","0.09",
"AderSeg","0.68","0.78","0.68","0.57","0.68","0.24","0.09",
"Adibearj","0.03","0.05","0.05","0.46","0.03","0.24","0.27",
"AdiHa","0.27","0.59","0.19","0.14","0.27","0.49","0.09",
"AdiKisandid","0.92","0.11","0.3","0.54","0.92","0.11","0.18",
"Adisalem","0.43","0.16","0.78","0.35","0.43","0.11","0.09",
"AdisAlemS","0.16","0.08","0.46","0.38","0.16","0.65","0.09",
"AdisAlemW","0.54","0.08","0.08","0.05","0.54","0.65","0.09",
"Adiselam","0.22","0.03","0.05","0.3","0.22","0.62","0.09",
"Adishimbirkti","0.43","0.14","0.32","0.24","0.43","0.46","0.09",
"AdisKigni","0.49","0.19","0.27","0.62","0.49","0.43","0.09",
"Adiyikoro","0.19","0.08","0.03","0.05","0.19","0.32","0.18",
"Adizata","0.19","0.08","0.03","0.05","0.19","0.35","0.09",
"Adreb","0.11","0.08","0.05","0.49","0.11","0.73","0.18",
"AgazenMeda","0.68","0.11","0.62","0.57","0.68","0.38","0.09",
"Agazi","0.7","0.14","0.22","0.46","0.7","0.46","0.18",
"Agbe","0.46","0.49","0.14","0.08","0.46","0.38","0.09",
"Agela","0.51","1","0.11","0.19","0.51","0.68","0.18",
"Agid","0.57","1","0.22","0.19","0.57","0.24","0.27",
"AlemeTesfa","0.51","0.08","0.84","0.54","0.51",,"0.09",
"AmdiWeyane","0.16","0.11","0.46","0.41","0.16","0.7","0.09",
"Amedwuha","0.38","0.27","0.46","0.35","0.38","0.38","0.09",
"Ameno","0.68","1","0.49","0.27","0.68","0.95","0.09",
"Amisetya","0.7","0.27","0.73","0.51","0.7","0.11","0.09",
"Angot","0.49","0.08","0.7","0.38","0.49","0.97","0.09",
"Anigot","0.51","1","0.22","0.22","0.51","0.68","0.18",
"Ansheb","0.59","0.08","0.78","0.32","0.59","0.19","0.09",
"AquaShumoch","0.46","0.68","0.43","0.49","0.46","0.86","0.09",
"Aquha","0.97","0.3","0.49","0.62","0.97","0.03","0.09",
"Arena","0.43","0.19","0.14","0.54","0.43","0.46","0.09",
"Asmena","0.27","0.11","0.14","0.59","0.27","0.43","0.18",
"Asta","0.62","1","0.38","0.24","0.62","0.89","0.09",
"Atakilti","0.35","0.27","0.19","0.49","0.35","0.65","0.09",
"AwetBikalsi","0.27","0.46","0.19","0.19","0.27","0.51","0.09",
"AwusaMeda","0.51","0.19","0.73","0.35","0.51","0.57","0.09",
"Ayba","0.46","0.38","0.3","0.27","0.46","0.97","0.18",
"Aynalem","0.76","0.11","0.27","0.65","0.76","0.11","0.09",
"Bala","0.49","0.19","0.19","0.59","0.49","0.81","0.09",
"Balarab","0.7","0.3","0.65","0.68","0.7","0.08","0.09",
"Bamba","0.41","0.49","0.3","0.38","0.41","0.16","0.09",
"BarkaAdiswha","0.95","0.11","0.27","0.62","0.95","0.84","0.18",
"Begasheka","0.32","0.08","0.11","0.41","0.32","0.89","0.09",
"Berlay","0.76","0.19","0.7","0.38","0.76","0.78","0.09",
"Betgebez","0.16","0.03","0.03","0.05","0.16","0.16","0.18",
"Bethans","0.05","0.05","0.03","0.49","0.05","0.16","0.27",
"BilbWuha","0.65","0.78","0.3","0.32","0.65","0.7","0.09",
"Birkutea","0.57","1","0.41","0.22","0.57","0.51","0.09",
"Boneya","0.62","0.16","0.68","0.27","0.62","0.32","0.09",
"Burkoche","0.73","0.54","0.49","0.62","0.73","0.03","0.09",
"Cheli","0.3","0.11","0.35","0.43","0.3","0.68","0.09",
"Darubekeda","0.38","0.41","0.27","0.16","0.38","0.03","0.09",
"Deberkerbye","0.05","0.08","0.05","0.11","0.05","0.57","0.09",
"DeberAbaJale","0.95","1","0.46","0.46","0.95","0.35","0.09",
"DebrAbay","0.68","0.19","0.76","0.3","0.68","0.57","0.09",
"DebreAliays","0.41","0.16","0.78","0.46","0.41","0.03","0.09",
"Debrebirhan","0.73","0.11","0.14","0.38","0.73","0.46","0.09",
"Debrebrhan","0.78","0.41","0.27","0.51","0.78","0.16","0.09",
"DebreGenet","0.62","0.19","0.76","0.46","0.62","0.97","0.09",
"DebreGenetA","0.11","0.08","0.05","0.46","0.11","0.08","0.18",
"DebreGenetK","0.41","0.08","0.08","0.08","0.41","0.7","0.09",
"DebreGeorgis","0.51","0.08","0.78","0.46","0.51","0.27","0.09",
"DebreKidusan","0.89","0.19","1","0.35","0.89","0.81","0.09",
"Debremawie","0.76","0.19","0.78","0.43","0.76","0.59","0.09",
"Debreselam","0.51","0.27","0.05","0.05","0.51","0.27","0.09",
"Debrinetseb","0.14","0.22","0.08","0.35","0.14","0.7","0.09",
"Dekera","0.27","0.11","0.27","0.24","0.27","0.78","0.09",
"DembezaAmbaLay","0.76","0.19","1","0.49","0.76","0.59","0.09",
"Derit","0.57","1","0.46","0.51","0.57","0.54","0.09",
"Derita","0.62","1","0.32","0.19","0.62","0.92","0.09",
"Dinkashena","0.35","0.11","0.14","0.19","0.35","0.03","0.09",
"Ebo","0.51","0.16","0.38","0.46","0.51","0.57","0.36",
"Edagaarbi","0.24","0.05","0.05","0.08","0.24","0.27","0.09",
"EmbaAhfrom","0.27","0.08","0.05","0.03","0.27","0.62","0.09",
"EmbachekoGunaguna","0.46","1","0.54","0.65","0.46","0.95","0.09",
"EndaBagerima","0.08","0.08","0.03","0.14","0.08","0.32","0.27",
"Endabano","0.14","0.14","0.14","0.16","0.14","0.11","0.09",
"Endachiwa","0.11","0.14","0.14","0.49","0.11","0.59","0.18",
"EndaFelasi","0.19","0.16","0.3","0.65","0.19","0.11","0.09",
"Endagahamus","0.24","0.22","0.14","0.59","0.24","0.24","0.09",
"Endamariam","0.19","0.08","0.03","0.03","0.19","0.35","0.09",
"Erba","0.46","0.19","0.24","0.68","0.46","0.76","0.09",
"Esiret","0.3","0.11","0.3","0.38","0.3","0.68","0.09",
"Estifanos","0.57","1","0.3","0.19","0.57","0.57","0.18",
"Fala","0.49","0.14","0.46","0.3","0.49","0.76","0.09",
"Felegehiwot","0.62","0.19","0.81","0.38","0.62","0.97","0.09",
