"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"Adiyikoro","0.76","0.05","0.41","0.62","0.46","0.59","0.73","0.22","0.08","0.43","0.24","0.97","0.81","0.03","0.11","0.86","0.16","0.95","0.35","0.14","0.78","0.3","0.54","0.68","0.51","0.65","0.27","0.84","0.7","0.57","0.19","0.92","0.38","0.89","0.32","1","0.49"
"Adizata","0.78","0.08","0.38","0.43","0.32","0.49","0.68","0.22","0.11","0.7","0.16","0.95","0.19","0.03","0.24","0.81","0.59","0.92","0.3","0.05","0.62","0.27","0.65","0.54","0.57","0.46","0.35","0.89","0.76","0.84","0.14","0.97","0.51","0.86","0.41","1","0.73"
"Adreb","0.92","0.32","0.27","0.49","0.38","0.22","0.76","0.3","0.08","0.19","0.14","1","0.78","0.16","0.05","0.81","0.73","0.89","0.7","0.03","0.84","0.24","0.11","0.35","0.54","0.41","0.43","0.57","0.51","0.46","0.62","0.95","0.65","0.68","0.59","0.97","0.86"
"AgazenMeda","0.92","0.05","0.78","0.54","0.08","0.41","0.76","1","0.46","0.86","0.19","0.95","0.11","0.03","0.16","0.62","0.38","0.97","0.24","0.14","0.84","0.59","0.89","0.3","0.27","0.35","0.81","0.65","0.32","0.22","0.73","0.51","0.49","0.57","0.7","0.43","0.68"
"Agazi","0.46","0.24","0.05","0.03","0.16","0.57","0.3","0.43","0.95","0.7","0.38","0.84","0.62","0.35","0.14","0.81","0.22","0.97","0.68","0.11","0.51","0.41","0.19","0.54","0.59","0.49","0.27","0.76","1","0.73","0.08","0.92","0.32","0.78","0.89","0.86","0.65"
"Agbe","0.32","0.05","0.08","0.86","0.59","0.65","0.14","0.16","0.11","0.3","0.19","0.76","0.95","0.81","0.22","0.89","0.84","0.51","0.7","0.03","0.73","0.27","0.43","0.49","0.54","0.35","0.38","0.46","0.78","0.57","0.97","1","0.24","0.68","0.41","0.92","0.62"
"Agela","0.51","0.19","0.46","0.59","0.22","0.84","0.7","0.95","0.78","0.43","0.65","1","0.32","0.11","0.03","0.3","0.73","0.97","0.68","0.08","0.62","0.81","0.49","0.38","0.14","0.16","0.92","0.27","0.41","0.89","0.76","0.57","0.05","0.24","0.54","0.35","0.86"
"Agid","0.86","0.35","0.89","0.76","0.32","0.68","0.92","1","0.57","0.59","0.54","0.95","0.49","0.19","0.27","0.81","0.7","0.97","0.65","0.3","0.78","0.73","0.46","0.41","0.24","0.14","0.43","0.05","0.11","0.51","0.38","0.22","0.16","0.03","0.08","0.84","0.62"
"AlemeTesfa","0.76","0.04","0.64","0.48","0.68","0.44","0.36","0.96","0.08","0.6","0.24","1","0.4","0.52","0.16","0.8","0.84","0.92","0.72","0.2","0.88","0.28","0.12","0.56","0.32",,,,,,,,,,,,
"AmdiWeyane","0.32","0.03","0.16","0.84","0.46","0.81","0.08","0.05","0.27","0.43","0.19","0.97","0.78","0.35","0.41","0.92","0.89","1","0.59","0.22","0.62","0.14","0.3","0.73","0.57","0.11","0.38","0.54","0.68","0.65","0.86","0.95","0.51","0.49","0.24","0.7","0.76"
"Amedwuha","0.22","0.41","0.89","0.49","0.08","0.11","0.7","0.84","0.24","0.81","0.35","0.68","0.95","0.03","0.46","0.05","0.27","1","0.62","0.38","0.65","0.19","0.14","0.76","0.78","0.73","0.51","0.86","0.92","0.32","0.59","0.97","0.43","0.3","0.16","0.54","0.57"
"Ameno","0.81","0.46","0.65","0.68","0.32","0.84","0.86","0.95","0.89","0.78","0.27","0.92","0.7","0.05","0.03","0.76","0.62","0.97","0.49","0.35","1","0.54","0.43","0.38","0.51","0.14","0.57","0.08","0.22","0.3","0.41","0.73","0.16","0.11","0.19","0.24","0.59"
"Amisetya","0.7","0.03","0.11","0.65","0.05","0.68","0.46","0.19","0.27","0.95","0.22","1","0.41","0.38","0.14","0.89","0.73","0.57","0.78","0.08","0.86","0.24","0.16","0.43","0.84","0.49","0.59","0.62","0.51","0.32","0.54","0.97","0.3","0.35","0.81","0.76","0.92"
"Angot","0.89","0.51","0.95","0.86","0.35","0.7","0.65","0.97","0.78","0.84","0.38","0.92","0.27","0.05","0.08","0.49","0.57","1","0.43","0.3","0.62","0.76","0.81","0.32","0.22","0.03","0.73","0.11","0.24","0.14","0.54","0.46","0.19","0.41","0.16","0.59","0.68"
"Anigot","0.49","0.27","0.7","0.54","0.22","0.76","0.59","0.92","0.84","0.38","0.81","1","0.35","0.03","0.05","0.43","0.89","0.97","0.68","0.16","0.62","0.73","0.51","0.19","0.24","0.08","0.95","0.86","0.3","0.78","0.65","0.32","0.14","0.57","0.46","0.11","0.41"
"Ansheb","0.16","0.05","0.76","0.19","0.24","0.49","0.32","0.73","0.14","0.86","0.22","0.92","0.46","0.11","0.3","0.57","0.78","0.95","0.68","0.08","0.43","0.38","0.35","0.59","0.51","0.84","0.89","0.97","0.41","0.62","0.65","1","0.03","0.27","0.81","0.7","0.54"
"AquaShumoch","0.49","0.54","0.65","0.78","0.51","0.81","0.86","0.95","0.84","0.92","0.38","0.97","0.68","0.22","0.19","0.76","0.7","0.89","0.41","0.73","1","0.62","0.57","0.43","0.27","0.14","0.59","0.32","0.11","0.35","0.46","0.3","0.16","0.05","0.08","0.03","0.24"
