"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Tsetsera","Tsetsera","Tsetsera","Tsetsera","Tsetsera","Tsetsera","Tsetsera","Tsetsera"
"Region","Alamata","Alamata","Alamata","Alamata","Alamata","Alamata","Alamata","Alamata"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","7","0.73","38","33","0.11","38.46","0"
"1984-1977","100","0","0.54","100","0","0.05","200","0"
"1985-1978","100","0","0.57","0","61","0.73","100","0"
"1986-1979","0","25","0.97","2","49","0.24","1.52","0"
"1987-1980","100","2","0.62","80","14","0.08","179.9","0"
"1988-1981","0","10","0.81","0","50","0.43","0","0"
"1989-1982","100","1","0.59","0","55","0.57","100","0"
"1990-1983","100","0","0.49","0","50","0.43","100","0"
"1991-1984","100","0","0.49","0","50","0.43","100","1"
"1992-1985","100","0","0.49","8","46","0.19","107.93","0"
"1993-1986","100","0","0.51","0","50","0.43","100","0"
"1994-1987","100","0","0.49","0","62","0.76","100","1"
"1995-1988","100","3","0.68","0","54","0.51","100","0"
"1996-1989","0","24","0.92","0","63","0.84","0","0"
"1997-1990","0","37","1","0","51","0.49","0","0"
"1998-1991","100","0","0.49","0","75","1","100","0"
"1999-1992","0","22","0.89","0","75","1","0","0"
"2000-1993","100","2","0.65","0","58","0.65","100","1"
"2001-1994","0","13","0.86","0","50","0.43","0","0"
"2002-1995","100","0","0.49","0","57","0.62","100","0"
"2003-1996","100","0","0.49","0","59","0.7","100","0"
"2004-1997","0","10","0.78","15","43","0.16","15.33","0"
"2005-1998","100","0","0.49","0","62","0.81","100","1"
"2006-1999","100","0","0.49","0","75","1","100","0"
"2007-2000","100","0","0.49","0","75","1","100","0"
"2008-2001","0","12","0.84","0","59","0.68","0","0"
"2009-2002","100","0","0.49","0","51","0.46","100","0"
"2010-2003","100","0","0.49","0","50","0.43","100","0"
"2011-2004","100","0","0.49","0","54","0.54","100","0"
"2012-2005","0","8","0.76","0","75","1","0","0"
"2013-2006","100","0","0.49","0","62","0.78","100","0"
"2014-2007","100","0","0.49","28","37","0.14","127.82","0"
"2015-2008","100","0","0.49","100","0","0.05","200","0"
"2016-2009","100","0","0.49","0","50","0.43","100","0"
"2017-2010","100","0","0.49","0","56","0.59","100","0"
"2018-2011","0","25","0.95","6","47","0.22","6.18","0"
"2019-2012","100","4","0.7","0","69","0.86","100","0"
