"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.08","0.19","0.46","0.11","0.08","0.43",,"0.34"
"Abara","0.38","0.19","0.68","0.95","0.38","0.16",,"0.59"
"Abarwuha","0.35","0.54","0.57","0.73","0.35","0.57",,"0.59"
"Abaselima","0.35","0.19","0.78","0.76","0.35","0.22",,"0.59"
"Abina","0.11","0.24","0.22","0.24","0.11","0.24",,"0.34"
"AbrahaAtsbaha","0.73","0.81","0.65","0.32","0.73","0.19",,"0.5"
"Abrekuy","0.46","0.3","0.68","0.78","0.46","0.14",,"0.59"
"AdekeAla","0.57","0.51","0.35","0.19","0.57","0.7",,"0.53"
"Adekiney","0.92","0.62","0.76","0.16","0.92","0.65",,"0.53"
"AderSeg","0.08","0.11","0.46","0.11","0.08","0.16",,"0.34"
"Adibearj","0.24","0.19","0.3","0.11","0.24","0.41",,"0.59"
"AdiHa","0.41","0.65","0.46","0.3","0.41","0.46",,"0.5"
"AdiKisandid","0.73","0.65","0.7","0.32","0.73","0.24",,"0.5"
"Adisalem","0.46","0.19","0.43","0.78","0.46","0.27",,"0.72"
"AdisAlemS","0.57","0.51","0.32","0.16","0.57","0.59",,"0.53"
"AdisAlemW","0.65","0.41","0.62","0.24","0.65","0.32",,"0.47"
"Adiselam","0.22","0.59","0.51","0.43","0.22","0.65",,"0.5"
"Adishimbirkti","0.43","0.38","0.16","0.19","0.43","0.35",,"0.84"
"AdisKigni","0.49","0.68","0.19","0.57","0.49","0.59",,"0.94"
"Adiyikoro","0.62","0.57","0.62","0.22","0.62","0.81",,"0.47"
"Adizata","0.62","0.73","0.73","0.27","0.62","0.84",,"0.47"
"Adreb","0.24","0.68","0.43","0.3","0.24","0.27",,"0.5"
"AgazenMeda","0.05","0.54","0.57","0.76","0.05","0.16",,"0.59"
"Agazi","0.49","0.57","0.68","0.19","0.49","0.27",,"0.47"
"Agbe","0.57","0.54","0.54","0.54","0.57","0.14",,"0.5"
"Agela","0.76","1","1","0.19","0.76","0.95",,"0.53"
"Agid","1","1","1","0.22","1","0.57",,"0.44"
"AlemeTesfa","0.05","0.24","0.14","0.57","0.05","0.32",,"0.72"
"AmdiWeyane","0.57","0.43","0.32","0.19","0.57","0.3",,"0.53"
"Amedwuha","0.38","0.62","0.57","0.54","0.38","0.59",,"0.47"
"Ameno","0.51","0.24","0.46","0.05","0.51","0.49",,"0.53"
"Amisetya","0.11","0.19","0.11","0.38","0.11","0.73",,"0.31"
"Angot","0.35","0.41","0.65","0.62","0.35","0.43",,"0.59"
"Anigot","0.76","1","1","0.22","0.76","0.57",,"0.53"
"Ansheb","0.16","0.24","0.76","1","0.16","0.35",,"0.75"
"AquaShumoch","0.03","1","0.68","0.27","0.03","0.78",,"0.38"
"Aquha","0.14","0.16","0.08","0.51","0.14","0.49",,"0.31"
"Arena","0.73","0.7","0.43","0.3","0.73","0.49",,"0.38"
"Asmena","0.54","0.65","0.84","0.16","0.54","0.65",,"0.47"
"Asta","0.49","0.24","1","0.19","0.49","0.73",,"0.53"
"Atakilti","0.43","0.41","0.59","0.57","0.43","0.59",,"0.5"
"AwetBikalsi","0.41","0.68","0.46","0.27","0.41","0.62",,"0.5"
"AwusaMeda","0.05","0.3","0.11","0.43","0.05","0.24",,"0.72"
"Ayba","0.46","0.49","0.89","0.59","0.46","0.86",,"0.53"
"Aynalem","0.73","0.86","0.78","0.43","0.73","0.22",,"0.5"
"Bala","0.49","0.7","0.27","0.54","0.49","0.38",,"0.94"
"Balarab","0.11","0.27","0.38","0.24","0.11","0.59",,"0.31"
"Bamba","0.76","0.54","0.51","0.54","0.76","0.62",,"0.53"
"BarkaAdiswha","0.76","0.76","0.81","0.46","0.76","0.27",,"0.5"
"Begasheka","0.46","0.68","0.51","0.57","0.46","0.59",,"0.5"
"Berlay","0.3","0.3","0.16","0.38","0.3","0.49",,"0.72"
"Betgebez","0.84","0.62","0.65","0.16","0.84","0.35",,"0.56"
"Bethans","0.65","0.7","0.54","0.14","0.65","0.7",,"0.56"
"BilbWuha","0.68","0.24","0.49","0.05","0.68","0.81",,"0.44"
"Birkutea","0.78","1","0.68","0.08","0.78","0.78",,"0.53"
"Boneya","0.35","0.19","0.7","0.95","0.35","0.14",,"0.59"
"Burkoche","0.16","0.16","0.08","0.51","0.16","0.51",,"0.31"
"Cheli","0.68","0.49","0.27","0.16","0.68","0.27",,"0.53"
"Darubekeda","0.38","0.27","0.19","0.41","0.38","0.73",,"0.84"
"Deberkerbye","0.57","0.51","0.59","1","0.57","0.86",,"0.44"
"DeberAbaJale","0.46","1","0.65","0.05","0.46","0.22",,"0.38"
"DebrAbay","0.59","0.3","0.35","0.65","0.59","0.16",,"0.72"
"DebreAliays","0.38","0.19","0.08","0.38","0.38","0.19",,"0.72"
"Debrebirhan","0.86","0.78","0.78","0.38","0.86","0.49",,"0.47"
"Debrebrhan","0.84","0.89","0.54","0.41","0.84","0.65",,"0.44"
"DebreGenet","0.03","0.41","0.11","0.27","0.03","0.22",,"0.72"
"DebreGenetA","0.54","0.62","0.51","0.11","0.54","0.78",,"0.56"
"DebreGenetK","0.51","0.65","0.54","0.54","0.51","0.49",,"0.5"
"DebreGeorgis","0.05","0.24","0.16","0.54","0.05","0.49",,"0.72"
"DebreKidusan","0.43","0.51","0.3","0.59","0.43","0.11",,"0.72"
"Debremawie","0.3","0.3","0.22","0.43","0.3","0.11",,"0.72"
"Debreselam","0.78","0.65","0.57","0.35","0.78","0.38",,"0.47"
"Debrinetseb","0.41","1","0.59","0.46","0.41","0.35",,"0.5"
"Dekera","0.78","0.46","0.38","0.27","0.78","0.46",,"0.47"
"DembezaAmbaLay","0.3","0.3","0.22","0.32","0.3","0.49",,"0.72"
"Derit","0.05","1","0.65","0.81","0.05","0.32",,"0.59"
"Derita","0.49","0.43","1","0.16","0.49","0.78",,"0.53"
"Dinkashena","0.35","0.27","0.41","0.38","0.35","0.81",,"0.88"
"Ebo","0.62","0.41","0.68","0.51","0.62","0.76",,"0.53"
"Edagaarbi","0.43","0.54","0.76","0.27","0.43","0.81",,"0.47"
"EmbaAhfrom","0.73","0.51","0.68","0.43","0.73","0.19",,"0.47"
"EmbachekoGunaguna","0.03","1","0.62","0.14","0.03","0.62",,"0.38"
"EndaBagerima","0.41","0.59","0.65","0.22","0.41","0.49",,"0.56"
"Endabano","0.57","0.43","0.54","0.32","0.57","0.81",,"0.44"
