"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"Grwre","1","1","1","1","1","0.57","0.73",
"GuemseAgamet","0.68","1","1","1","0.68","0.86","0.91",
"Guroro","1","1","1","1","1","0.62","0.64",
"Guya","1","1","1","1","1","0.41","0.73",
"Habees","0.16","1","0.38","1","0.16","0.86","0.91",
"Hadashtekli","1","1","1","1","1","0.57","0.73",
"HadeAlga","0.65","0.41","0.46","0.43","0.65","0.7","0.91",
"HadnetK","0.14","1","1","1","0.14","0.78","1",
"HadnetS","0.3","1","1","1","0.3","0.89","0.73",
"HadushAdi","0.38","1","1","1","0.38","0.89","0.73",
"HadushHiwet","0.51","1","0.51","1","0.51","0.86","0.82",
"HagereGenet","1","1","1","1","1","0.46","1",
"HagereSelamE","1","1","1","1","1","0.43","1",
"HagereSelamW","0.49","1","1","1","0.49","0.65","1",
"Hangoda","0.3","1","1","1","0.3","0.89","0.73",
"Hareko","0.57","1","1","1","0.57","0.49","0.73",
"Hawelti","0.43","0.08","0.57","1","0.43","0.95","0.82",
"Hayelom","0.41","1","1","1","0.41","0.78","1",
"Hintsa","0.32","1","1","1","0.32","0.46","0.64",
"HintsaWaza","0.32","1","1","1","0.32","0.41","0.64",
"HizbaTeklehymanot","0.46","1","0.49","0.46","0.46","0.78","0.82",
"ImbaRufael","1","1","1","1","1","0.22","0.73",
"Jijqe","1","1","1","1","1","0.65","0.73",
"JimanDeregeha","1","1","1","1","1","0.22","0.55",
"Jira","1","1","1","1","1","0.38","0.82",
"kabe","1","1","1","1","1","0.86","0.82",
"Karima","1","1","1","1","1","0.84","1",
"Keregna","1","1","1","1","1","0.65","0.82",
"Kihen","0.14","1","1","1","0.14","0.84","1",
"Kita","1","1","1","1","1","0.7","0.45",
"Korme","0.76","0.14","0.54","0.38","0.76","0.68","0.91",
"Ksadacki","1","1","1","1","1","0.32","0.64",
"Kudo","0.73","1","1","1","0.73","0.54","0.55",
"Kuluferha","1","1","1","1","1","0.43","0.64",
"KuluGizeLemlem","0.7","0.16","1","0.51","0.7","0.81","0.91",
"LaelayDayu","0.76","0.3","1","0.51","0.76","0.68","0.91",
"Laelayhahaile","0.73","1","1","1","0.73","0.46","0.55",
"LaelayMegariaTsemri","0.41","1","1","1","0.41","0.73","0.64",
"Lalaylogomti","0.3","1","1","1","0.3","0.14","0.73",
"Ledy","1","1","1","1","1","0.76","0.82",
"Lemlem","1","1","1","1","1","0.81","0.55",
"LemlemArena","0.51","1","1","1","0.51","0.76","0.82",
"Libo ","1","1","1","1","1","0.16","0.82",
"Limaat","0.7","0.14","0.46","0.49","0.7","0.95","0.91",
"Limat","1","1","1","1","1","0.59","0.64",
"Lul","1","1","1","1","1","0.92","1",
"LusinaAbegeldi","1","1","1","1","1","0.86","0.55",
"Maekelawi","0.27","1","1","0.19","0.27","0.65","0.64",
"MaekelSegli","0.24","1","1","0.14","0.24","0.43","0.55",
"MahbereWeyni","0.14","1","1","1","0.14","0.84","1",
"MariamShewito","1","1","1","1","1","0.84","0.73",
"Martadios","1","1","1","1","1","0.27","0.82",
"MayChekemte","0.35","1","1","1","0.35","0.51","0.73",
"MayNebri","0.73","1","1","1","0.73","0.81","0.55",
"Maysuru","0.51","1","1","1","0.51","0.59","0.64",
"MayTeklia","0.32","1","1","1","0.32","0.81","0.64",
"Mearey","1","1","1","1","1","0.68","0.64",
"Mechare","0.59","0.24","0.46","0.43","0.59","0.81","0.91",
"Mechena","1","1","1","1","1","0.08","0.55",
"MehalGoncha","1","1","1","1","1","0.3","1",
"Mekan ","0.73","1","1","0.54","0.73","0.49","0.82",
"MekaneGenet","1","1","1","1","1","0.11","0.91",
"Melabesh","1","1","1","1","1","0.32","0.91",
"MendereMariam","1","1","1","1","1","0.27","0.82",
"Menegobena","1","1","1","1","1","0.92","0.91",
"Menji","1","1","1","1","1","0.68","0.55",
"Mergech","1","1","1","1","1","0.97","0.91",
"Mesanu","0.24","0.03","0.38","1","0.24","0.62","1",
"Mesehle","1","1","1","1","1","0.22","0.64",
"Meswaeti ","0.73","1","1","0.59","0.73","0.62","0.91",
"Metkel","0.38","1","1","1","0.38","0.68","0.91",
"MetkelLemat","0.57","1","1","1","0.57","0.86","0.55",
"Mezbr","0.57","1","1","1","0.57","0.35","0.55",
"MichelDebre","1","1","1","1","1","0.16","0.73",
"Miraf","1","1","1","1","1","0.92","0.91",
"Misema","1","1","1","1","1","0.27","0.36",
"Mitad","1","1","1","1","1","0.05","0.73",
"MitinaYimach","1","1","1","1","1","0.22","0.82",
"Mozen","1","1","1","1","1","0.92","0.91",
"Mozutey","0.65","1","1","1","0.65","0.92","0.64",
"Mtsaiwerki","1","1","1","1","1","0.46","0.73",
"Nagash","0.43","1","1","1","0.43","0.92","0.91",
"Nebarhadinet","1","1","1","1","1","0.62","0.64",
"Nefasit","1","1","1","1","1","0.03","0.64",
"Negedebrhan","1","1","1","1","1","0.68","0.73",
"Niquara","1","1","1","1","1","0.76","0.45",
"Qoraro","0.46","1","1","1","0.46","0.65","0.64",
"RubaFelege","0.24","0.08","1","1","0.24","0.3","0.64",
"Santa gelebeda","1","1","1","1","1","0.49","0.64",
"SaratYerawoch","1","1","1","1","1","0.57","0.82",
"Sefo","0.73","1","1","1","0.73","0.32","0.55",
"Segena","1","1","1","1","1","0.41","0.82",
"Seka","1","1","1","1","1","0.27","0.64",
"Selamaya","1","1","1","1","1","0.43","0.55",
"SelamBekalsi","0.7","0.16","0.46","0.49","0.7","0.86","0.91",
"Selamber","1","1",,"1","1","0.7","0.91",
"SelamgieAmbarie","1","1","1","1","1","0.41","0.82",
"SelamH","0.68","1","1","1","0.68","0.68","0.82",
"SelamW","1","1","1","1","1","0.59","0.64",
"Selelkula","1","1","1","1","1","0.89","0.91",
"SelenWuha","0.7","0.14","1","0.57","0.7","0.97","0.91",
"Seloda","1","1","1","1","1","0.62","0.73",
"Sendada","0.68","1","1","1","0.68","0.97","0.91",
"Serawudi","1","1","1","1","1","0.19","0.82",
"Seret","0.81","1","1","1","0.81","0.35","0.82",
"Sero","0.51","1","1","1","0.51","0.78","0.64",
"Shamo","1","1","1","1","1","0.22","0.73",
"ShehochTehara","1","1","1","1","1","0.14","0.73",
"Shekatekli","1","1","1","1","1","0.41","0.55",
"Shunge","1","1","1","1","1","0.3","0.45",
"Simret","1","1","1","1","1","0.51","0.82",
"SimretS","0.73","1","1","0.57","0.73","0.57","0.82",
"SimretT","1","1","1","1","1","0.7","0.64",
"Sinkata","0.68","1","1","1","0.68","0.86","0.91",
"Siye","1","1","1","1","1","0.16","0.82",
"Smret","1","1","1","1","1","0.65","0.64",
"Sorya","0.73","1","1","1","0.73","0.78","0.91",
"Suha","1","1","1","1","1","0.51","0.91",
"Tahtayhaya","0.78","1","1","0.59","0.78","0.65","0.91",
"TahtayDaeroka","0.49","1","1","1","0.49","0.35","0.64",
"TahtayLegomti","0.3","1","1","1","0.3","0.46","0.73",
"TahtayMegariaTsebri","0.41","1","1","1","0.41","0.41","0.64",
"Tao","0.81","0.19","0.54","0.51","0.81","0.86","0.91",
"TaraGedam","1","1","1","1","1","0.03","0.91",
"TaraSenba","1","1","1","1","1","0.24","0.73",
"Tekea","0.27","1","1","0.51","0.27","0.32","0.91",
"Tekleweyni","1","1","1","1","1","0.3","0.82",
"Tetatiro","1","1","1","1","1","0.7","0.82",
"Tibaga","1","1","1","1","1","0.81","0.82",
"Tigage","1","1","1","1","1","0.62","0.64",
"Tsae","0.51","1","1","1","0.51","0.43","0.64",
"Tsetsera","0.59","1","1","1","0.59","0.78","0.91",
"Tseykeme","1","1","1","1","1","0.49","0.82",
"Tsigea","0.43","0.11","0.46","0.59","0.43","0.89","0.82",
"Ulaga","0.81","0.22","0.51","0.38","0.81","0.76","0.91",
"Wargba","0.43","0.11","0.46","1","0.43","0.54","0.91",
"Wariba","1","1","1","1","1","0.16","0.45",
"Wedikeshi","1","1","1","1","1","0.27","0.73",
"Werabaye","0.78","0.19","0.49","0.65","0.78","0.86","0.91",
"Werkamba","0.43","1","1","1","0.43","0.46","0.55",
"Wobo","1","1","1","1","1","0.73","0.82",
"Wonberoch","1","1","1","1","1","0.27","0.73",
"Wondye","1","1","1","1","1","0.22","1",
"Worego","1","1","1","1","1","0.84","0.91",
"WorgajaWagi","1","1","1","1","1","0.65","0.73",
"WoryaMeskel","1","1","1","1","1","0.89","1",
"Woyenti","1","1","1","1","1","0.51","0.73",
"Woynye","1","1","1","1","1","0.89","0.91",
"WuhdetG","1","1","1","1","1","0.68","0.64",
"WuhdetK","1","1","1","1","1","0.54","0.55",
"WushaTires","1","1","1","1","1","0.22","0.82",
"Yedwuha","1","1","1","1","1","0.89","0.91",
"Yeju","1","1","1","1","1","0.62","0.82",
"Yetefet","1","1","1","1","1","0.14","0.91",
"YifagAkababi","1","1","1","1","1","0.57","0.82",
"Yitihana","1","1","1","1","1","0.97","0.73",
"Zata","0.59","1","1","1","0.59","0.3","0.82",
"Ziha","1","1","1","1","1","0.19","0.55",
"ZihonHuha","1","1","1","1","1","0.51","0.91",
"ZobarYikuanda","1","1","1","1","1","0.51","0.91",
"Zongi","1","1","1","1","1","0.59","0.64",
