"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","1","1","1","1","1","0.89",,"0.34"
"Abara","1","1","1","1","1","1",,"0.31"
"Abarwuha","1","1","1","1","1","0.97",,"0.25"
"Abaselima","1","1","1","1","1","0.97",,"0.31"
"Abina","1","1","1","1","1","0.59",,"0.34"
"AbrahaAtsbaha","0.54","1","1","1","0.54","0.81",,"0.19"
"Abrekuy","1","1","1","1","1","0.84",,"0.31"
"AdekeAla","1","1","1","1","1","0.97",,"0.28"
"Adekiney","0.57","1","1","1","0.57","0.78",,"0.31"
"AderSeg","1","1","1","1","1","0.86",,"0.34"
"Adibearj","1","1","1","1","1","0.81",,"0.28"
"AdiHa","0.54","1","1","1","0.54","0.76",,"0.25"
"AdiKisandid","0.57","1","1","1","0.57","0.95",,"0.19"
"Adisalem","1","1","1","1","1","0.97",,"0.34"
"AdisAlemS","1","1","1","1","1","0.97",,"0.28"
"AdisAlemW","0.35","1","1","1","0.35","0.95",,"0.31"
"Adiselam","1","1","1","1","1","0.78",,"0.34"
"Adishimbirkti","0.54","1","1","1","0.54","0.97",,"0.22"
"AdisKigni","0.27","1","1","1","0.27","0.95",,"0.28"
"Adiyikoro","0.54","1","1","1","0.54","0.95",,"0.31"
"Adizata","0.54","1","1","1","0.54","0.92",,"0.31"
"Adreb","1","1","1","1","1","0.89",,"0.34"
"AgazenMeda","1","1","1","0.11","1","0.97",,"0.25"
"Agazi","0.73","1","1","1","0.73","0.97",,"0.47"
"Agbe","0.35","1","1","1","0.35","0.51",,"0.25"
"Agela","1","1","1","1","1","0.97",,"0.28"
"Agid","1","1","1","1","1","0.97",,"0.56"
"AlemeTesfa","1","1","1","0.27","1","0.92",,"0.34"
"AmdiWeyane","1","1","1","1","1","1",,"0.28"
"Amedwuha","0.84","1","1","1","0.84","1",,"0.81"
"Ameno","1","1","1","1","1","0.97",,"0.28"
"Amisetya","1","1","1","1","1","0.57",,"0.41"
"Angot","1","1","1","1","1","1",,"0.25"
"Anigot","1","1","1","1","1","0.97",,"0.28"
"Ansheb","1","1","1","1","1","0.95",,"0.34"
"AquaShumoch","1","1","1","1","1","0.89",,"0.38"
"Aquha","1","1","1","0.05","1","0.51",,"0.41"
"Arena","0.43","1","1","1","0.43","0.73",,"0.28"
"Asmena","0.73","1","1","0.46","0.73","0.35",,"0.47"
"Asta","1","1","1","1","1","0.86",,"0.28"
"Atakilti","0.22","1","1","1","0.22","0.97",,"0.62"
"AwetBikalsi","0.54","1","1","1","0.54","1",,"0.25"
"AwusaMeda","1","1","1","0.43","1","0.97",,"0.34"
"Ayba","0.57","1","1","1","0.57","0.97",,"0.22"
"Aynalem","0.54","1","1","0.24","0.54","0.95",,"0.19"
"Bala","0.27","0.32","1","0.73","0.27","0.92",,"0.28"
"Balarab","1","1","1","1","1","0.84",,"0.41"
"Bamba","0.38","1","1","1","0.38","1",,"0.28"
"BarkaAdiswha","0.3","1","1","1","0.3","0.97",,"0.19"
"Begasheka","0.27","1","1","1","0.27","0.86",,"0.62"
"Berlay","1","1","1","1","1","0.95",,"0.34"
"Betgebez","0.35","1","1","1","0.35","0.86",,"0.28"
"Bethans","1","1","1","1","1","0.76",,"0.31"
"BilbWuha","1","1","1","1","1","0.97",,"0.34"
"Birkutea","1","1","1","1","1","0.95",,"0.28"
"Boneya","1","1","1","1","1","1",,"0.31"
"Burkoche","1","1","1","0.05","1","0.59",,"0.41"
"Cheli","1","1","1","1","1","0.97",,"0.28"
"Darubekeda","0.7","1","1","1","0.7","0.97",,"0.22"
"Deberkerbye","1","1","1","1","1","0.76",,"0.31"
"DeberAbaJale","1","1","1","1","1","1",,"0.38"
"DebrAbay","1","1","1","1","1","0.81",,"0.34"
"DebreAliays","1","1","1","1","1","0.95",,"0.34"
"Debrebirhan","0.54","1","1","1","0.54","1",,"0.38"
"Debrebrhan","0.19","1","1","0.24","0.19","0.81",,"0.19"
"DebreGenet","1","1","1","1","1","0.97",,"0.34"
"DebreGenetA","0.27","1","1","1","0.27","0.84",,"0.31"
"DebreGenetK","0.32","1","1","1","0.32","0.7",,"0.62"
"DebreGeorgis","1","1","1","0.41","1","0.95",,"0.34"
"DebreKidusan","1","1","1","1","1","0.97",,"0.34"
"Debremawie","1","1","1","1","1","0.54",,"0.34"
"Debreselam","0.57","1","1","1","0.57","0.89",,"0.38"
"Debrinetseb","0.14","1","1","1","0.14","0.81",,"0.62"
"Dekera","1","1","1","1","1","0.95",,"0.25"
"DembezaAmbaLay","1","1","1","1","1","0.95",,"0.34"
"Derit","1","1","1","0.11","1","0.95",,"0.25"
"Derita","1","1","1","1","1","0.81",,"0.28"
"Dinkashena","0.76","1","1","1","0.76","0.89",,"0.47"
"Ebo","0.27","1","1","1","0.27","1",,"0.22"
"Edagaarbi","0.49","1","1","1","0.49","0.73",,"0.34"
"EmbaAhfrom","0.35","1","1","1","0.35","0.97",,"0.31"
"EmbachekoGunaguna","1","1","1","1","1","0.97",,"0.38"
"EndaBagerima","0.3","1","1","1","0.3","0.95",,"0.31"
"Endabano","0.38","1","1","1","0.38","0.68",,"0.38"
"Endachiwa","0.27","1","1","1","0.27","0.95",,"0.31"
"EndaFelasi","1","1","1","0.27","1","0.89",,"0.38"
"Endagahamus","0.46","1","1","0.32","0.46","0.89",,"0.31"
"Endamariam","0.43","1","1","1","0.43","0.92",,"0.28"
"Erba","0.22","0.38","1","0.78","0.22","1",,"0.28"
"Esiret","1","1","1","1","1","0.92",,"0.28"
"Estifanos","1","1","1","1","1","0.97",,"0.28"
"Fala","0.57","1","1","1","0.57","0.89",,"0.34"
"Felegehiwot","1","1","1","1","1","0.95",,"0.34"
