"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Hangoda","Hangoda","Hangoda","Hangoda","Hangoda","Hangoda","Hangoda","Hangoda"
"Region","SaesiTsaedaemba","SaesiTsaedaemba","SaesiTsaedaemba","SaesiTsaedaemba","SaesiTsaedaemba","SaesiTsaedaemba","SaesiTsaedaemba","SaesiTsaedaemba"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","26","1","50","28","0.11","49.92","0"
"1984-1977","100","0","0.32","0","44","0.38","100","0"
"1985-1978","100","0","0.3","0","60","0.68","100","0"
"1986-1979","0","25","0.89","0","49","0.46","0","0"
"1987-1980","100","2","0.43","41","29","0.14","140.51","0"
"1988-1981","100","0","0.3","0","64","0.78","100","0"
"1989-1982","100","1","0.35","21","33","0.22","121.33","0"
"1990-1983","100","0","0.3","0","37","0.27","100","0"
"1991-1984","0","9","0.68","22","33","0.19","22.31","1"
"1992-1985","100","0","0.3","0","50","0.51","100","1"
"1993-1986","0","26","0.95","0","48","0.41","0","0"
"1994-1987","100","0","0.3","0","75","1","100","1"
"1995-1988","100","0","0.3","0","72","0.92","100","0"
"1996-1989","0","26","0.97","38","30","0.16","37.79","0"
"1997-1990","0","19","0.81","0","50","0.51","0","0"
"1998-1991","0","25","0.92","0","73","0.95","0","0"
"1999-1992","100","0","0.3","0","71","0.89","100","0"
"2000-1993","0","15","0.78","0","61","0.73","0","0"
"2001-1994","100","0","0.3","0","43","0.32","100","0"
"2002-1995","100","4","0.51","64","25","0.05","164.05","0"
"2003-1996","0","14","0.76","79","22","0.03","78.79","0"
"2004-1997","100","2","0.41","0","43","0.35","100","0"
"2005-1998","0","7","0.59","0","60","0.7","0","0"
"2006-1999","100","4","0.49","63","25","0.08","163.16","0"
"2007-2000","0","7","0.54","0","75","1","0","0"
"2008-2001","100","2","0.38","0","55","0.59","100","0"
"2009-2002","0","11","0.73","0","52","0.54","0","0"
"2010-2003","100","0","0.3","0","53","0.57","100","0"
"2011-2004","0","25","0.89","0","61","0.76","0","0"
"2012-2005","0","7","0.57","0","49","0.43","0","0"
"2013-2006","100","3","0.46","0","70","0.86","100","0"
"2014-2007","100","0","0.3","0","55","0.62","100","1"
"2015-2008","0","11","0.7","0","68","0.84","0","0"
"2016-2009","0","20","0.84","0","56","0.65","0","0"
"2017-2010","100","0","0.3","0","43","0.3","100","0"
"2018-2011","0","8","0.65","0","68","0.81","0","0"
"2019-2012","0","7","0.62","2","37","0.24","1.76","0"
