"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.05","1","1","1","0.05","0.68",,"0.03"
"Abara","0.16","1","1","1","0.16","0.16",,"0.03"
"Abarwuha","0.14","1","1","0.14","0.14","0.89",,"0.03"
"Abaselima","0.08","1","1","1","0.08","0.16",,"0.03"
"Abina","0.08","1","1","0.05","0.08","0.62",,"0.03"
"AbrahaAtsbaha","0.16","1","0.11","0.08","0.16","0.73",,"0.03"
"Abrekuy","0.05","1","1","1","0.05","0.41",,"0.03"
"AdekeAla","0.03","1","1","0.03","0.03","0.35",,"0.06"
"Adekiney","0.22","1","0.19","0.24","0.22","0.7",,"0.28"
"AderSeg","0.05","1","1","1","0.05","0.57",,"0.03"
"Adibearj","1","1","1","1","1","0.59",,"0.25"
"AdiHa","0.51","1","0.05","0.05","0.51","0.81",,"0.03"
"AdiKisandid","0.16","1","0.08","0.11","0.16","0.7",,"0.03"
"Adisalem","0.22","1","0.16","0.16","0.22","0.68",,"0.03"
"AdisAlemS","0.03","1","1","0.03","0.03","0.27",,"0.06"
"AdisAlemW","0.03","1","0.03","0.08","0.03","0.86",,"0.12"
"Adiselam","1","1","1","1","1","0.51",,"0.12"
"Adishimbirkti","0.14","1","0.3","1","0.14","0.03",,"0.03"
"AdisKigni","0.16","1","0.3","0.22","0.16","0.11",,"0.16"
"Adiyikoro","0.16","1","0.03","0.11","0.16","0.76",,"0.12"
"Adizata","0.16","1","0.05","0.14","0.16","0.78",,"0.12"
"Adreb","1","1","1","1","1","0.92",,"0.12"
"AgazenMeda","0.14","1","1","0.38","0.14","0.92",,"0.03"
"Agazi","0.11","1","0.14","0.14","0.11","0.46",,"0.06"
"Agbe","0.51","1","1","0.03","0.51","0.32",,"0.03"
"Agela","1","1","1","1","1","0.51",,"0.03"
"Agid","1","1","1","1","1","0.86",,"0.03"
"AlemeTesfa","0.16","1","0.11","0.11","0.16","0.76",,"0.03"
"AmdiWeyane","0.03","1","1","0.03","0.03","0.32",,"0.06"
"Amedwuha","0.08","1","0.19","1","0.08","0.22",,"0.06"
"Ameno","0.24","1","1","1","0.24","0.81",,"0.03"
"Amisetya","0.05","1","1","1","0.05","0.7",,"0.03"
"Angot","0.14","1","1","1","0.14","0.89",,"0.03"
"Anigot","1","1","1","1","1","0.49",,"0.03"
"Ansheb","0.14","1","1","0.16","0.14","0.16",,"0.09"
"AquaShumoch","1","1","1","1","1","0.49",,"0.03"
"Aquha","0.08","1","1","0.19","0.08","0.73",,"0.03"
"Arena","0.08","0.03","0.05","0.11","0.08","0.49",,"0.09"
"Asmena","0.16","1","0.19","0.22","0.16","0.11",,"0.06"
"Asta","1","1","1","1","1","0.65",,"0.03"
"Atakilti","1","1","1","1","1","0.68",,"0.03"
"AwetBikalsi","0.51","1","0.05","0.03","0.51","0.84",,"0.03"
"AwusaMeda","0.16","1","1","0.08","0.16","0.81",,"0.03"
"Ayba","0.32","1","0.3","0.3","0.32","0.16",,"0.12"
"Aynalem","0.16","1","0.14","0.08","0.16","0.35",,"0.03"
"Bala","0.16","1","0.24","0.24","0.16","0.16",,"0.16"
"Balarab","0.05","1","1","0.08","0.05","0.68",,"0.03"
"Bamba","0.08","1","1","0.08","0.08","0.59",,"0.06"
"BarkaAdiswha","0.41","1","0.16","0.24","0.41","0.78",,"0.03"
"Begasheka","1","1","1","1","1","0.35",,"0.03"
"Berlay","0.19","1","0.03","0.11","0.19","0.84",,"0.03"
"Betgebez","0.32","1","1","0.14","0.32","0.62",,"0.31"
"Bethans","0.05","1","1","1","0.05","0.27",,"0.22"
"BilbWuha","1","1","1","1","1","0.62",,"0.09"
"Birkutea","1","1","1","1","1","0.78",,"0.03"
"Boneya","0.08","1","1","1","0.08","0.14",,"0.03"
"Burkoche","0.08","1","1","0.19","0.08","0.73",,"0.03"
"Cheli","0.11","1","1","0.05","0.11","0.43",,"0.06"
"Darubekeda","0.14","1","0.27","1","0.14","0.05",,"0.03"
"Deberkerbye","1","1","1","1","1","0.68",,"0.03"
"DeberAbaJale","1","1","1","1","1","0.62",,"0.03"
"DebrAbay","0.19","1","1","0.14","0.19","0.65",,"0.03"
"DebreAliays","0.19","1","0.16","0.14","0.19","0.7",,"0.03"
"Debrebirhan","0.22","1","0.11","0.16","0.22","0.65",,"0.06"
"Debrebrhan","0.16","1","0.08","0.03","0.16","0.38",,"0.09"
"DebreGenet","0.16","1","1","1","0.16","0.78",,"0.03"
"DebreGenetA","1","1","0.08","0.11","1","0.54",,"0.22"
"DebreGenetK","1","1","1","1","1","0.43",,"0.03"
"DebreGeorgis","0.16","1","0.11","0.14","0.16","0.54",,"0.03"
"DebreKidusan","0.16","1","1","1","0.16","0.86",,"0.03"
"Debremawie","0.19","1","1","1","0.19","0.46",,"0.03"
"Debreselam","0.11","1","0.11","0.08","0.11","0.41",,"0.06"
"Debrinetseb","1","1","1","1","1","0.51",,"0.03"
"Dekera","0.14","1","1","0.03","0.14","0.3",,"0.03"
