"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.62","1","0.38","0.14","0.62","0.32",,"0.53"
"Abara","0.81","0.49","0.81","0.73","0.81","0.32",,"0.47"
"Abarwuha","0.65","0.3","0.81","0.32","0.65","0.11",,"0.69"
"Abaselima","0.73","0.49","0.84","0.78","0.73","0.43",,"0.47"
"Abina","0.46","1","0.38","0.03","0.46","0.32",,"0.53"
"AbrahaAtsbaha","0.86","0.62","0.84","0.92","0.86","0.73",,"0.62"
"Abrekuy","0.78","0.22","0.59","0.49","0.78","0.35",,"0.47"
"AdekeAla","0.59","0.62","0.78","0.65","0.59","0.43",,"0.81"
"Adekiney","0.95","0.84","0.81","0.43","0.95","0.43",,"0.34"
"AderSeg","0.62","1","0.41","0.14","0.62","0.35",,"0.53"
"Adibearj","0.76","0.24","0.65","0.59","0.76","0.49",,"0.47"
"AdiHa","0.78","0.76","0.86","0.78","0.78","0.73",,"0.72"
"AdiKisandid","0.7","0.51","0.22","0.65","0.7","0.81",,"0.62"
"Adisalem","0.95","0.49","0.68","0.7","0.95","0.08",,"0.62"
"AdisAlemS","0.59","0.62","0.86","0.68","0.59","0.32",,"0.81"
"AdisAlemW","0.78","0.86","0.81","0.38","0.78","0.73",,"0.22"
"Adiselam","0.81","1","1","1","0.81","0.43",,"0.41"
"Adishimbirkti","0.46","0.49","0.27","0.32","0.46","0.49",,"0.56"
"AdisKigni","0.49","0.22","0.59","0.57","0.49","0.41",,"0.44"
"Adiyikoro","0.76","0.78","0.76","0.38","0.76","0.76",,"0.22"
"Adizata","0.76","0.78","0.81","0.14","0.76","0.73",,"0.22"
"Adreb","0.78","0.62","0.62","0.62","0.78","0.41",,"0.41"
"AgazenMeda","0.59","0.3","0.68","0.38","0.59","0.19",,"0.69"
"Agazi","0.95","0.46","0.35","0.49","0.95","0.62",,"0.66"
"Agbe","0.78","0.65","1","0.81","0.78","0.62",,"0.72"
"Agela","0.65","0.62","1","0.32","0.65","0.24",,"0.56"
"Agid","0.49","0.59","1","0.49","0.49","0.62",,"0.69"
"AlemeTesfa","0.54","0.57","0.43","0.19","0.54","0.36",,"0.62"
"AmdiWeyane","0.59","0.54","0.84","0.65","0.59","0.16",,"0.81"
"Amedwuha","0.73","0.54","0.7","0.32","0.73","0.57",,"0.72"
"Ameno","0.54","1","0.51","0.24","0.54","0.32",,"0.56"
"Amisetya","0.32","0.59","0.54","0.08","0.32","0.22",,"0.56"
"Angot","0.65","0.43","0.46","0.14","0.65","0.11",,"0.69"
"Anigot","0.65","0.62","0.38","0.24","0.65","0.38",,"0.56"
"Ansheb","0.7","0.57","0.89","0.62","0.7","0.32",,"0.81"
"AquaShumoch","0.24","0.41","0.38","0.35","0.24","0.16",,"0.5"
"Aquha","0.49","0.32","0.95","0.22","0.49","0.27",,"0.56"
"Arena","0.76","0.78","0.76","0.41","0.76","0.57",,"0.28"
"Asmena","0.97","0.59","0.43","0.41","0.97","0.11",,"0.66"
"Asta","0.51","1","1","0.22","0.51","0.46",,"0.56"
"Atakilti","0.84","1","1","1","0.84","0.57",,"0.38"
"AwetBikalsi","0.78","0.86","0.78","0.57","0.78","0.73",,"0.72"
"AwusaMeda","0.54","0.22","0.43","0.11","0.54","0.14",,"0.62"
"Ayba","0.7","0.73","0.73","0.22","0.7","0.76",,"0.12"
"Aynalem","0.86","0.49","0.84","0.73","0.86","0.81",,"0.62"
"Bala","0.49","0.22","0.65","0.54","0.49","0.41",,"0.44"
"Balarab","0.32","0.62","0.43","0.08","0.32","0.38",,"0.56"
"Bamba","0.7","0.73","0.78","0.78","0.7","0.54",,"0.81"
"BarkaAdiswha","0.78","0.62","0.41","0.76","0.78","0.73",,"0.62"
"Begasheka","0.84","0.7","1","1","0.84","0.68",,"0.38"
"Berlay","0.57","0.22","0.32","0.11","0.57","0.35",,"0.62"
"Betgebez","0.86","0.92","0.84","0.11","0.86","0.54",,"0.47"
"Bethans","0.73","0.49","0.81","0.38","0.73","0.54",,"0.44"
"BilbWuha","0.32","1","0.41","0.16","0.32","0.59",,"0.78"
"Birkutea","0.49","0.59","0.35","0.46","0.49","0.46",,"0.56"
"Boneya","0.73","0.49","0.84","0.86","0.73","0.22",,"0.47"
"Burkoche","0.24","0.3","0.95","0.22","0.24","0.19",,"0.56"
"Cheli","0.7","0.59","1","0.84","0.7","0.16",,"0.81"
"Darubekeda","0.41","0.35","0.81","0.7","0.41","0.46",,"0.56"
"Deberkerbye","1","1","1","1","1","0.41",,"0.41"
"DeberAbaJale","0.27","0.59","0.35","0.59","0.27","0.24",,"0.5"
"DebrAbay","0.89","0.22","1","0.78","0.89","0.03",,"0.62"
"DebreAliays","0.73","0.49","0.57","0.19","0.73","0.16",,"0.62"
"Debrebirhan","0.95","0.7","0.59","0.76","0.95","0.35",,"0.84"
"Debrebrhan","0.86","0.73","0.76","0.62","0.86","0.76",,"0.56"
"DebreGenet","0.49","0.16","0.73","1","0.49","0.24",,"0.62"
"DebreGenetA","0.76","0.89","0.81","0.38","0.76","0.73",,"0.44"
"DebreGenetK","0.78","0.7","1","1","0.78","0.65",,"0.38"
"DebreGeorgis","0.54","0.57","0.38","0.16","0.54","0.24",,"0.62"
"DebreKidusan","0.51","0.22","0.7","0.46","0.51","0.16",,"0.62"
"Debremawie","0.57","0.22","0.76","0.68","0.57","0.03",,"0.62"
"Debreselam","0.73","0.49","0.76","0.54","0.73","0.24",,"0.84"
"Debrinetseb","0.86","1","1","0.78","0.86","0.57",,"0.38"
"Dekera","0.68","0.62","0.73","0.57","0.68","0.24",,"0.59"
"DembezaAmbaLay","0.57","0.22","0.54","0.27","0.57","0.05",,"0.62"
"Derit","0.54","0.43","1","0.35","0.54","0.16",,"0.69"
"Derita","0.51","0.68","1","0.27","0.51","0.38",,"0.56"
"Dinkashena","0.95","0.35","0.86","0.49","0.95","0.3",,"0.47"
"Ebo","0.86","0.54","0.84","0.54","0.86","0.81",,"0.12"
"Edagaarbi","0.84","0.78","0.78","0.22","0.84","0.78",,"0.28"
