"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","50","0.43","75","1","62.7","0.16","75","1","49.5610285068627","0.43","0.283368414220097","0.84",,,"7.49192956793174","0.03"
"1984-1977","0","33","0.27","75","1","75","1","75","1","33.3205318","0.27","0.238104454378321","0.19",,,"15.0860495438521","0.09"
"1985-1978","0","74","0.84","75","1","70.2","0.3","74","0.24","73.934843","0.84","0.234118271797778","0.14",,,"42.96849949025","0.56"
"1986-1979","0","57","0.65","75","1","75","1","75","1","57.2261343735294","0.65","0.238143988167276","0.22",,,"33.1649966025493","0.38"
"1987-1980","90","11","0.03","75","1","75","1","68","0.16","11.1850359933333","0.03","0.235538056292872","0.16",,,"13.6048195815566","0.06"
"1988-1981","0","60","0.73","75","1","75","1","75","1","59.785491","0.73","0.283296477878076","0.81",,,"40.1950921465661","0.5"
"1989-1982","14","29","0.16","75","1","75","1","72","0.22","28.677041","0.16","0.263908474877567","0.54",,,"48.1501695287327","0.66"
"1990-1983","0","50","0.46","75","1","72.5","0.32","68","0.16","49.759638","0.46","0.2513677062959","0.38",,,"26.0745990676056","0.22"
"1991-1984","0","57","0.62","75","1","69.5","0.24","75","1","56.553351","0.62","0.281783274192849","0.78",,,"23.5833606054145","0.16"
"1992-1985","0","50","0.51","75","1","50","0.03","50","0.03","50","0.51","0.286923201599635","0.89",,,"41.1628294350611","0.53"
"1993-1986","0","65","0.78","75","1","75","1","75","1","64.6781318","0.78","0.243535559060463","0.3",,,"59.1351299873673","0.75"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.279396627822004","0.76",,,"64.9664208123755","0.88"
"1995-1988","0","75","1","75","1","75","1","75","1","75","1","0.259314844710032","0.49",,,"73.2344874606275","1"
"1996-1989","0","57","0.68","75","1","70.1","0.27","75","1","57.253797","0.68","0.232730845285527","0.11",,,"32.5443446987694","0.34"
"1997-1990","0","54","0.57","75","1","56.7","0.05","75","1","53.549208","0.57","0.253527891357074","0.43",,,"28.649981167585","0.28"
"1998-1991","0","69","0.81","75","1","75","1","75","1","68.9841296","0.81","0.262977492032377","0.51",,,"59.6131592796356","0.78"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.25686709256167","0.46",,,"63.6937554119909","0.84"
"2000-1993","0","41","0.38","75","1","75","1","75","1","40.882223","0.38","0.2765699","0.73",,,"24","0.19"
"2001-1994","0","46","0.41","75","1","63.6","0.22","75","1","45.631938","0.41","0.2644407","0.57",,,"36.7","0.47"
"2002-1995","52","20","0.05","75","1","63","0.19","55","0.08","19.962506","0.05","0.2905343","0.92",,,"19.3","0.12"
"2003-1996","33","24","0.08","75","1","75","1","75","1","24.4912241","0.08","0.2668622","0.62",,,"43.8","0.59"
"2004-1997","10","30","0.19","75","1","61.8","0.14","54","0.05","29.7216471","0.19","0.2195156","0.05",,,"28.2","0.25"
"2005-1998","0","50","0.54","75","1","75","1","75","1","50.331483","0.54","0.2669648","0.65",,,"44.6","0.62"
"2006-1999","15","29","0.14","75","1","60.1","0.11","75","1","28.6359469","0.14","0.2525584","0.41",,,"62.3","0.81"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.2681188","0.68","1.32258","0.27","70","0.97"
"2008-2001","0","58","0.7","75","1","75","1","75","1","57.8462919","0.7","0.2694386","0.7","1.645161","0.45","69.9","0.94"
"2009-2002","0","39","0.32","75","1","75","1","71","0.19","38.5995409","0.32","0.232327","0.08","1.741935","0.55","36.4","0.41"
"2010-2003","0","75","1","75","1","75","1","75","1","75","1","0.2668604","0.59","1.32258","0.27","67.6","0.91"
"2011-2004","0","40","0.35","75","1","75","1","75","1","40.1598284","0.35","0.3058786","0.97","1.129032","0.09","36.5","0.44"
"2012-2005","0","38","0.3","75","1","75","1","75","1","38.44849","0.3","0.2490263","0.32","1.870967","0.73","32.4","0.31"
"2013-2006","0","55","0.59","75","1","75","1","75","1","54.8558451","0.59","0.2392445","0.24","2.322581","0.91","56.9","0.72"
"2014-2007","0","50","0.51","75","1","74.8","0.35","75","1","50","0.51","0.3185872","1","2.983871","1","53.7","0.69"
"2015-2008","7","30","0.22","69.45833","0.05","59.7","0.08","65","0.11","30.430031","0.22","0.2001338","0.03","1.903225","0.82",,
"2016-2009","0","60","0.76","75","1","75","1","75","1","60.1004039","0.76","0.2392794","0.27","1.483871","0.36",,
"2017-2010","4","31","0.24","66.88274","0.03","75","1","75","1","31.0348206","0.24","0.2495514","0.35","1.854838","0.64",,
"2018-2011","0","75","1","75","1","75","1","75","1","75","1","0.2868786","0.86",,,,
"2019-2012","29","25","0.11","71.49812","0.08","75","1","75","1","25.401384","0.11","0.2968985","0.95",,,,
