"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.35","0.3","0.51","0.76","0.35","0.38",,"0.88"
"Abara","0.32","0.22","0.35","0.19","0.32","0.41",,"0.72"
"Abarwuha","0.03","0.73","0.22","0.62","0.03","0.35",,"0.19"
"Abaselima","0.19","0.22","0.22","0.32","0.19","0.27",,"0.72"
"Abina","0.38","0.32","0.46","0.73","0.38","0.43",,"0.88"
"AbrahaAtsbaha","0.24","0.05","0.68","0.84","0.24","0.38",,"0.44"
"Abrekuy","0.08","0.24","0.38","0.62","0.08","0.24",,"0.72"
"AdekeAla","0.97","0.86","0.73","0.86","0.97","0.35",,"0.19"
"Adekiney","0.32","0.11","0.51","0.89","0.32","0.46",,"0.62"
"AderSeg","0.35","0.59","0.49","0.76","0.35","0.38",,"0.88"
"Adibearj","0.89","0.57","0.62","1","0.89","0.73",,"0.88"
"AdiHa","0.43","0.35","0.73","0.89","0.43","0.81",,"0.09"
"AdiKisandid","0.22","0.14","0.68","0.89","0.22","0.51",,"0.44"
"Adisalem","0.16","0.22","0.32","0.24","0.16","0.54",,"0.59"
"AdisAlemS","0.97","0.86","0.73","0.84","0.97","0.41",,"0.19"
"AdisAlemW","0.22","0.03","0.59","0.86","0.22","0.49",,"0.38"
"Adiselam","1","1","1","1","1","0.59",,"0.84"
"Adishimbirkti","0.51","0.05","0.24","0.35","0.51","0.3",,"1"
"AdisKigni","0.54","0.08","0.41","0.57","0.54","0.57",,"0.75"
"Adiyikoro","0.22","0.05","0.57","0.7","0.22","0.59",,"0.38"
"Adizata","0.22","0.05","0.49","0.84","0.22","0.43",,"0.38"
"Adreb","0.65","0.32","0.73","1","0.65","0.78",,"0.84"
"AgazenMeda","0.08","0.73","0.14","0.57","0.08","0.27",,"0.19"
"Agazi","0.35","0.05","0.62","0.97","0.35","0.57",,"0.09"
"Agbe","0.62","0.38","0.7","0.76","0.62","0.46",,"0.09"
"Agela","0.73","0.54","1","1","0.73","0.62",,"0.62"
"Agid","0.7","0.54","1","1","0.7","0.86",,"0.66"
"AlemeTesfa","0.14","0.19","0.16","0.11","0.14","0.6",,"0.59"
"AmdiWeyane","0.97","0.84","0.73","0.84","0.97","0.51",,"0.19"
"Amedwuha","0.46","0.05","0.59","0.73","0.46","0.32",,"0.91"
"Ameno","0.35","0.59","0.68","1","0.35","0.68",,"0.62"
"Amisetya","0.43","0.03","0.43","0.86","0.43","0.62",,"0.72"
"Angot","0.03","0.14","0.24","0.43","0.03","0.46",,"0.19"
"Anigot","0.73","0.54","1","1","0.73","0.76",,"0.62"
"Ansheb","0.27","0.19","0.32","0.14","0.27","0.41",,"0.62"
"AquaShumoch","0.14","0.59","0.7","1","0.14","0.76",,"0.66"
"Aquha","0.16","0.03","0.68","0.95","0.16","0.7",,"0.72"
"Arena","0.22","0.03","0.62","0.89","0.22","0.68",,"0.22"
"Asmena","0.57","0.22","0.49","0.84","0.57","0.51",,"0.09"
"Asta","0.68","0.59","1","0.78","0.68","0.68",,"0.62"
"Atakilti","0.89","1","0.76","1","0.89","0.54",,"0.34"
"AwetBikalsi","0.43","0.43","0.76","0.92","0.43","0.81",,"0.09"
"AwusaMeda","0.14","0.24","0.32","0.19","0.14","0.65",,"0.59"
"Ayba","0.49","0.05","0.14","0.38","0.49","0.27",,"0.97"
"Aynalem","0.24","0.05","0.68","0.86","0.24","0.62",,"0.44"
"Bala","0.54","0.08","0.41","0.54","0.54","0.49",,"0.75"
"Balarab","0.43","0.03","0.35","0.73","0.43","0.49",,"0.72"
"Bamba","0.78","0.27","0.73","0.7","0.78","0.7",,"0.19"
"BarkaAdiswha","0.24","0.19","0.7","0.92","0.24","0.46",,"0.44"
"Begasheka","0.65","0.68","0.76","0.73","0.65","0.62",,"0.34"
"Berlay","0.11","0.24","0.3","0.22","0.11","0.46",,"0.59"
"Betgebez","0.22","0.05","0.46","0.81","0.22","0.51",,"0.31"
"Bethans","0.38","0.14","0.7","0.86","0.38","0.43",,"1"
"BilbWuha","0.89","0.14","1","1","0.89","0.89",,"0.75"
"Birkutea","0.7","0.54","0.68","1","0.7","0.59",,"0.62"
"Boneya","0.19","0.22","0.38","0.24","0.19","0.27",,"0.72"
"Burkoche","0.19","0.03","0.68","0.95","0.19","0.7",,"0.72"
"Cheli","0.76","0.84","0.76","0.73","0.76","0.62",,"0.19"
"Darubekeda","0.46","0.05","0.46","0.59","0.46","0.65",,"1"
"Deberkerbye","1","1","1","1","1","0.73",,"0.91"
"DeberAbaJale","0.38","0.54","0.68","1","0.38","0.78",,"0.66"
"DebrAbay","0.24","0.24","0.51","0.32","0.24","0.27",,"0.59"
"DebreAliays","0.14","0.22","0.32","0.08","0.14","0.32",,"0.59"
"Debrebirhan","0.24","0.08","0.19","0.51","0.24","0.19",,"0.03"
"Debrebrhan","0.19","0.05","0.78","0.92","0.19","0.38",,"0.28"
"DebreGenet","0.08","0.05","0.22","0.08","0.08","0.51",,"0.59"
"DebreGenetA","0.27","0.05","0.7","0.89","0.27","0.62",,"1"
"DebreGenetK","0.62","0.65","0.78","0.78","0.62","0.73",,"0.34"
"DebreGeorgis","0.14","0.19","0.19","0.08","0.14","0.51",,"0.59"
"DebreKidusan","0.35","0.05","0.68","0.7","0.35","0.54",,"0.59"
"Debremawie","0.11","0.24","0.24","0.05","0.11","0.35",,"0.59"
"Debreselam","0.3","0.05","0.46","0.76","0.3","0.16",,"0.03"
"Debrinetseb","0.84","1","1","1","0.84","0.76",,"0.34"
"Dekera","0.92","0.54","0.76","0.78","0.92","0.27",,"0.81"
"DembezaAmbaLay","0.11","0.24","0.24","0.08","0.11","0.54",,"0.59"
"Derit","0.11","0.59","0.19","0.59","0.11","0.22",,"0.19"
"Derita","0.68","0.62","1","1","0.68","0.86",,"0.62"
"Dinkashena","0.46","0.05","0.46","0.54","0.46","0.59",,"0.94"
"Ebo","0.57","0.08","0.19","0.43","0.57","0.73",,"0.97"
"Edagaarbi","0.35","0.14","0.57","0.89","0.35","0.65",,"0.19"
"EmbaAhfrom","0.3","0.14","0.57","0.86","0.3","0.7",,"0.38"
"EmbachekoGunaguna","0.14","0.59","0.76","1","0.14","0.49",,"0.66"
"EndaBagerima","0.11","0.05","0.54","0.76","0.11","0.59",,"1"
"Endabano","0.73","0.62","0.76","0.92","0.73","0.68",,"0.38"
"Endachiwa","0.27","0.16","0.81","1","0.27","0.51",,"0.38"
"EndaFelasi","0.59","0.22","0.81","0.92","0.59","0.43",,"0.38"
"Endagahamus","0.32","0.03","0.68","0.84","0.32","0.65",,"0.38"
"Endamariam","0.24","0.03","0.51","0.84","0.24","0.68",,"0.31"
"Erba","0.57","0.08","0.35","0.54","0.57","0.3",,"0.91"
"Esiret","0.76","0.24","0.76","0.76","0.76","0.73",,"0.19"
"Estifanos","0.7","0.54","1","1","0.7","0.89",,"0.62"
