"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","100","3","0.73","9.9634474","0.7","5.5","0.27","15","0.62","3.3997726","0.73","0.175693908529209","0.73",,,"77.4462022304921","0.72"
"1984-1977","100","0","0.54","11.9482214","0.84","5.2","0.24","13","0.54","0.29749225","0.54","0.192454511644502","0.92",,,"44.1654099299196","0.31"
"1985-1978","100","0","0.49","7.9355716","0.35","0","0.05","0","0.11","0","0.49","0.159093606841542","0.51",,,"58.5422821863405","0.5"
"1986-1979","100","3","0.68","23.7163212","0.95","32.3542857142857","0.95","41","0.95","2.919486","0.68","0.177056628796784","0.78",,,"91.81904307354","0.84"
"1987-1980","100","1","0.59","4.9874528","0.05","12.0416666666667","0.38","0","0.11","0.890420294444444","0.59","0.158649095681535","0.49",,,"75.404209417825","0.69"
"1988-1981","100","0","0.49","7.9355716","0.35","13.6","0.41","19","0.65","0","0.49","0.157978658002687","0.43",,,"31.7359725383544","0.22"
"1989-1982","100","1","0.57","5.5982636","0.08","14.2487301587302","0.43","22","0.68","0.711610805555556","0.57","0.153212830595402","0.35",,,"101.821930147526","1"
"1990-1983","100","0","0.49","7.9355716","0.35","10.2","0.35","9","0.43","0","0.49","0.135432000158453","0.05",,,"28.8332893584337","0.19"
"1991-1984","0","13","0.92","7.9355716","0.35","26.3","0.73","28","0.78","12.98211","0.92","0.176750551564131","0.76",,,"58.2114768597338","0.47"
"1992-1985","100","0","0.49","7.9355716","0.35","10.2","0.35","8","0.38","0","0.49","0.147281022651826","0.27",,,"70.2732034656851","0.62"
"1993-1986","100","0","0.51","22.1400335","0.92","22.5","0.65","3","0.22","0.100547833333333","0.51","0.194181592358272","0.95",,,"46.9814341101823","0.38"
"1994-1987","100","0","0.49","7.9390776","0.41","4.4","0.19","23","0.7","0","0.49","0.14673447068734","0.24",,,"1.97480076662939","0.03"
"1995-1988","100","3","0.7","8.0750361","0.46","15.9","0.51","15","0.62","3.028599","0.7","0.148410542294066","0.3",,,"59.7919220047822","0.56"
