"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","39","0.24","75","1","69.2","0.14","75","1","39.3317896633987","0.24","0.246976235091383","0.78",,,"-8.10182915029403","0.06"
"1984-1977","79","22","0.03","75","1","72.9","0.22","75","1","22.452003","0.03","0.220960086365879","0.11",,,"-0.270893781224949","0.12"
"1985-1978","0","75","1","75","1","75","1","75","1","75","1","0.227626874264502","0.27",,,"30.1951905086198","0.5"
"1986-1979","0","54","0.54","75","1","75","1","75","1","54.0117659411765","0.54","0.2321590550571","0.32",,,"34.414492169791","0.56"
"1987-1980","39","31","0.11","75","1","65.6","0.05","68","0.19","30.7192678746032","0.11","0.237248353963562","0.51",,,"-29.894991969029","0.03"
"1988-1981","0","68","0.73","75","1","75","1","75","1","68.220801","0.73","0.234043289878996","0.38",,,"29.0838822527276","0.47"
"1989-1982","16","36","0.16","75","1","74","0.24","69","0.24","35.684769","0.16","0.234324982955761","0.43",,,"48.1931946839157","0.75"
"1990-1983","0","48","0.32","75","1","75","1","75","1","47.584127","0.32","0.227626874264502","0.27",,,"-3.1183455648614","0.09"
"1991-1984","11","37","0.19","75","1","75","1","75","1","36.602214","0.19","0.222005490591451","0.14",,,"6.27619390531788","0.25"
"1992-1985","0","50","0.43","75","1","70.4","0.19","75","1","50","0.43","0.226838129768421","0.22",,,"21.2211322198703","0.41"
"1993-1986","0","75","1","75","1","75","1","75","1","75","1","0.237260870637199","0.54",,,"37.3078153436667","0.69"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.268973541888967","0.95",,,"55.7114171076795","0.91"
"1995-1988","0","64","0.68","75","1","75","1","75","1","63.6664121213352","0.68","0.233123071795489","0.35",,,"28.0854215542826","0.44"
"1996-1989","49","29","0.05","75","1","66.6","0.11","64","0.14","28.673799","0.05","0.220703426636388","0.08",,,"36.1318933956006","0.62"
"1997-1990","0","50","0.43","75","1","75","1","75","1","50","0.43","0.223783304578889","0.16",,,"8.74450782061583","0.28"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.231101134157892","0.3",,,"73.8936155864427","1"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.236985426194405","0.49",,,"52.1462847833632","0.88"
"2000-1993","0","54","0.49","75","1","75","1","75","1","53.620854","0.49","0.2435189","0.73",,,"11.3","0.34"
"2001-1994","0","48","0.35","75","1","75","1","75","1","48.113309","0.35","0.2166814","0.05",,,"3.1","0.19"
"2002-1995","41","30","0.08","75","1","65.7","0.08","64","0.14","30.322551","0.08","0.2155509","0.03",,,"2.1","0.16"
"2003-1996","0","54","0.51","75","1","75","1","75","1","53.646307","0.51","0.2408989","0.65",,,"36.1","0.59"
"2004-1997","0","50","0.38","75","1","64.1","0.03","71","0.27","49.769476","0.38","0.2265988","0.19",,,"4.8","0.22"
"2005-1998","0","60","0.59","75","1","75","1","57","0.03","60.338129","0.59","0.2424376","0.7",,,"33.5","0.53"
"2006-1999","27","33","0.14","75","1","69.5","0.16","75","1","33.295973","0.14","0.2341618","0.41",,,"49","0.81"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.2379735","0.57","4.612903","0.45","71.4","0.97"
"2008-2001","0","64","0.65","75","1","75","1","75","1","63.608527","0.65","0.244874","0.76","3.298387","0.18","48.4","0.78"
"2009-2002","0","40","0.27","75","1","75","1","75","1","39.584697","0.27","0.2346578","0.46","2.798387","0.09","36.3","0.66"
"2010-2003","0","41","0.3","75","1","75","1","62","0.05","41.399986","0.3","0.2566601","0.84","5.193548","0.64","60.8","0.94"
"2011-2004","0","51","0.46","75","1","75","1","75","1","50.672057","0.46","0.268775","0.92","5.508064","0.73","17.5","0.38"
"2012-2005","0","57","0.57","75","1","75","1","63","0.08","57.209811","0.57","0.2527379","0.81","5.532257","0.82","11.2","0.31"
"2013-2006","0","69","0.76","75","1","75","1","75","1","68.98719","0.76","0.2393327","0.59","4.588709","0.36","46.4","0.72"
"2014-2007","0","75","1","75","1","75","1","69","0.24","75","1","0.2741895","0.97","7.701612","1","51.2","0.84"
"2015-2008","0","64","0.7","75","1","75","1","66","0.16","63.841557","0.7","0.2412641","0.68","3.75","0.27",,
"2016-2009","0","62","0.62","75","1","75","1","75","1","61.94134","0.62","0.2605241","0.86","7.088709","0.91",,
"2017-2010","0","73","0.78","75","1","75","1","75","1","72.600223","0.78","0.2399181","0.62","5.129032","0.55",,
"2018-2011","0","75","1","75","1","75","1","75","1","75","1","0.2748","1",,,,
"2019-2012","8","37","0.22","75","1","75","1","74","0.3","37.411959","0.22","0.2650442","0.89",,,,
