"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AbaBikila","0.05","1","0.3","1","0.03","1","1","0.24","1","0.08","1","1","0.14","1","1","1","1","1","1","1","1","0.11","1","1","1","1","0.27","0.16","1","1","1","1","0.22","1","1","1","0.19"
"Abara","0.16","0.14","0.22","1","0.03","1","1","0.19","0.24","0.05","1","1","0.32","1","1","1","1","1","1","0.3","1","0.11","1","0.35","1","1","1","0.27","1","1","1","1","0.08","1","1","1","1"
"Abarwuha","0.14","0.19","0.24","1","0.16","1","1","0.27","1","0.08","0.08","1","1","1","1","1","1","1","1","1","1","0.11","1","0.08","1","1","1","1","0.22","1","1","1","1","1","1","1","1"
"Abaselima","0.08","0.05","0.19","1","0.16","1","1","1","1","0.03","1","1","0.27","1","1","1","1","1","1","0.24","1","0.14","1","1","1","1","1","0.22","1","1","1","1","0.11","1","1","1","1"
"Abina","0.08","0.19","1","1","0.03","1","0.41","0.16","1","0.11","0.05","1","0.22","1","1","1","1","1","1","1","1","0.14","1","1","1","1","0.35","0.3","1","1","1","0.38","0.27","1","1","0.24","0.32"
"AbrahaAtsbaha","0.16","0.08","0.19","1","0.03","1","0.38","0.38","1","0.38","0.68","1","1","1","0.51","0.73","1","0.54","0.59","0.05","0.11","0.22","0.3","0.14","1","0.27","0.43","1","1","0.46","0.57","0.7","0.62","0.49","0.41","0.65","0.24"
"Abrekuy","0.05","0.08","1","1","0.14","1","1","1","1","0.11","1","1","1","1","1","1","1","1","1","0.22","1","0.19","1","0.24","1","1","1","0.16","1","1","1","1","0.03","1","1","1","1"
"AdekeAla","0.03","0.19","0.3","1","0.24","1","0.05","0.22","1","0.16","1","1","0.38","1","1","1","1","1","0.16","0.08","0.35","0.43","1","1","1","0.54","1","1","0.27","0.57","0.46","0.41","0.11","1","0.32","0.49","0.51"
"Adekiney","0.22","0.03","1","0.51","0.14","1","0.11","0.35","0.16","0.49","0.43","1","0.86","0.24","0.46","0.78","0.84","0.57","0.32","0.08","0.41","0.38","0.27","0.19","1","0.73","0.7","0.54","0.3","0.59","0.68","0.65","0.81","0.62","1","0.76","0.05"
"AderSeg","0.05","1","0.3","1","0.03","1","1","0.24","1","0.08","1","1","0.14","1","1","1","1","1","1","1","1","0.11","1","1","1","1","0.27","0.16","1","1","1","1","0.22","1","1","1","0.19"
"Adibearj","1","1","1","1","1","1","0.08","0.03","1","1","1","1","1","1","1","1","1","1","1","0.11","1","0.05","0.16","1","1","1","1","1","1","1","0.14","1","1","1","1","1","1"
"AdiHa","0.51","0.08","1","1","0.03","1","0.41","0.11","0.3","0.16","1","1","1","0.38","1","1","1","0.54","0.49","0.27","0.22","0.14","1","0.05","1","1","0.46","0.24","0.59","1","0.35","0.43","0.57","1","0.19","0.32","1"
"AdiKisandid","0.16","0.11","0.35","1","0.03","0.65","0.22","0.54","0.49","0.41","0.73","1","1","1","0.62","0.78","1","0.57","0.3","0.08","0.14","0.24","0.38","0.27","1","0.32","0.43","1","0.7","0.51","0.59","0.46","0.76","0.68","0.19","0.81","0.05"
"Adisalem","0.22","0.32","1","0.14","0.16","1","1","0.3","0.41","0.03","0.08","1","0.35","1","1","1","1","1","1","1","1","0.24","1","0.14","1","1","1","1","0.19","0.27","1","0.38","0.05","1","1","1","1"
"AdisAlemS","0.03","0.19","0.3","1","0.24","1","0.05","0.22","1","0.16","1","1","0.38","1","1","1","1","1","0.16","0.08","0.35","0.43","1","1","1","0.54","1","1","0.27","0.57","0.46","0.41","0.11","1","0.32","0.49","0.51"
"AdisAlemW","0.03","0.57","1","1","0.08","1","0.54","0.22","1","0.51","1","1","1","0.05","0.22","1","1","0.35","0.27","0.38","0.59","0.22","0.41","0.32","1","0.3","0.14","0.24","0.46","1","0.49","1","0.65","0.43","0.62","1","0.11"
"Adiselam","1","1","1","1","1","1","1","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Adishimbirkti","0.14","0.03","0.78","0.27","0.08","0.51","0.3","0.24","0.84","0.11","0.32","0.51","0.57","0.73","0.89","0.86","1","0.54","0.51","1","0.22","0.16","0.81","1","1","0.65","0.19","0.51","0.62","0.51","0.7","0.51","0.05","0.51","0.59","0.76","0.68"
"AdisKigni","0.16","0.05","0.3","0.22","0.08","0.57","0.89","0.19","0.57","0.24","0.57","0.84","0.62","0.78","0.57","1","0.76","0.27","0.32","0.73","0.59","0.11","0.68","1","1","0.81","0.65","0.57","0.57","0.57","0.57","0.14","0.05","0.57","0.7","0.86","0.92"
