"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET","AVE"
"AbaBikila",1,0.444444444444444,0.666666666666667,0.777777777777778,1,0.333333333333333,0,0,0.46031746031746
"Abara",1,0.555555555555556,0.666666666666667,0.666666666666667,1,0.333333333333333,0.111111111111111,0.333333333333333,0.523809523809524
"Abarwuha",1,0.333333333333333,0.333333333333333,0.222222222222222,1,0.555555555555556,0,0.333333333333333,0.396825396825397
"Abaselima",1,0.444444444444444,0.666666666666667,0.444444444444444,1,0.222222222222222,0,0.333333333333333,0.444444444444444
"Abina",1,0.555555555555556,0.555555555555556,0.666666666666667,1,0.555555555555556,0.111111111111111,0,0.492063492063492
"AbrahaAtsbaha",1,0.222222222222222,0.222222222222222,0.444444444444444,1,0.222222222222222,0,0.111111111111111,0.317460317460317
"Abrekuy",1,0.375,0.625,0.375,1,0.375,0,0.25,0.428571428571429
"AdekeAla",1,0.444444444444444,0.555555555555556,0.333333333333333,1,0.222222222222222,0.111111111111111,0.333333333333333,0.428571428571429
"Adekiney",1,0.444444444444444,0.555555555555556,0.222222222222222,1,0.111111111111111,0.222222222222222,0.222222222222222,0.396825396825397
"AderSeg",1,0.444444444444444,0.666666666666667,0.777777777777778,1,0.444444444444444,0,0,0.476190476190476
"Adibearj",1,0.555555555555556,0.555555555555556,0.444444444444444,1,0.444444444444444,0.111111111111111,0.666666666666667,0.53968253968254
"AdiHa",1,0.444444444444444,0.333333333333333,0.333333333333333,1,0.222222222222222,0,0.333333333333333,0.380952380952381
"AdiKisandid",1,0.333333333333333,0.222222222222222,0.444444444444444,1,0.222222222222222,0,0.111111111111111,0.333333333333333
"Adisalem",1,0.666666666666667,0.555555555555556,0.666666666666667,1,0.444444444444444,0.111111111111111,0.222222222222222,0.523809523809524
"AdisAlemS",1,0.444444444444444,0.555555555555556,0.333333333333333,1,0.222222222222222,0.111111111111111,0.333333333333333,0.428571428571429
"AdisAlemW",1,0.666666666666667,0.666666666666667,0.333333333333333,1,0.333333333333333,0,0.222222222222222,0.46031746031746
"Adiselam",1,0.555555555555556,0.666666666666667,0.333333333333333,1,0.333333333333333,0.111111111111111,0.555555555555556,0.507936507936508
"Adishimbirkti",,,,,,,,,-0.142857142857143
"AdisKigni",,,,,,,,,-0.142857142857143
"Adiyikoro",1,0.666666666666667,0.555555555555556,0.333333333333333,1,0.111111111111111,0.111111111111111,0.222222222222222,0.428571428571429
"Adizata",1,0.666666666666667,0.666666666666667,0.222222222222222,1,0.111111111111111,0.111111111111111,0.222222222222222,0.428571428571429
"Adreb",1,0.555555555555556,0.555555555555556,0.333333333333333,1,0.222222222222222,0.111111111111111,0.555555555555556,0.476190476190476
"AgazenMeda",1,0.111111111111111,0.666666666666667,0.555555555555556,1,0.555555555555556,0,0.222222222222222,0.444444444444444
"Agazi",,,,,,,,,-0.142857142857143
"Agbe",1,0.444444444444444,0.444444444444444,0.444444444444444,1,0.222222222222222,0,0.444444444444444,0.428571428571429
"Agela",1,0.444444444444444,0.444444444444444,0.111111111111111,1,0.111111111111111,0,0.111111111111111,0.317460317460317
"Agid",1,0.111111111111111,0.444444444444444,0.333333333333333,1,0.111111111111111,0.111111111111111,0.222222222222222,0.333333333333333
"AlemeTesfa",1,0.666666666666667,0.555555555555556,0.444444444444444,1,0.222222222222222,0.111111111111111,0.111111111111111,0.444444444444444
"AmdiWeyane",1,0.555555555555556,0.555555555555556,0.222222222222222,1,0.222222222222222,0.111111111111111,0.333333333333333,0.428571428571429
"Amedwuha",,,,,,,,,-0.142857142857143
"Ameno",1,0.444444444444444,0.555555555555556,0.222222222222222,1,0.333333333333333,0.111111111111111,0.333333333333333,0.428571428571429
"Amisetya",1,0.555555555555556,0.444444444444444,0.333333333333333,1,0.222222222222222,0.111111111111111,0.111111111111111,0.396825396825397
"Angot",1,0.333333333333333,0.444444444444444,0.222222222222222,1,0.333333333333333,0,0.333333333333333,0.380952380952381
"Anigot",1,0.444444444444444,0.444444444444444,0.111111111111111,1,0.222222222222222,0,0.111111111111111,0.333333333333333
"Ansheb",1,0.666666666666667,0.666666666666667,0.555555555555556,1,0.333333333333333,0.111111111111111,0.333333333333333,0.523809523809524
"AquaShumoch",1,0.444444444444444,0.666666666666667,0.444444444444444,1,0.333333333333333,0,0.111111111111111,0.428571428571429
"Aquha",1,0.666666666666667,0.444444444444444,0.333333333333333,1,0.444444444444444,0.111111111111111,0.111111111111111,0.444444444444444
"Arena",1,0.777777777777778,0.444444444444444,0.444444444444444,1,0.333333333333333,0,0.333333333333333,0.476190476190476
"Asmena",,,,,,,,,-0.142857142857143
"Asta",1,0.444444444444444,0.444444444444444,0.333333333333333,1,0.555555555555556,0,0.222222222222222,0.428571428571429
"Atakilti",1,0.555555555555556,0.666666666666667,0.222222222222222,1,0.222222222222222,0,0.555555555555556,0.46031746031746
"AwetBikalsi",1,0.444444444444444,0.555555555555556,0.333333333333333,1,0.222222222222222,0,0.333333333333333,0.412698412698413
"AwusaMeda",1,0.444444444444444,0.555555555555556,0.555555555555556,1,0.333333333333333,0.111111111111111,0.111111111111111,0.444444444444444
"Ayba",,,,,,,,,-0.142857142857143
"Aynalem",1,0.222222222222222,0.222222222222222,0.333333333333333,1,0.222222222222222,0,0.111111111111111,0.301587301587302
"Bala",,,,,,,,,-0.142857142857143
"Balarab",1,0.444444444444444,0.444444444444444,0.555555555555556,1,0.333333333333333,0.111111111111111,0.111111111111111,0.428571428571429
"Bamba",1,0.444444444444444,0.666666666666667,0.333333333333333,1,0.555555555555556,0,0.555555555555556,0.507936507936508
"BarkaAdiswha",1,0.333333333333333,0.222222222222222,0.222222222222222,1,0.111111111111111,0,0.111111111111111,0.285714285714286
"Begasheka",1,0.5,0.5,0.375,1,0.25,0,0.5,0.446428571428571
"Berlay",1,0.555555555555556,0.444444444444444,0.444444444444444,1,0.333333333333333,0.111111111111111,0.111111111111111,0.428571428571429
"Betgebez",1,0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333,0.111111111111111,0.111111111111111,0.412698412698413
"Bethans",1,0.666666666666667,0.444444444444444,0.444444444444444,1,0.333333333333333,0,0.333333333333333,0.46031746031746
"BilbWuha",1,0.444444444444444,0.666666666666667,0.444444444444444,1,0.222222222222222,0.111111111111111,0.111111111111111,0.428571428571429
"Birkutea",1,0.555555555555556,0.666666666666667,0.222222222222222,1,0.333333333333333,0,0.333333333333333,0.444444444444444
"Boneya",1,0.444444444444444,0.444444444444444,0.555555555555556,1,0.222222222222222,0,0.333333333333333,0.428571428571429
"Burkoche",1,0.555555555555556,0.444444444444444,0.444444444444444,1,0.444444444444444,0.111111111111111,0.111111111111111,0.444444444444444
"Cheli",1,0.555555555555556,0.666666666666667,0.444444444444444,1,0.222222222222222,0,0.444444444444444,0.476190476190476
"Darubekeda",,,,,,,,,-0.142857142857143
"Deberkerbye",1,0.888888888888889,0.777777777777778,0.666666666666667,1,0.333333333333333,0.111111111111111,0.777777777777778,0.650793650793651
"DeberAbaJale",1,0.444444444444444,0.666666666666667,0.333333333333333,1,0.333333333333333,0.111111111111111,0.222222222222222,0.444444444444444
"DebrAbay",1,0.666666666666667,0.555555555555556,0.555555555555556,1,0.333333333333333,0.111111111111111,0.222222222222222,0.492063492063492
"DebreAliays",1,0.666666666666667,0.555555555555556,0.555555555555556,1,0.222222222222222,0.111111111111111,0.222222222222222,0.476190476190476
"Debrebirhan",1,0.222222222222222,0.333333333333333,0.444444444444444,1,0.444444444444444,0,0.333333333333333,0.396825396825397
"Debrebrhan",1,0.333333333333333,0.444444444444444,0.444444444444444,1,0.444444444444444,0,0.222222222222222,0.412698412698413
"DebreGenet",1,0.333333333333333,0.444444444444444,0.444444444444444,1,0.333333333333333,0,0.222222222222222,0.396825396825397
"DebreGenetA",1,0.555555555555556,0.666666666666667,0.111111111111111,1,0.222222222222222,0.111111111111111,0.333333333333333,0.428571428571429
"DebreGenetK",1,0.444444444444444,0.555555555555556,0.222222222222222,1,0.111111111111111,0.111111111111111,0.444444444444444,0.412698412698413
"DebreGeorgis",1,0.666666666666667,0.555555555555556,0.444444444444444,1,0.333333333333333,0.111111111111111,0.111111111111111,0.46031746031746
"DebreKidusan",1,0.333333333333333,0.444444444444444,0.555555555555556,1,0.333333333333333,0,0.222222222222222,0.412698412698413
"Debremawie",1,0.555555555555556,0.555555555555556,0.444444444444444,1,0.222222222222222,0.111111111111111,0.111111111111111,0.428571428571429
