"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","1","1","1","1","1","0.97",,"0.88"
"Abara","1","1","1","1","1","0.86",,"1"
"Abarwuha","1","1","1","1","1","0.92",,"1"
"Abaselima","1","1","1","1","1","0.86",,"1"
"Abina","1","1","1","1","1","0.97",,"0.88"
"AbrahaAtsbaha","1","1","1","1","1","0.89",,"0.88"
"Abrekuy","1","1","1","1","1","1",,"1"
"AdekeAla","1","1","1","1","1","1",,"0.91"
"Adekiney","1","1","1","1","1","0.97",,"0.88"
"AderSeg","1","1","1","1","1","1",,"0.88"
"Adibearj","1","1","1","1","1","1",,"0.78"
"AdiHa","1","1","1","1","1","0.84",,"0.81"
"AdiKisandid","1","1","1","1","1","0.59",,"0.88"
"Adisalem","1","1","1","1","1","0.95",,"1"
"AdisAlemS","1","1","1","1","1","1",,"0.91"
"AdisAlemW","1","1","1","1","1","1",,"0.84"
"Adiselam","1","1","1","1","1","0.92",,"0.69"
"Adishimbirkti","0.51","1","1","1","0.51","0.84",,"0.78"
"AdisKigni","0.84","1","1","1","0.84","1",,"0.97"
"Adiyikoro","1","1","1","1","1","0.97",,"0.84"
"Adizata","1","1","1","1","1","0.95",,"0.84"
"Adreb","1","1","1","1","1","1",,"0.69"
"AgazenMeda","0.3","1","1","0.27","0.3","0.95",,"1"
"Agazi","1","1","1","0.49","1","0.84",,"0.81"
"Agbe","1","1","1","1","1","0.76",,"0.81"
"Agela","1","1","1","1","1","1",,"0.94"
"Agid","1","1","1","1","1","0.95",,"0.94"
"AlemeTesfa","1","1","1","1","1","1",,"1"
"AmdiWeyane","1","1","1","1","1","0.97",,"0.91"
"Amedwuha","0.92","1","1","1","0.92","0.68",,"0.84"
"Ameno","1","1","1","1","1","0.92",,"0.94"
"Amisetya","1","1","1","1","1","1",,"0.88"
"Angot","1","1","1","1","1","0.92",,"1"
"Anigot","1","1","1","1","1","1",,"0.94"
"Ansheb","1","1","1","1","1","0.92",,"1"
"AquaShumoch","1","1","1","1","1","0.97",,"0.94"
"Aquha","1","1","1","1","1","0.97",,"0.88"
"Arena","1","1","1","1","1","1",,"0.81"
"Asmena","0.89","1","1","1","0.89","0.49",,"0.81"
"Asta","1","1","1","1","1","0.92",,"0.94"
"Atakilti","1","1","1","1","1","0.89",,"0.81"
"AwetBikalsi","1","1","1","1","1","0.97",,"0.81"
"AwusaMeda","1","1","1","1","1","1",,"1"
"Ayba","0.54","1","1","1","0.54","0.81",,"0.69"
"Aynalem","1","1","1","1","1","0.89",,"0.88"
"Bala","0.84","1","1","1","0.84","0.65",,"0.97"
"Balarab","1","1","1","1","1","1",,"0.88"
"Bamba","1","1","1","1","1","0.89",,"0.91"
"BarkaAdiswha","1","1","1","1","1","0.76",,"0.88"
"Begasheka","1","1","1","1","1","0.81",,"0.81"
"Berlay","1","1","1","1","1","1",,"1"
"Betgebez","1","1","1","1","1","0.97",,"0.78"
"Bethans","1","1","1","0.19","1","0.97",,"0.88"
"BilbWuha","1","1","1","1","1","0.89",,"0.91"
"Birkutea","1","1","1","1","1","0.97",,"0.94"
"Boneya","1","1","1","1","1","0.76",,"1"
"Burkoche","1","1","1","1","1","0.97",,"0.88"
"Cheli","1","1","1","1","1","0.68",,"0.91"
"Darubekeda","0.49","1","1","1","0.49","0.89",,"0.78"
"Deberkerbye","1","1","1","1","1","1",,"0.66"
"DeberAbaJale","1","1","1","1","1","0.92",,"0.94"
"DebrAbay","1","1","1","1","1","0.86",,"1"
"DebreAliays","1","1","1","1","1","1",,"1"
"Debrebirhan","1","1","1","1","1","0.86",,"0.78"
"Debrebrhan","1","1","1","1","1","0.95",,"0.84"
"DebreGenet","1","1","1","1","1","1",,"1"
"DebreGenetA","1","1","1","0.16","1","0.92",,"0.88"
"DebreGenetK","1","1","1","1","1","0.86",,"0.81"
"DebreGeorgis","1","1","1","1","1","1",,"1"
"DebreKidusan","0.46","1","1","1","0.46","1",,"1"
"Debremawie","1","1","1","1","1","0.92",,"1"
"Debreselam","1","1","1","1","1","0.97",,"0.78"
"Debrinetseb","1","1","1","1","1","0.89",,"0.81"
"Dekera","1","1","1","1","1","1",,"0.91"
"DembezaAmbaLay","1","1","1","1","1","0.97",,"1"
"Derit","1","1","1","0.27","1","0.97",,"1"
"Derita","1","1","1","1","1","0.89",,"0.94"
"Dinkashena","0.43","1","1","1","0.43","0.73",,"0.81"
"Ebo","0.35","1","1","1","0.35","0.68",,"0.69"
"Edagaarbi","1","1","1","1","1","0.95",,"0.91"
"EmbaAhfrom","1","1","1","1","1","1",,"0.84"
"EmbachekoGunaguna","1","1","1","1","1","1",,"0.94"
