"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","HizbaTeklehymanot","HizbaTeklehymanot","HizbaTeklehymanot","HizbaTeklehymanot","HizbaTeklehymanot","HizbaTeklehymanot","HizbaTeklehymanot","HizbaTeklehymanot"
"Region","Endamekoni","Endamekoni","Endamekoni","Endamekoni","Endamekoni","Endamekoni","Endamekoni","Endamekoni"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","100","4","0.68","6","35","0.22","106.06","0"
"1984-1977","100","0","0.49","97","6","0.03","197.01","0"
"1985-1978","100","0","0.46","0","40","0.35","100","0"
"1986-1979","0","6","0.81","0","38","0.27","0","0"
"1987-1980","100","1","0.54","80","11","0.05","179.75","0"
"1988-1981","100","0","0.46","0","50","0.65","100","0"
"1989-1982","100","0","0.51","0","57","0.84","100","0"
"1990-1983","100","0","0.46","0","45","0.43","100","0"
"1991-1984","0","16","0.92","29","28","0.14","29.02","1"
"1992-1985","100","0","0.46","23","30","0.16","122.6","0"
"1993-1986","0","8","0.84","0","46","0.51","0","0"
"1994-1987","100","0","0.46","0","56","0.81","100","1"
"1995-1988","100","3","0.65","31","27","0.11","130.94","0"
"1996-1989","0","33","1","0","40","0.38","0","0"
"1997-1990","0","22","0.95","0","75","1","0","1"
"1998-1991","100","0","0.46","0","63","0.95","100","0"
"1999-1992","100","0","0.46","0","59","0.86","100","0"
"2000-1993","100","2","0.59","0","62","0.89","100","0"
"2001-1994","0","6","0.78","0","46","0.49","0","1"
"2002-1995","100","5","0.73","0","54","0.76","100","0"
"2003-1996","0","9","0.89","0","40","0.32","0","0"
"2004-1997","100","5","0.76","0","39","0.3","100","1"
"2005-1998","100","0","0.46","0","42","0.41","100","0"
"2006-1999","100","0","0.46","0","50","0.65","100","0"
"2007-2000","0","8","0.86","0","75","1","0","0"
"2008-2001","100","3","0.62","0","53","0.7","100","0"
"2009-2002","100","0","0.46","0","56","0.78","100","0"
"2010-2003","100","0","0.46","0","50","0.65","100","0"
"2011-2004","100","0","0.46","0","53","0.73","100","0"
"2012-2005","100","0","0.46","0","47","0.54","100","0"
"2013-2006","100","0","0.46","0","50","0.65","100","0"
"2014-2007","100","0","0.46","38","25","0.08","137.5","0"
"2015-2008","100","0","0.46","15","32","0.19","114.66","0"
"2016-2009","100","2","0.57","0","62","0.92","100","0"
"2017-2010","100","0","0.46","0","46","0.46","100","0"
"2018-2011","0","23","0.97","0","52","0.68","0","0"
"2019-2012","100","5","0.7","2","36","0.24","101.87","0"
