"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","1","1","1","1","1","0.76",,"0.94"
"Abara","1","1","1","1","1","0.68",,"0.28"
"Abarwuha","1","1","1","1","1","0.54",,"0.34"
"Abaselima","1","1","1","1","1","0.51",,"0.28"
"Abina","1","1","1","1","1","0.81",,"0.94"
"AbrahaAtsbaha","1","1","1","1","1","0.62",,"0.84"
"Abrekuy","1","1","1","1","1","0.62",,"0.28"
"AdekeAla","1","1","1","1","1","0.73",,"0.94"
"Adekiney","0.84","1","1","1","0.84","0.49",,"0.78"
"AderSeg","1","1","1","1","1","0.84",,"0.94"
"Adibearj","1","1","1","1","1","0.41",,"0.88"
"AdiHa","1","1","1","1","1","0.78",,"0.88"
"AdiKisandid","1","1","1","1","1","0.41",,"0.84"
"Adisalem","1","1","1","1","1","0.62",,"0.12"
"AdisAlemS","1","1","1","1","1","0.89",,"0.94"
"AdisAlemW","1","1","1","1","1","0.76",,"0.66"
"Adiselam","1","1","1","1","1","0.54",,"0.84"
"Adishimbirkti","1","1","1","1","1","0.62",,"0.94"
"AdisKigni","0.76","1","1","1","0.76","0.78",,"0.53"
"Adiyikoro","1","1","1","1","1","0.16",,"0.66"
"Adizata","1","1","1","1","1","0.59",,"0.66"
"Adreb","1","1","1","1","1","0.73",,"0.84"
"AgazenMeda","1","1","1","0.32","1","0.38",,"0.34"
"Agazi","0.89","1","1","1","0.89","0.22",,"0.84"
"Agbe","1","1","1","1","1","0.84",,"0.88"
"Agela","1","1","1","1","1","0.73",,"1"
"Agid","1","1","1","1","1","0.7",,"0.97"
"AlemeTesfa","1","1","1","0.16","1","0.84",,"0.12"
"AmdiWeyane","1","1","1","1","1","0.89",,"0.94"
"Amedwuha","0.7","1","1","1","0.7","0.27",,"1"
"Ameno","1","1","1","1","1","0.62",,"1"
"Amisetya","1","1","1","1","1","0.73",,"0.94"
"Angot","1","1","1","1","1","0.57",,"0.34"
"Anigot","1","1","1","1","1","0.89",,"1"
"Ansheb","1","1","1","1","1","0.78",,"0.16"
"AquaShumoch","1","1","1","1","1","0.7",,"1"
"Aquha","1","1","1","1","1","0.76",,"0.94"
"Arena","1","1","1","1","1","0.76",,"0.91"
"Asmena","0.86","1","1","1","0.86","0.41",,"0.84"
"Asta","1","1","1","1","1","0.89",,"1"
"Atakilti","1","1","1","1","1","0.76",,"0.91"
"AwetBikalsi","1","1","1","1","1","0.89",,"0.88"
"AwusaMeda","1","1","1","1","1","0.76",,"0.12"
"Ayba","0.76","1","1","1","0.76","0.86",,"1"
"Aynalem","1","1","1","1","1","0.76",,"0.84"
"Bala","0.76","1","1","1","0.76","0.78",,"0.53"
"Balarab","1","1","1","1","1","0.7",,"0.94"
"Bamba","1","1","1","1","1","0.84",,"0.94"
"BarkaAdiswha","1","1","1","1","1","0.59",,"0.84"
"Begasheka","1","1","1","1","1","0.19",,"0.91"
"Berlay","1","1","1","1","1","0.35",,"0.12"
"Betgebez","1","1","1","1","1","0.57",,"0.84"
"Bethans","1","1","1","1","1","0.49",,"0.69"
"BilbWuha","1","1","1","1","1","0.86",,"0.97"
"Birkutea","1","1","1","1","1","0.49",,"1"
"Boneya","1","1","1","1","1","0.57",,"0.28"
"Burkoche","1","1","1","1","1","0.78",,"0.94"
"Cheli","1","1","1","1","1","0.7",,"0.94"
"Darubekeda","1","1","1","1","1","0.81",,"0.94"
