"","Name","Early","Late","TLossCost","DanLossCost"
"170","MehalGoncha","12","8","19","10"
"171","Mekan ","78","10","78","44"
"172","MekaneGenet","14","10","23","12"
"173","Melabesh","21","6","25","13"
"174","MendereMariam","10","5","15","7"
"175","Menegobena","10","7","17","9"
"176","Menji","15","9","22","12"
"177","Mergech","9","5","14","7"
"178","Mesanu","38","11","42","25"
"179","Mesehle","10","2","11","6"
"180","Meswaeti ","78","10","78","44"
"181","Metkel","21","8","27","15"
"182","MetkelLemat","17","9","23","13"
"183","Mezbr","21","7","27","14"
"184","MichelDebre","10","5","15","7"
"185","Miraf","12","11","22","11"
"186","Misema","10","5","15","8"
"187","Mitad","9","3","11","6"
"188","MitinaYimach","19","10","27","14"
"189","Mozen","10","7","17","9"
"190","Mozutey","49","11","54","30"
"191","Mtsai werki","10","6","15","8"
"192","Nagash","49","10","55","29"
"193","Nebarhadinet","16","9","24","12"
"194","Nefasit","11","3","12","7"
"195","Negedebrhan","14","6","19","10"
"196","Niquara","20","5","25","13"
"197","Qoraro","27","7","31","17"
"198","RubaFelege","46","7","50","26"
"199","Santa gelebeda","20","10","28","15"
"200","SaratYerawoch","8","7","16","8"
"201","Sefo","41","7","47","24"
"202","Segena","8","7","16","8"
"203","Seka","8","3","10","6"
"204","Selamaya","11","7","17","9"
"205","SelamBekalsi","68","12","69","40"
"206","Selamber","18","9","26","13"
"207","SelamgieAmbarie","12","8","19","10"
"208","Selam","46","8","52","27"
"209","Selam","19","9","26","14"
"210","Selelkula","12","11","22","11"
"211","SelenWuha","68","12","69","40"
"212","Seloda","14","6","19","10"
"213","Sendada","59","10","65","35"
"214","Serawudi","11","9","18","10"
"215","Seret","54","8","57","31"
"216","Sero","38","9","46","23"
"217","Shamo","10","5","14","7"
"218","ShehochTehara","7","3","9","5"
"219","Shekatekli","15","7","18","11"
"220","Shunge","11","7","17","9"
"221","Simret","46","9","49","27"
"222","Simret","78","10","78","44"
"223","Simret","12","8","16","10"
"224","Sinkata","59","10","65","35"
"225","Siye","13","7","16","10"
"226","Smret","14","7","19","11"
"227","Sorya","68","11","69","39"
"228","Suha","9","5","14","7"
"229","Tahtay haya","73","11","73","42"
"230","TahtayDaeroka","41","5","45","23"
"231","TahtayLegomti","17","10","24","13"
"232","TahtayMegariaTsebri","30","7","37","18"
"233","Tao","76","11","77","43"
"234","TaraGedam","9","3","11","6"
"235","TaraSenba","7","7","13","7"
"236","Tekea","68","9","68","38"
"237","Tekleweyni","13","7","16","10"
"238","Tetatiro","9","6","15","8"
"239","Tibaga","5","3","7","4"
"240","Tigage","27","5","31","16"
"241","Tsae","21","8","26","15"
"242","Tsetsera","70","10","72","40"
"243","Tseykeme","13","7","16","10"
"244","Tsigea","76","12","76","44"
"245","Ulaga","70","12","72","41"
"246","Wargba","76","12","76","44"
"247","Wariba","11","7","17","9"
"248","Wedikeshi","14","6","19","10"
"249","Werabaye","73","11","73","42"
"250","Werkamba","15","7","21","11"
"251","Wobo","9","6","15","8"
"252","Wonberoch","7","7","13","7"
"253","Wondye","8","7","16","8"
"254","Worego","12","11","22","11"
"255","WorgajaWagi","16","7","21","12"
"256","WoryaMeskel","22","7","25","15"
"257","Woyenti","22","7","27","14"
"258","Woynye","12","11","22","11"
"259","Wuhdet","46","9","49","27"
"260","Wuhdet","19","7","25","13"
"261","WushaTires","5","3","7","4"
"262","Yedwuha","12","7","19","9"
"263","Yeju","6","5","11","5"
"264","Yetefet","14","10","23","12"
"265","YifagAkababi","5","3","7","4"
"266","Yitihana","9","7","16","8"
"267","Zata","65","11","67","38"
"268","Ziha","11","9","18","10"
"269","ZihonHuha","18","8","26","13"
"270","ZobarYikuanda","22","7","25","15"
"271","Zongi","19","9","26","14"
