"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.95","1","0.84","1","0.95","0.95",,
"Abara","0.73","0.95","0.92","0.49","0.73","0.46",,
"Abarwuha","0.84","1","1","0.86","0.84","0.97",,
"Abaselima","0.76","0.95","1","0.81","0.76","0.76",,
"Abina","0.95","1","0.86","1","0.95","0.41",,
"AbrahaAtsbaha","0.22","0.51","0.43","0.81","0.22","1",,
"Abrekuy","0.84","1","1","1","0.84","0.68",,
"AdekeAla","0.89","1","1","0.97","0.89","0.78",,
"Adekiney","0.65","0.59","0.84","0.89","0.65","1",,
"AderSeg","0.95","1","0.84","1","0.95","0.7",,
"Adibearj","1","1","1","1","1","0.97",,
"AdiHa","0.97","1","1","1","0.97","0.92",,
"AdiKisandid","0.19","0.08","0.35","0.76","0.19","0.7",,
"Adisalem","0.97","0.95","1","0.54","0.97","0.76",,
"AdisAlemS","0.89","1","0.89","0.97","0.89","0.78",,
"AdisAlemW","0.97","0.78","0.92","0.95","0.97","0.57",,
"Adiselam","1","1","1","1","1","0.97",,
"Adishimbirkti","0.65","0.78","0.46","0.73","0.65","0.11",,
"AdisKigni","0.81","0.7","0.7","0.92","0.81","1",,
"Adiyikoro","0.92","0.97","0.97","0.84","0.92","0.78",,
"Adizata","0.92","0.92","0.95","0.97","0.92","0.92",,
"Adreb","1","1","1","1","1","0.68",,
"AgazenMeda","0.92","1","1","0.73","0.92","0.97",,
"Agazi","0.62","0.16","0.16","0.46","0.62","0.49",,
"Agbe","1","1","1","1","1","0.97",,
"Agela","0.78","1","1","1","0.78","1",,
"Agid","0.81","1","1","1","0.81","0.65",,
"AlemeTesfa","0.92","1","1","0.62","0.92",,,
"AmdiWeyane","0.89","1","0.89","1","0.89","0.89",,
"Amedwuha","0.57","0.92","0.89","0.97","0.57","0.7",,
"Ameno","0.95","1","1","1","0.95","0.86",,
"Amisetya","0.84","1","0.92","0.92","0.84","0.05",,
"Angot","0.84","1","1","0.89","0.84","0.92",,
"Anigot","0.78","1","1","1","0.78","1",,
"Ansheb","0.68","1","0.7","0.3","0.68","0.38",,
"AquaShumoch","1","1","1","1","1","0.97",,
"Aquha","0.81","1","0.78","0.89","0.81","0.24",,
"Arena","0.92","0.92","1","0.97","0.92","0.89",,
"Asmena","0.27","0.11","0.11","0.35","0.27","0.08",,
"Asta","0.81","1","1","1","0.81","0.95",,
"Atakilti","1","1","1","1","1","1",,
"AwetBikalsi","0.97","1","1","0.97","0.97","0.89",,
"AwusaMeda","0.92","1","1","0.81","0.92","1",,
"Ayba","0.62","0.76","0.11","0.84","0.62","0.35",,
"Aynalem","0.22","0.57","0.62","0.84","0.22","0.89",,
"Bala","0.81","0.73","0.73","0.97","0.81","1",,
"Balarab","0.84","1","1","1","0.84","0.16",,
"Bamba","0.95","1","1","1","0.95","1",,
"BarkaAdiswha","0.22","0.14","0.32","0.62","0.22","0.49",,
"Begasheka","1","1","1","1","1","0.97",,
"Berlay","0.95","1","1","0.76","0.95","0.97",,
"Betgebez","0.65","0.89","0.81","0.95","0.65","0.76",,
"Bethans","0.95","1","1","0.92","0.95","0.89",,
"BilbWuha","1","1","1","1","1","0.97",,
"Birkutea","1","1","1","1","1","0.81",,
"Boneya","0.76","0.95","0.95","0.41","0.76","0.59",,
"Burkoche","0.76","0.97","0.78","0.89","0.76","0.32",,
"Cheli","0.95","1","0.84","1","0.95","0.97",,
"Darubekeda","0.62","0.54","0.73","0.84","0.62","0.76",,
"Deberkerbye","1","1","1","1","1","0.78",,
"DeberAbaJale","1","1","1","1","1","0.92",,
"DebrAbay","0.97","1","1","0.73","0.97","0.95",,
"DebreAliays","0.89","0.95","1","0.73","0.89","0.95",,
"Debrebirhan","0.22","0.14","0.57","0.62","0.22","0.73",,
"Debrebrhan","0.35","0.51","0.81","0.86","0.35","0.89",,
"DebreGenet","0.92","1","1","1","0.92","0.89",,
"DebreGenetA","0.97","1","1","0.97","0.97","0.95",,
"DebreGenetK","1","1","1","1","1","0.68",,
"DebreGeorgis","0.92","1","1","0.65","0.92","1",,
"DebreKidusan","0.95","1","1","1","0.95","0.95",,
"Debremawie","0.95","1","1","0.78","0.95","0.95",,
"Debreselam","0.89","0.84","0.89","0.97","0.89","0.89",,
"Debrinetseb","1","1","1","1","1","1",,
"Dekera","0.84","1","0.84","1","0.84","1",,
"DembezaAmbaLay","0.95","1","1","0.76","0.95","0.92",,
"Derit","1","1","1","0.73","1","0.97",,
"Derita","0.81","1","1","1","0.81","0.84",,
"Dinkashena","0.54","0.54","0.54","0.68","0.54","0.65",,
"Ebo","0.68","0.16","0.3","0.84","0.68","0.59",,
"Edagaarbi","0.92","0.7","0.73","0.86","0.92","0.59",,
"EmbaAhfrom","1","0.46","0.89","0.89","1","0.57",,
"EmbachekoGunaguna","1","1","1","1","1","1",,
"EndaBagerima","0.95","0.97","0.97","0.86","0.95","0.68",,
"Endabano","1","1","1","1","1","0.92",,
"Endachiwa","0.97","1","0.95","0.84","0.97","0.95",,
"EndaFelasi","1","1","1","0.97","1","0.84",,
"Endagahamus","0.95","0.97","0.97","1","0.95","0.81",,
"Endamariam","0.59","0.92","0.92","0.95","0.59","0.84",,
"Erba","0.78","0.81","0.49","0.92","0.78","0.81",,
"Esiret","0.95","1","1","1","0.95","0.95",,
"Estifanos","1","1","1","1","1","1",,
"Fala","0.7","0.81","0.68","0.86","0.7","0.46",,
"Felegehiwot","0.92","1","1","1","0.92","0.95",,
"FelegeWayane","0.19","0.14","0.35","0.38","0.19","0.27",,
"FikreAlem","0.95","0.89","0.3","0.76","0.95","0.86",,
"Filatako","1","1","1","0.73","1","0.97",,
