"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AbaBikila","0.78","0.03","0.38","0.62","1","0.41","0.88","0.5","0.47","0.75","0.53","0.09","0.66","0.28","0.16","0.56","0.84","0.31","0.19","0.06","0.69","0.25","0.72","0.34","0.97","0.91","0.44","0.94","0.22","0.81","0.12","0.59",,,,,
"Abara","0.25","0.12","0.91","0.28","0.81","0.22","0.72","0.19","0.88","0.66","0.47","0.09","0.5","1","0.56","0.31","0.53","0.69","0.03","0.06","0.62","0.41","0.84","0.59","0.78","0.97","0.34","0.44","0.75","0.94","0.16","0.38",,,,,
"Abarwuha","0.22","0.16","0.78","0.56","1","0.44","0.19","0.38","0.81","0.34","0.69","0.25","0.62","0.97","0.66","0.28","0.47","0.12","0.06","0.03","0.84","0.31","0.94","0.59","0.88","0.91","0.5","0.75","0.41","0.72","0.09","0.53",,,,,
"Abaselima","0.25","0.12","0.91","0.28","0.81","0.22","0.72","0.19","0.88","0.66","0.47","0.09","0.5","1","0.56","0.31","0.53","0.69","0.03","0.06","0.62","0.41","0.84","0.59","0.78","0.97","0.34","0.44","0.75","0.94","0.16","0.38",,,,,
"Abina","0.78","0.03","0.38","0.62","1","0.41","0.88","0.5","0.47","0.75","0.53","0.09","0.66","0.28","0.16","0.56","0.84","0.31","0.19","0.06","0.69","0.25","0.72","0.34","0.97","0.91","0.44","0.94","0.22","0.81","0.12","0.59",,,,,
"AbrahaAtsbaha","0.22","0.03","0.94","0.09","1","0.38","0.44","0.19","0.88","0.59","0.62","0.53","0.75","0.31","0.81","0.41","0.66","0.16","0.28","0.06","0.72","0.12","0.69","0.5","0.97","0.84","0.56","0.91","0.34","0.78","0.25","0.47",,,,,
"Abrekuy","0.25","0.12","0.91","0.28","0.81","0.22","0.72","0.19","0.88","0.66","0.47","0.09","0.5","1","0.56","0.31","0.53","0.69","0.03","0.06","0.62","0.41","0.84","0.59","0.78","0.97","0.34","0.44","0.75","0.94","0.16","0.38",,,,,
"AdekeAla","0.88","0.06","0.44","0.38","0.97","0.47","0.19","0.03","0.78","0.69","0.81","0.28","0.56","0.62","0.66","0.41","0.72","0.16","0.22","0.09","0.75","0.25","0.59","0.53","1","0.94","0.53","0.94","0.31","0.84","0.12","0.34",,,,,
"Adekiney","0.28","0.12","0.66","0.22","1","0.5","0.62","0.03","0.94","0.88","0.34","0.38","0.56","0.59","0.44","0.25","0.69","0.19","0.31","0.06","0.72","0.09","0.81","0.53","0.97","0.84","0.75","0.91","0.47","0.78","0.16","0.41",,,,,
"AderSeg","0.78","0.03","0.38","0.62","1","0.41","0.88","0.5","0.47","0.75","0.53","0.09","0.66","0.28","0.16","0.56","0.84","0.31","0.19","0.06","0.69","0.25","0.72","0.34","0.97","0.91","0.44","0.94","0.22","0.81","0.12","0.59",,,,,
