"","Name","Region","Timing","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"1","AbaBikila","Ibinat","Early","66","0","0","0","0","0","0","14","0","100","0","0","0","0","0","100","52","73","0","0","0","0","0","100","0","0","0","100","0","0","0","0","0","0","82","0","0"
"2","AbaBikila","Ibinat","Late","45","0","0","0","81","0","0","1","0","43","0","0","21","0","0","0","0","0","0","0","0","39","0","0","0","0","0","18","0","0","0","0","12","0","0","0","17"
"3","Abara","Shebel Berenta","Early","56","0","100","0","0","0","0","32","0","56","0","0","33","0","0","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","100","0","0"
"4","Abara","Shebel Berenta","Late","28","30","5","0","88","0","0","15","2","77","0","0","0","0","0","0","0","0","0","0","0","38","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0"
"5","Abarwuha","Goncha Siso Enesie","Early","60","0","0","0","0","9","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","73","38","0","0","0","68","0","0"
"6","Abarwuha","Goncha Siso Enesie","Late","56","40","1","0","56","0","0","0","0","69","69","0","0","0","0","0","0","0","0","0","0","58","0","69","0","0","0","0","9","0","0","0","0","0","0","0","0"
"7","Abaselima","Shebel Berenta","Early","55","0","100","0","0","40","18","3","0","0","0","0","0","0","0","28","0","4","0","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","100","0","0"
"8","Abaselima","Shebel Berenta","Late","60","63","17","0","54","0","0","0","0","70","0","0","1","0","0","0","0","0","0","1","0","55","0","0","0","0","0","16","0","0","0","0","58","0","0","0","0"
"9","Abina","Ibinat","Early","46","0","0","0","0","0","0","0","0","100","0","0","0","0","0","100","0","37","0","0","25","0","0","100","0","0","0","100","0","0","0","100","0","0","83","0","0"
"10","Abina","Ibinat","Late","36","19","0","0","85","0","0","24","0","31","38","0","14","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"11","AbrahaAtsbaha","KinteAwelo","Early","0","0","0","0","0","100","100","100","0","100","0","0","100","0","0","0","100","0","100","100","0","0","100","0","100","100","100","100","0","0","100","0","0","0","100","0","100"
"12","AbrahaAtsbaha","KinteAwelo","Late","19","59","8","0","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","51","8","0","19","0","0","0","0","0","0","0","0","0","0","0","0","2"
"13","Abrekuy","Shebel Berenta","Early","21","0","100","0","0","11","49","0","0","18","0","0","0","0","0","0","0","0","0","0","12","0","30","0","0","0","0","0","0","0","0","0","0","0","100","0","0"
"14","Abrekuy","Shebel Berenta","Late","46","44","0","0","27","0","0","0","0","33","0","0","0","0","0","0","0","0","0","3","0","8","0","0","0","0","0","23","0","0","0","0","82","0","0","0","0"
"15","AdekeAla","Samre","Early","0","11","89","0","0","100","0","83","0","31","0","0","0","0","0","0","0","0","0","99","0","0","0","0","0","0","0","0","0","22","0","75","55","0","0","0","0"
"16","AdekeAla","Samre","Late","70","11","0","0","8","0","39","10","0","16","0","0","0","0","0","0","0","0","16","35","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0"
"17","Adekiney","Ganta-afeshum","Early","0","100","100","0","0","100","100","100","100","0","0","100","100","0","0","0","100","0","0","100","0","100","0","0","0","100","0","0","0","0","100","100","100","0","100","100","0"
"18","Adekiney","Ganta-afeshum","Late","12","88","0","0","35","0","41","0","34","0","0","0","0","1","0","0","0","0","0","43","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","52"
"19","AderSeg","Ibinat","Early","66","0","0","0","0","0","0","14","0","100","0","0","0","0","0","100","52","73","0","0","0","0","0","100","0","0","0","100","0","0","0","0","0","0","82","0","0"
"20","AderSeg","Ibinat","Late","45","0","0","0","81","0","0","1","0","43","0","0","21","0","0","0","0","0","0","0","0","39","0","0","0","0","0","18","0","0","0","0","12","0","0","0","17"
"21","Adibearj","Medebay-Zana","Early","0","93","0","0","0","0","0","97","42","0","0","0","0","0","0","0","0","13","57","24","0","0","0","2","0","0","0","0","0","0","64","0","100","0","0","0","0"
"22","Adibearj","Medebay-Zana","Late","0","0","0","0","0","0","19","65","0","0","0","0","0","0","0","0","0","0","0","10","0","60","4","0","0","0","0","0","0","0","9","0","0","0","0","0","0"
"23","AdiHa","KolaTembien","Early","0","50","0","0","0","0","0","0","0","100","0","0","100","0","0","0","0","0","94","100","0","0","0","0","100","100","11","0","0","0","25","0","0","0","0","0","0"
