"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AbaBikila","0.05","0.97","0.65","0.86","0.3","0.11","0.38","0.49","0.62","0.16","0.32","0.84","0.08","0.81","0.78","0.54","0.27","0.35","0.68","1","0.51","0.24","0.19","0.43","0.73","0.92","0.22","0.03","0.89","0.7","0.76","0.46","0.57","0.14","0.59","0.41","0.95"
"Abara","0.43","0.54","0.65","0.95","0.05","0.03","0.41","1","0.62","0.38","0.32","0.49","0.59","0.81","0.97","0.19","0.57","0.51","0.84","0.27","0.92","0.24","0.7","0.16","0.78","0.22","0.3","0.14","0.68","0.35","0.76","0.08","0.11","0.73","0.89","0.86","0.46"
"Abarwuha","0.19","0.92","0.49","0.65","0.76","0.81","0.35","0.51","0.46","0.43","0.11","0.41","0.86","0.89","0.78","0.32","0.14","0.16","0.95","0.38","0.3","0.54","0.05","0.57","0.84","0.62","0.03","0.22","0.27","0.08","0.24","1","0.68","0.73","0.59","0.7","0.97"
"Abaselima","0.41","0.68","0.57","0.95","0.14","0.05","0.27","0.89","0.46","0.24","0.43","0.3","0.7","0.97","0.92","0.19","0.32","0.38","0.84","0.08","0.59","0.51","0.81","0.22","0.86","0.49","0.03","0.11","0.62","0.54","0.65","0.16","0.35","0.73","0.78","1","0.76"
"Abina","0.16","0.89","0.46","0.95","0.14","0.19","0.43","0.57","0.59","0.08","0.32","0.68","0.35","0.92","0.86","0.62","0.51","0.38","0.49","0.97","0.54","0.27","0.7","0.24","1","0.81","0.05","0.03","0.78","0.73","0.65","0.22","0.3","0.11","0.84","0.76","0.41"
"AbrahaAtsbaha","0.03","0.7","0.68","0.95","0.43","0.08","0.38","0.16","0.59","0.32","0.73","0.54","0.3","0.78","0.81","0.49","0.46","0.84","0.89","0.24","0.27","0.22","0.41","0.19","0.97","0.35","0.05","0.14","0.62","0.51","0.92","0.57","0.11","0.86","0.65","0.76","1"
"Abrekuy","0.3","0.65","0.59","0.62","0.05","0.32","0.24","0.81","0.49","0.19","0.35","0.11","0.51","0.76","0.86","0.22","0.43","0.84","0.73","0.46","0.16","0.57","0.41","0.14","0.54","0.38","0.03","0.89","0.92","0.08","0.7","0.27","0.97","0.78","1","0.95","0.68"
"AdekeAla","0.08","0.65","0.49","0.97","0.24","0.05","0.35","0.32","0.11","0.57","0.43","0.89","0.84","0.95","0.92","0.19","0.3","0.27","1","0.22","0.16","0.51","0.38","0.7","0.86","0.73","0.03","0.14","0.68","0.54","0.46","0.76","0.81","0.59","0.62","0.41","0.78"
"Adekiney","0.22","0.49","0.7","0.78","0.62","0.08","0.46","0.59","0.27","0.51","0.43","0.81","0.57","0.73","0.84","0.3","0.05","0.41","0.97","0.14","0.54","0.38","0.24","0.65","0.76","0.11","0.03","0.16","0.92","0.89","0.35","0.86","0.32","0.68","0.95","0.19","1"
"AderSeg","0.11","0.95","0.65","0.81","0.32","0.08","0.38","0.54","0.68","0.19","0.35","0.78","0.05","0.86","0.76","0.57","0.46","0.27","0.73","0.97","0.49","0.43","0.51","0.16","0.92","0.84","0.14","0.03","1","0.59","0.89","0.3","0.24","0.22","0.62","0.41","0.7"
