"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.86","0.43","0.16","0.24","0.86","0.11",,"0.41"
"Abara","0.24","0.3","0.27","0.73","0.24","0.03",,"0.22"
"Abarwuha","0.19","0.73","0.38","0.73","0.19","0.81",,"0.44"
"Abaselima","0.11","0.3","0.11","0.41","0.11","0.05",,"0.22"
"Abina","0.86","0.14","0.14","0.32","0.86","0.19",,"0.41"
"AbrahaAtsbaha","0.3","0.41","0.35","0.51","0.3","0.08",,"0.38"
"Abrekuy","0.22","0.62","0.14","0.32","0.22","0.32",,"0.22"
"AdekeAla","0.03","0.65","0.49","0.54","0.03","0.05",,"0.47"
"Adekiney","0.46","0.73","0.32","0.68","0.46","0.08",,"0.5"
"AderSeg","0.86","0.46","0.16","0.22","0.86","0.08",,"0.41"
"Adibearj","0.7","0.65","0.78","1","0.7","0.32",,"0.75"
"AdiHa","0.84","0.46","0.78","0.86","0.84","0.03",,"0.59"
"AdiKisandid","0.3","0.43","0.46","0.54","0.3","0.22",,"0.38"
"Adisalem","0.73","0.3","0.08","0.16","0.73","0.57",,"0.16"
"AdisAlemS","0.03","0.65","0.49","0.62","0.03","0.05",,"0.47"
"AdisAlemW","0.24","0.35","0.19","0.32","0.24","0.22",,"0.59"
"Adiselam","0.73","1","1","1","0.73","0.05",,"0.34"
"Adishimbirkti","0.43","0.38","0.57","0.76","0.43","0.57",,"0.22"
"AdisKigni","0.49","0.68","0.73","0.81","0.49","0.73",,"0.12"
"Adiyikoro","0.32","0.27","0.27","0.65","0.32","0.24",,"0.59"
"Adizata","0.32","0.3","0.19","0.41","0.32","0.14",,"0.59"
"Adreb","0.81","0.38","0.76","1","0.81","0.49",,"0.34"
"AgazenMeda","0.3","0.73","0.43","0.51","0.3","0.54",,"0.44"
"Agazi","0.3","0.62","0.11","0.14","0.3","0.05",,"0.38"
"Agbe","0.32","0.68","0.65","0.76","0.32","0.08",,"0.59"
"Agela","0.7","1","1","0.49","0.7","0.16",,"0.72"
"Agid","0.54","1","1","0.38","0.54","0.49",,"0.38"
"AlemeTesfa","0.41","0.3","0.05","0.22","0.41","0.44",,"0.16"
"AmdiWeyane","0.03","0.62","0.54","0.62","0.03","0.05",,"0.47"
"Amedwuha","0.62","0.16","0.24","0.46","0.62","0.03",,"0.25"
"Ameno","0.89","0.59","0.62","0.59","0.89","0.05",,"0.72"
"Amisetya","0.76","0.19","0.22","0.3","0.76","0.3",,"0.28"
"Angot","0.19","0.7","0.3","0.65","0.19","0.41",,"0.44"
"Anigot","0.7","1","1","0.54","0.7","0.08",,"0.72"
"Ansheb","0.51","0.3","0.35","0.86","0.51","0.05",,"0.19"
"AquaShumoch","0.81","0.59","0.73","0.68","0.81","0.22",,"0.47"
