"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","16","20","0.19","71.07628","0.54","53.1","0.46","56","0.57","20.1024839960317","0.19","0.201069666149194","0.3",,,"44.7243432828916","0.81"
"1984-1977","0","50","0.92","69.81608","0.35","62.5","0.59","68","0.76","50","0.92","0.249881726185953","0.81",,,"6.82303153524448","0.03"
"1985-1978","0","27","0.51","70.75605","0.46","43.5","0.24","50","0.54","27.2545506388889","0.51","0.233886740201426","0.7",,,"24.2059165726568","0.41"
"1986-1979","0","25","0.41","71.25216","0.59","71.6114285714286","0.78","75","1","25","0.41","0.230193101824473","0.68",,,"39.7229360090624","0.69"
"1987-1980","0","59","0.97","68.26765","0.3","67.3","0.7","66","0.7","58.8238418015873","0.97","0.203775303713851","0.32",,,"60.0267310710872","0.94"
"1988-1981","0","38","0.7","71.07628","0.54","25","0.05","25","0.11","37.95908","0.7","0.191989114141176","0.08",,,"25.9905832844587","0.47"
"1989-1982","0","25","0.27","71.57239","0.7","63.1336507936508","0.62","75","1","24.7181811388889","0.27","0.206336323848465","0.35",,,"38.3277733340069","0.66"
"1990-1983","0","25","0.41","67.82455","0.27","30.8","0.14","39","0.27","25","0.41","0.215540375958021","0.51",,,"42.3584679663892","0.78"
"1991-1984","0","34","0.68","71.25216","0.59","50","0.38","50","0.54","34.047186","0.68","0.217381512811919","0.54",,,"19.7060854608004","0.19"
"1992-1985","99","5","0.03","67.82455","0.27","19.2","0.03","25","0.11","5.18818","0.03","0.175131259605821","0.03",,,"50.1022103664396","0.91"
"1993-1986","0","26","0.46","68.51374","0.32","38.7","0.19","20","0.03","26.1619993333333","0.46","0.196371765810991","0.19",,,"26.7470914903711","0.5"
"1994-1987","0","34","0.62","67.82455","0.27","72.5","0.84","75","1","33.863928","0.62","0.225569938291067","0.65",,,"22.7953172795904","0.31"
"1995-1988","95","6","0.05","71.38714","0.62","46.6","0.35","36","0.24","5.92654","0.05","0.194694751705832","0.14",,,"35.0813842122945","0.56"
