"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,25.42,1.15,35.43,0,0,27.35,27.35
1984,16,0.5,0.5,12.29,100,0,93.46,193.46
1985,16,0.31,25.31,69.49,100,0,0,100
1986,16,19.23,16.03,37.48,0,0,21.48,21.48
1987,16,6.44,2.29,20.23,0,0,70.78,70.78
1988,16,6.1,0,50,0,0,0,0
1989,16,0.57,19.54,51.05,100,0,0,100
1990,16,0,9.15,48.97,100,0,0,100
1991,16,38.69,24.83,55.66,0,0,0,0
1992,16,0,0,50,100,0,0,100
1993,16,7.87,0,50,0,0,0,0
1994,16,0,25,72.6,100,0,0,100
1995,16,2.87,1.78,51.78,100,0,0,100
1996,16,26.28,25,72.38,0,0,0,0
1997,16,19.84,33.63,75,0,0,0,0
1998,16,0,22.22,72.22,100,0,0,100
1999,16,1.4,9.16,57.76,100,0,0,100
2000,16,14.21,34.64,70.43,0,0,0,0
2001,16,19.01,19.01,50,0,0,0,0
2002,16,0,0,38.9,100,0,17.43,117.43
2003,16,8.82,13.08,46.27,0,0,0,0
2004,16,4.76,4.76,44.83,100,0,0.48,100.48
2005,16,0,13.73,48.21,100,0,0,100
2006,16,0,25,50,100,0,0,100
2007,16,7.42,25,75,0,0,0,0
2008,16,8.53,11.15,51.7,0,0,0,0
2009,16,0,14.74,43.93,100,0,3.06,103.06
2010,16,0,0,50,100,0,0,100
2011,16,0,19.15,65.23,100,0,0,100
2012,16,6.36,25.73,69.37,0,0,0,0
2013,16,0,4.33,54.33,100,0,0,100
2014,16,0,0,40.7,100,0,12.29,112.29
2015,16,0,6.41,37.15,100,0,22.44,122.44
2016,16,25,50,75,0,0,0,0
2017,16,0,25,63.79,100,0,0,100
2018,16,3.62,25,57.38,100,0,0,100
2019,16,4.4,11.78,45.75,100,0,0,100
