"","MIXEDET"
"1983",30.9439627410584
"1984",2.16258962927973
"1985",9.01777204899879
"1986",25.9752645351757
"1987",39.2974634632002
"1988",20.6125030886625
"1989",14.2570598178726
"1990",-13.5338290842389
"1991",21.2482246000722
"1992",23.6813885877703
"1993",17.2326723118329
"1994",6.85932311020143
"1995",20.0519923588347
"1996",18.5314863469369
"1997",33.9396737561165
"1998",21.9173202346734
"1999",33.0660756693446
"2000",5.1
"2001",9.5
"2002",2.4
"2003",26.7
"2004",8.4
"2005",25.2
"2006",20.1
"2007",48.3
"2008",35.6
"2009",23.3
"2010",43.3
"2011",13.7
"2012",29.8
"2013",2.9
"2014",18.1
