"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,8.65,1.87,50.07,0,0,0,0
1984,16,12.36,20.74,44.14,0,0,2.97,2.97
1985,16,14.8,30.14,68.02,0,0,0,0
1986,16,28.93,50,75,0,0,0,0
1987,16,39.33,24.7,20.33,0,0,85.06,85.06
1988,16,0.95,13.12,63.12,100,0,0,100
1989,16,0.62,4.96,30.8,100,0,48.97,148.97
1990,16,7.22,7.22,47.46,0,0,0,0
1991,16,31.78,31.78,67.77,0,0,0,0
1992,16,0,0,42.14,100,0,9.85,109.85
1993,16,40.92,30.05,75,0,0,0,0
1994,16,40.44,50,75,0,0,0,0
1995,16,6,31,75,0,0,0,0
1996,16,42.79,38.84,75,0,0,0,0
1997,16,40.05,34.16,66.45,0,0,0,0
1998,16,34.81,50,73.19,0,0,0,0
1999,16,7.25,28.43,75,0,0,0,0
2000,16,30.31,32.51,42.79,0,0,7.61,7.61
2001,16,25,32.52,48.37,0,0,0,0
2002,16,6.25,0.23,28.16,0,0,58.07,58.07
2003,16,13.14,18.74,31.33,0,0,47.15,47.15
2004,16,0,1.41,44.55,100,0,1.56,101.56
2005,16,6.44,17.32,51.89,0,0,0,0
2006,16,31.56,50,75,0,0,0,0
2007,16,10.84,31.08,75,0,0,0,0
2008,16,5.92,22.15,65.91,8,0,0,8
2009,16,1.11,14.36,63.25,100,0,0,100
2010,16,15.39,35.13,75,0,0,0,0
2011,16,18.98,25.84,62.6,0,0,0,0
2012,16,13.2,38.2,69.87,0,0,0,0
2013,16,1.57,5.52,54.8,100,0,0,100
2014,16,10.71,18.44,62.64,0,0,0,0
2015,16,34.87,29.49,52.53,0,0,0,0
2016,16,20.99,31.21,67.38,0,0,0,0
2017,16,8.4,33.4,33.11,0,0,41,41
2018,16,3.91,9.35,52.61,100,0,0,100
2019,16,4.77,9.41,46.52,100,0,0,100
