Time,precipitation
1-10 Aug 1986,85.26701
11-20 Aug 1986,55.11246
21-31 Aug 1986,121.5984
1-10 Sep 1986,30.6604
11-20 Sep 1986,29.74235
21-30 Sep 1986,11.33682
1-10 Oct 1986,13.56527
11-20 Oct 1986,3.100192
21-31 Oct 1986,3.267038
1-10 Nov 1986,2.120892
11-20 Nov 1986,2.037852
21-30 Nov 1986,2.074851
1-10 Dec 1986,3.179672
11-20 Dec 1986,3.04605
21-31 Dec 1986,3.112016
1-10 Jan 1987,3.371368
11-20 Jan 1987,3.434391
21-31 Jan 1987,4.256914
1-10 Feb 1987,4.346291
11-20 Feb 1987,4.217584
21-28 Feb 1987,4.365483
1-10 Mar 1987,28.782
11-20 Mar 1987,5.860872
21-31 Mar 1987,10.96913
1-10 Apr 1987,14.53333
11-20 Apr 1987,20.67138
21-30 Apr 1987,7.403517
1-10 May 1987,5.975189
11-20 May 1987,62.48586
21-31 May 1987,47.93097
1-10 Jun 1987,21.56315
11-20 Jun 1987,14.48689
21-30 Jun 1987,8.379416
1-10 Jul 1987,32.09416
11-20 Jul 1987,29.65301
21-31 Jul 1987,28.32427
1-10 Aug 1987,65.54723
11-20 Aug 1987,87.28139
21-31 Aug 1987,82.34351
1-10 Sep 1987,10.77234
11-20 Sep 1987,5.418861
21-30 Sep 1987,20.42902
1-10 Oct 1987,10.78497
11-20 Oct 1987,2.553413
21-31 Oct 1987,8.032804
1-10 Nov 1987,3.090312
11-20 Nov 1987,2.86303
21-30 Nov 1987,2.871071
1-10 Dec 1987,3.328407
11-20 Dec 1987,2.954366
21-31 Dec 1987,4.831767
1-10 Jan 1988,2.678102
11-20 Jan 1988,3.143162
21-31 Jan 1988,3.362479
1-10 Feb 1988,11.69182
11-20 Feb 1988,16.99593
21-29 Feb 1988,11.26021
1-10 Mar 1988,3.65592
11-20 Mar 1988,3.097369
21-31 Mar 1988,3.854569
1-10 Apr 1988,11.79561
11-20 Apr 1988,26.64724
21-30 Apr 1988,7.497561
1-10 May 1988,11.83101
11-20 May 1988,7.962123
21-31 May 1988,8.463205
1-10 Jun 1988,22.68776
11-20 Jun 1988,7.69149
21-30 Jun 1988,15.73822
1-10 Jul 1988,96.89243
11-20 Jul 1988,116.3833
21-31 Jul 1988,184.6729
1-10 Aug 1988,89.11449
11-20 Aug 1988,84.70161
21-31 Aug 1988,73.26741
1-10 Sep 1988,57.53805
11-20 Sep 1988,47.03868
21-30 Sep 1988,9.476285
1-10 Oct 1988,6.643844
11-20 Oct 1988,20.79449
21-31 Oct 1988,4.326254
1-10 Nov 1988,3.058001
11-20 Nov 1988,2.848444
21-30 Nov 1988,2.917926
1-10 Dec 1988,1.795174
11-20 Dec 1988,2.19099
21-31 Dec 1988,2.296149
1-10 Jan 1989,2.547122
11-20 Jan 1989,4.798398
21-31 Jan 1989,3.555635
1-10 Feb 1989,5.883298
11-20 Feb 1989,3.780957
21-28 Feb 1989,2.933032
1-10 Mar 1989,14.77674
11-20 Mar 1989,27.90597
21-31 Mar 1989,47.08308
1-10 Apr 1989,18.00048
11-20 Apr 1989,34.31292
21-30 Apr 1989,18.60091
1-10 May 1989,9.896031
11-20 May 1989,11.01614
21-31 May 1989,9.791448
1-10 Jun 1989,10.70835
11-20 Jun 1989,18.38965
21-30 Jun 1989,13.3209
1-10 Jul 1989,62.46423
11-20 Jul 1989,85.35221
21-31 Jul 1989,58.64492
1-10 Aug 1989,105.9941
11-20 Aug 1989,75.54552
21-31 Aug 1989,78.99093
1-10 Sep 1989,38.93787
11-20 Sep 1989,15.88451
21-30 Sep 1989,15.49022
1-10 Oct 1989,6.052319
11-20 Oct 1989,15.40394
21-31 Oct 1989,4.394619
1-10 Nov 1989,2.805061
11-20 Nov 1989,2.485628
21-30 Nov 1989,3.687587
1-10 Dec 1989,12.27117
11-20 Dec 1989,3.67567
21-31 Dec 1989,3.592428
1-10 Jan 1990,3.0117
11-20 Jan 1990,3.313861
21-31 Jan 1990,4.34865
1-10 Feb 1990,10.51917
11-20 Feb 1990,6.197106
21-28 Feb 1990,2.325399
1-10 Mar 1990,7.353615
11-20 Mar 1990,5.101474
21-31 Mar 1990,25.80589
1-10 Apr 1990,11.75199
11-20 Apr 1990,13.92153
21-30 Apr 1990,37.861
1-10 May 1990,9.460741
11-20 May 1990,7.427839
21-31 May 1990,8.909168
1-10 Jun 1990,13.53184
11-20 Jun 1990,11.67945
21-30 Jun 1990,14.2702
1-10 Jul 1990,57.76631
11-20 Jul 1990,82.43711
21-31 Jul 1990,170.4016
1-10 Aug 1990,84.47092
11-20 Aug 1990,75.0215
21-31 Aug 1990,47.95654
1-10 Sep 1990,13.78811
11-20 Sep 1990,20.71077
21-30 Sep 1990,10.54975
1-10 Oct 1990,6.171434
11-20 Oct 1990,2.94873
21-31 Oct 1990,2.673407
1-10 Nov 1990,2.084686
11-20 Nov 1990,2.561549
21-30 Nov 1990,2.612627
1-10 Dec 1990,2.789515
11-20 Dec 1990,2.011096
21-31 Dec 1990,2.558148
1-10 Jan 1991,3.549888
11-20 Jan 1991,3.065905
21-31 Jan 1991,4.079057
1-10 Feb 1991,5.184526
11-20 Feb 1991,5.427007
21-28 Feb 1991,3.058306
1-10 Mar 1991,6.519807
11-20 Mar 1991,8.480933
21-31 Mar 1991,8.555269
1-10 Apr 1991,17.315
11-20 Apr 1991,12.01564
21-30 Apr 1991,9.405186
1-10 May 1991,27.05538
11-20 May 1991,14.53781
21-31 May 1991,9.162509
1-10 Jun 1991,15.30173
11-20 Jun 1991,37.31036
21-30 Jun 1991,62.14747
1-10 Jul 1991,161.7039
11-20 Jul 1991,90.87663
21-31 Jul 1991,102.7835
1-10 Aug 1991,51.98617
11-20 Aug 1991,105.5492
21-31 Aug 1991,77.24014
