"time","crop","value"
"1983","Barley",83
"1984","Barley",75
"1985","Barley",94
"1986","Barley",100
"1987","Barley",67
"1988","Barley",97
"1989","Barley",99
"1990","Barley",92
"1991","Barley",83
"1992","Barley",79
"1993","Barley",100
"1994","Barley",97
"1995","Barley",66
"1996","Barley",86
"1997","Barley",100
"1998","Barley",100
"1999","Barley",97
"2000","Barley",92
"2001","Barley",87
"2002","Barley",80
"2003","Barley",84
"2004","Barley",68
"2005","Barley",88
"2006","Barley",100
"2007","Barley",100
"2008","Barley",98
"2009","Barley",100
"2010","Barley",80
"2011","Barley",74
"2012","Barley",100
"2013","Barley",93
"2014","Barley",100
"2015","Barley",98
"2016","Barley",98
"2017","Barley",92
"2018","Barley",90
"1983","Maize",100
"1984","Maize",61
"1985","Maize",97
"1986","Maize",100
"1987","Maize",83
"1988","Maize",90
"1989","Maize",98
"1990","Maize",62
"1991","Maize",80
"1992","Maize",78
"1993","Maize",100
"1994","Maize",88
"1995","Maize",84
"1996","Maize",91
"1997","Maize",100
"1998","Maize",100
"1999","Maize",97
"2000","Maize",90
"2001","Maize",81
"2002","Maize",67
"2003","Maize",68
"2004","Maize",67
"2005","Maize",82
"2006","Maize",79
"2007","Maize",100
"2008","Maize",100
"2009","Maize",76
"2010","Maize",93
"2011","Maize",79
"2012","Maize",78
"2013","Maize",88
"2014","Maize",100
"2015","Maize",94
"2016","Maize",98
"2017","Maize",100
"2018","Maize",91
"1983","Sorghum",99
"1984","Sorghum",65
"1985","Sorghum",97
"1986","Sorghum",100
"1987","Sorghum",80
"1988","Sorghum",84
"1989","Sorghum",96
"1990","Sorghum",67
"1991","Sorghum",77
"1992","Sorghum",78
"1993","Sorghum",93
"1994","Sorghum",90
"1995","Sorghum",77
"1996","Sorghum",92
"1997","Sorghum",100
"1998","Sorghum",100
"1999","Sorghum",97
"2000","Sorghum",90
"2001","Sorghum",77
"2002","Sorghum",65
"2003","Sorghum",62
"2004","Sorghum",66
"2005","Sorghum",79
"2006","Sorghum",83
"2007","Sorghum",100
"2008","Sorghum",100
"2009","Sorghum",66
"2010","Sorghum",97
"2011","Sorghum",80
"2012","Sorghum",73
"2013","Sorghum",89
"2014","Sorghum",100
"2015","Sorghum",93
"2016","Sorghum",100
"2017","Sorghum",95
"2018","Sorghum",93
"1983","Teff",97
"1984","Teff",83
"1985","Teff",94
"1986","Teff",100
"1987","Teff",85
"1988","Teff",97
"1989","Teff",100
"1990","Teff",100
"1991","Teff",96
"1992","Teff",95
"1993","Teff",100
"1994","Teff",97
"1995","Teff",91
"1996","Teff",97
"1997","Teff",100
"1998","Teff",100
"1999","Teff",97
"2000","Teff",100
"2001","Teff",100
"2002","Teff",96
"2003","Teff",96
"2004","Teff",86
"2005","Teff",100
"2006","Teff",100
"2007","Teff",100
"2008","Teff",100
"2009","Teff",100
"2010","Teff",89
"2011","Teff",85
"2012","Teff",100
"2013","Teff",97
"2014","Teff",100
"2015","Teff",100
"2016","Teff",97
"2017","Teff",100
"2018","Teff",100
"1983","Wheat",94
"1984","Wheat",73
"1985","Wheat",94
"1986","Wheat",100
"1987","Wheat",75
"1988","Wheat",97
"1989","Wheat",100
"1990","Wheat",100
"1991","Wheat",94
"1992","Wheat",88
"1993","Wheat",100
"1994","Wheat",97
"1995","Wheat",75
"1996","Wheat",97
"1997","Wheat",100
"1998","Wheat",100
"1999","Wheat",97
"2000","Wheat",100
"2001","Wheat",99
"2002","Wheat",91
"2003","Wheat",96
"2004","Wheat",76
"2005","Wheat",100
"2006","Wheat",100
"2007","Wheat",100
"2008","Wheat",100
"2009","Wheat",100
"2010","Wheat",95
"2011","Wheat",81
"2012","Wheat",97
"2013","Wheat",97
"2014","Wheat",100
"2015","Wheat",100
"2016","Wheat",100
"2017","Wheat",100
"2018","Wheat",100
