"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,22.93,1.56,35.46,0,0,34.62,34.62
1984,16,0.42,0.42,25,100,0,59.52,159.52
1985,16,1.17,26.17,75,100,0,0,100
1986,16,25,44.59,44.59,0,0,12.89,12.89
1987,16,1.75,3.54,9.47,100,0,96.49,196.49
1988,16,0,25,75,100,0,0,100
1989,16,1.49,11.64,41.89,100,0,19.3,119.3
1990,16,0,0,50,100,0,0,100
1991,16,30.78,30.78,75,0,0,0,0
1992,16,0,0,25,100,0,59.52,159.52
1993,16,25.31,0,50,0,0,0,0
1994,16,0,0,50,100,0,0,100
1995,16,3.08,3.78,53.78,100,0,0,100
1996,16,25,25,61.08,0,0,0,0
1997,16,25.67,34.04,75,0,0,0,0
1998,16,0,25,75,100,0,0,100
1999,16,14.59,39.59,75,0,0,0,0
2000,16,0.9,25.9,69.74,100,0,0,100
2001,16,12.65,12.65,50,0,0,0,0
2002,16,0,15.7,65.7,100,0,0,100
2003,16,8.8,15.13,45.32,0,0,11.14,11.14
2004,16,9.57,9.57,50,0,0,0,0
2005,16,10.91,13.29,63.29,0,0,0,0
2006,16,0,25,50,100,0,0,100
2007,16,17.66,33.75,75,0,0,0,0
2008,16,8.05,8.22,58.22,0,0,0,0
2009,16,0,8.04,58.04,100,0,0,100
2010,16,0,0,50,100,0,0,100
2011,16,9.24,3.8,53.8,0,0,0,0
2012,16,25,32.43,57.43,0,0,0,0
2013,16,0,25,75,100,0,0,100
2014,16,0,3.16,53.16,100,0,0,100
2015,16,0,0,19.82,100,0,71.85,171.85
2016,16,18.27,18.27,50,0,0,0,0
2017,16,0,25,75,100,0,0,100
2018,16,1.79,25,55.16,100,0,0,100
2019,16,2.89,25,61.86,100,0,0,100
