"","MIXEDET"
"1983",7.84176533922297
"1984",52.0974762025417
"1985",66.8591787373867
"1986",44.0967147080665
"1987",14.0079638888797
"1988",57.635254942162
"1989",61.6060842284927
"1990",44.8577808661877
"1991",33.5823255466761
"1992",41.6171769463161
"1993",6.34443974670879
"1994",84.9158433767383
"1995",64.5170836341301
"1996",35.7829552794829
"1997",14.1797027454592
"1998",106.216309476234
"1999",84.8595254093555
"2000",40.7
"2001",18.2
"2002",6.8
"2003",61.8
"2004",25.6
"2005",71.3
"2006",78.2
"2007",86.5
"2008",84.6
"2009",54.3
"2010",89.1
"2011",71.8
"2012",56.2
"2013",74.1
"2014",71
