T2,MODIS HAIN ET
Oct 2000,24.2
Oct 2001,29.6
Oct 2002,10.4
Oct 2003,36.7
Oct 2004,22.6
Oct 2005,47.3
Oct 2006,45.7
Oct 2007,70.7
Oct 2008,59.2
Oct 2009,33.8
Oct 2010,69.5
Oct 2011,28.7
Oct 2012,30.3
Oct 2013,42.3
Oct 2014,37.6
