"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,27.71,2.04,31,0,0,75.99,75.99
1984,16,0.68,25.68,52.4,100,0,0,100
1985,16,0.22,25.22,75,100,0,0,100
1986,16,25,50,75,0,0,0,0
1987,16,15.6,28.51,35.81,0,0,56.75,56.75
1988,16,3.75,25,75,100,0,0,100
1989,16,1.85,16.12,66.12,100,0,0,100
1990,16,0,0,50,100,0,0,100
1991,16,17.67,3.48,53.48,0,0,0,0
1992,16,0,7.3,57.3,100,0,0,100
1993,16,25.75,25,75,0,0,0,0
1994,16,0,25,75,100,0,0,100
1995,16,0,23.92,73.92,100,0,0,100
1996,16,17.31,8.71,33.71,0,0,65.17,65.17
1997,16,46.67,50,50,0,0,0,0
1998,16,34.93,47.68,75,0,0,0,0
1999,16,0,25,75,100,0,0,100
2000,16,28.18,29.52,54.52,0,0,0,0
2001,16,0,9.05,56.86,100,0,0,100
2002,16,4.37,0,31.81,100,0,72.76,172.76
2003,16,11.05,33.18,55.61,0,0,0,0
2004,16,7.78,7.78,50,0,0,0,0
2005,16,16.99,34.78,62.11,0,0,0,0
2006,16,3.33,8.37,48.74,100,0,5.03,105.03
2007,16,7.56,28.45,75,0,0,0,0
2008,16,18.63,22.47,62.96,0,0,0,0
2009,16,0.8,2.46,51.66,100,0,0,100
2010,16,0,8.04,58.04,100,0,0,100
2011,16,29.5,29.5,55.27,0,0,0,0
2012,16,14,35.22,71.08,0,0,0,0
2013,16,2.53,26.96,74.43,100,0,0,100
2014,16,0,25,75,100,0,0,100
2015,16,12.44,25,73.78,0,0,0,0
2016,16,13.21,16.81,61.27,0,0,0,0
2017,16,0,25,74.76,100,0,0,100
2018,16,12.99,25,75,0,0,0,0
2019,16,37,18.62,43.16,0,0,27.35,27.35
