"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,30.1,26.93,73.41,0,0,0,0
1984,16,5.8,4.69,53.48,73.35,0,43.83,117.18
1985,16,5.88,25.48,75,70.55,0,0,70.55
1986,16,25,50,75,0,0,0,0
1987,16,51.62,43.94,61.57,0,0,10.13,10.13
1988,16,10.28,25,75,0,0,0,0
1989,16,10.53,32.83,75,0,0,0,0
1990,16,11.21,11.21,50,0,0,58.33,58.33
1991,16,6.02,25,75,65.93,0,0,65.93
1992,16,0,20.8,70.8,100,0,0,100
1993,16,35.48,34.69,75,0,0,0,0
1994,16,49.71,49.71,75,0,0,0,0
1995,16,6.39,31.39,75,53.78,0,0,53.78
1996,16,39.74,37.64,65.6,0,0,0,0
1997,16,40.9,38.9,50,0,0,58.33,58.33
1998,16,44.23,50,75,0,0,0,0
1999,16,11.91,36.91,75,0,0,0,0
2000,16,27.44,49.51,74.51,0,0,0,0
2001,16,0,0,50,100,0,58.33,158.33
2002,16,3.88,8.88,58.88,100,0,21.32,121.32
2003,16,31.04,45.93,69.79,0,0,0,0
2004,16,19.68,23.95,54.27,0,0,40.54,40.54
2005,16,16.59,41.59,75,0,0,0,0
2006,16,18.43,43.43,75,0,0,0,0
2007,16,33.6,50,75,0,0,0,0
2008,16,8.15,25,75,0,0,0,0
2009,16,5.72,30.72,75,75.84,0,0,75.84
2010,16,31.92,21.75,67.23,0,0,0,0
2011,16,41.42,41.42,75,0,0,0,0
2012,16,30.24,50,75,0,0,0,0
2013,16,25,38.18,63.18,0,0,3.41,3.41
2014,16,25,50,75,0,0,0,0
2015,16,7.98,20.86,70.86,0.6,0,0,0.6
2016,16,38.88,50,75,0,0,0,0
2017,16,38.36,45.77,64.64,0,0,0,0
2018,16,36.15,41.64,75,0,0,0,0
2019,16,49.15,40.39,61.9,0,0,8.74,8.74
