"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,30.32,20.32,66.73,0,0,0,0
1984,16,14.3,11.18,47.31,22.48,0,47.92,70.4
1985,16,2.06,27.06,75,100,0,0,100
1986,16,49,50,75,0,0,0,0
1987,16,42.16,35.53,66.31,0,0,0,0
1988,16,5.48,25,75,95.96,0,0,95.96
1989,16,26.11,50,71.97,0,0,0,0
1990,16,6.75,12.59,55.09,85.4,0,27.99,113.38
1991,16,49.47,49.92,75,0,0,0,0
1992,16,20.14,5.82,55.82,0,0,26.11,26.11
1993,16,47.23,44.1,73.02,0,0,0,0
1994,16,24,43.26,75,0,0,0,0
1995,16,25,50,75,0,0,0,0
1996,16,75,50,75,0,0,0,0
1997,16,51.34,46.88,75,0,0,0,0
1998,16,39.51,50,75,0,0,0,0
1999,16,15.23,40.23,75,14.77,0,0,14.77
2000,16,17.46,40,75,0,0,0,0
2001,16,29.42,41.47,66.47,0,0,0,0
2002,16,28.93,20.95,62.96,0,0,7.8,7.8
2003,16,39.88,37.75,63.39,0,0,6.7,6.7
2004,16,25.14,39.48,67.82,0,0,0,0
2005,16,18.46,36.41,75,0,0,0,0
2006,16,30.63,44.73,59.73,0,0,16.09,16.09
2007,16,18.54,34.72,75,0,0,0,0
2008,16,7.29,25,75,80.88,0,0,80.88
2009,16,42.1,45.91,75,0,0,0,0
2010,16,33.6,41.6,75,0,0,0,0
2011,16,39,38.32,63.32,0,0,6.87,6.87
2012,16,25,50,75,0,0,0,0
2013,16,8.07,33.07,75,74.4,0,0,74.4
2014,16,13.64,25,75,27.97,0,0,27.97
2015,16,17.93,7.92,33.75,0,0,82.69,82.69
2016,16,50,50,75,0,0,0,0
2017,16,17.5,42.5,75,0,0,0,0
2018,16,53.24,50,75,0,0,0,0
2019,16,54.27,50,75,0,0,0,0
