"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,25.81,0.73,32.64,0,0,26.95,26.95
1984,16,0.41,0.41,12.74,100,0,91.17,191.17
1985,16,0,18.55,50.52,100,0,0,100
1986,16,41.78,50,66.98,0,0,0,0
1987,16,6.94,14,37.69,0,0,10.69,10.69
1988,16,0,5.77,55.77,100,0,0,100
1989,16,0.97,12.37,39.71,100,0,4.17,104.17
1990,16,0,9.39,48.69,100,0,0,100
1991,16,13.43,11.81,55.98,0,0,0,0
1992,16,0,0,50,100,0,0,100
1993,16,8.83,0,50,0,0,0,0
1994,16,0,15.62,57.79,100,0,0,100
1995,16,2.58,2.47,52.47,100,0,0,100
1996,16,35.88,25,62.4,0,0,0,0
1997,16,20.58,29.37,75,0,0,0,0
1998,16,0,4.58,54.58,100,0,0,100
1999,16,2.42,2.42,50,100,0,0,100
2000,16,0,21.5,71.15,100,0,0,100
2001,16,9.68,9.68,43.88,0,0,0,0
2002,16,7.24,0,28.14,0,0,41.5,41.5
2003,16,8.84,12.12,46.27,0,0,0,0
2004,16,5.05,5.05,31.26,0,0,31.41,31.41
2005,16,5.02,5.02,45.56,0,0,0,0
2006,16,0,25,50,100,0,0,100
2007,16,12.2,25,75,0,0,0,0
2008,16,4.05,14.68,56.44,100,0,0,100
2009,16,0,12.17,50.44,100,0,0,100
2010,16,0,0,50,100,0,0,100
2011,16,14.94,20.32,66.42,0,0,0,0
2012,16,6.07,12.84,56.76,0,0,0,0
2013,16,4.91,9.52,54.61,100,0,0,100
2014,16,0,25,50,100,0,0,100
2015,16,0,6.67,24.85,100,0,52.09,152.09
2016,16,12.03,24.76,60.79,0,0,0,0
2017,16,0,25,58.21,100,0,0,100
2018,16,25,25,39.9,0,0,3.56,3.56
2019,16,4.29,0,34.23,100,0,21.85,121.85
