"","MIXEDET"
"1983",76.354321599231
"1984",28.2975439625078
"1985",93.9424177177341
"1986",77.9014146024314
"1987",136.464197108574
"1988",37.5482637449647
"1989",85.6994317882189
"1990",67.3753766851723
"1991",110.173223740376
"1992",47.0539449449544
"1993",87.1191718444377
"1994",47.9330993377816
"1995",58.5310926921796
"1996",153.361204181318
"1997",95.4174530743678
"1998",16.2930466727851
"1999",44.673794000844
"2000",74.5
"2001",33.4
"2002",14.1
"2003",102
"2004",48.4
"2005",124.2
"2006",93.2
"2007",81.9
"2008",108.2
"2009",68.6
"2010",95.6
"2011",68.9
"2012",88
"2013",39.4
"2014",87.4
