"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,9.28,22.34,69.7,67.06,0,3.83,70.89
1984,16,50,50,71.79,0,0,0,0
1985,16,27.26,27.26,75,0,0,0,0
1986,16,40.9,50,75,0,0,0,0
1987,16,33.78,17.12,45.7,0,0,74.42,74.42
1988,16,57.16,50,75,0,0,0,0
1989,16,30.27,30.34,75,0,0,0,0
1990,16,7.51,19.05,61.54,80.71,0,27.82,108.54
1991,16,35.46,50,75,0,0,0,0
1992,16,0,3.61,53.61,100,0,51.16,151.16
1993,16,26.14,25,75,0,0,0,0
1994,16,55.13,50,75,0,0,0,0
1995,16,21.38,27.09,61.7,0,0,27.35,27.35
1996,16,66.16,41.16,75,0,0,0,0
1997,16,61.03,50,75,0,0,0,0
1998,16,4.17,25,75,100,0,0,100
1999,16,20.72,33.09,75,0,0,0,0
2000,16,6.55,25,75,88.1,0,0,88.1
2001,16,60.76,50,75,0,0,0,0
2002,16,34.28,50,75,0,0,0,0
2003,16,30.88,43.44,75,0,0,0,0
2004,16,19.66,20.71,54.16,0,0,49.53,49.53
2005,16,42.61,50,75,0,0,0,0
2006,16,17.04,36.4,75,7.37,0,0,7.37
2007,16,56.29,50,75,0,0,0,0
2008,16,45.18,40.67,75,0,0,0,0
2009,16,59.51,32.07,72.57,0,0,0,0
2010,16,9.7,20.8,67.04,63.85,0,11.66,75.51
2011,16,58.18,45.27,70.27,0,0,2.14,2.14
2012,16,28.03,50,75,0,0,0,0
2013,16,39.13,50,75,0,0,0,0
2014,16,50,50,75,0,0,0,0
2015,16,50,50,64.81,0,0,18.22,18.22
2016,16,17.83,37.6,75,1.32,0,0,1.32
2017,16,7.82,32.82,75,78.34,0,0,78.34
2018,16,53.78,28.78,75,0,0,0,0
2019,16,64.91,46.59,71.59,0,0,0,0
