"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,30.6,29.29,75,0,0,0,0
1984,16,5.95,5.21,53.62,80.97,0,53.04,134.01
1985,16,21.46,40.91,75,0,0,0,0
1986,16,25,50,75,0,0,0,0
1987,16,54.48,46.01,69.7,0,0,0,0
1988,16,11.26,25,75,0,0,0,0
1989,16,32.75,32.75,75,0,0,0,0
1990,16,10.95,15.52,54.57,0,0,49.74,49.74
1991,16,5.92,25,75,81.68,0,0,81.68
1992,16,0,19.53,69.53,100,0,0,100
1993,16,35.29,34.51,75,0,0,0,0
1994,16,50,50,75,0,0,0,0
1995,16,17.1,42.1,75,0,0,0,0
1996,16,64.07,49.67,75,0,0,0,0
1997,16,48.56,41.52,50,0,0,65.52,65.52
1998,16,50,50,75,0,0,0,0
1999,16,9.04,34.04,75,19.29,0,0,19.29
2000,16,27.35,49.48,74.48,0,0,0,0
2001,16,0,0,50,100,0,65.52,165.52
2002,16,6.45,8.84,58.84,70.98,0,35.04,106.02
2003,16,28.76,50,75,0,0,0,0
2004,16,25,31.06,56.06,0,0,44.62,44.62
2005,16,4.62,29.62,75,100,0,0,100
2006,16,25,50,64.85,0,0,14.3,14.3
2007,16,43.13,50,75,0,0,0,0
2008,16,22.54,39.25,75,0,0,0,0
2009,16,38.1,45.25,75,0,0,0,0
2010,16,43.09,20.43,65.15,0,0,13.26,13.26
2011,16,41.3,41.3,75,0,0,0,0
2012,16,29.97,50,75,0,0,0,0
2013,16,25,45.67,70.67,0,0,0,0
2014,16,7.03,32.03,75,59.31,0,0,59.31
2015,16,0,18.62,68.62,100,0,1.29,101.29
2016,16,40,50,75,0,0,0,0
2017,16,36.43,48.17,75,0,0,0,0
2018,16,54.68,50,75,0,0,0,0
2019,16,48.54,40.28,70.41,0,0,0,0
