"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,21.56,1.39,29.04,0,0,46.58,46.58
1984,16,0.43,0.43,0,100,0,100,200
1985,16,0.68,21.71,69.02,100,0,0,100
1986,16,25,47.52,47.52,0,0,5.52,5.52
1987,16,1.55,3,15.41,100,0,76.86,176.86
1988,16,0,0,50,100,0,0,100
1989,16,0.91,19.29,69.29,100,0,0,100
1990,16,0,0,50,100,0,0,100
1991,16,17.17,30.25,75,0,0,0,0
1992,16,0,0,29.71,100,0,45.09,145.09
1993,16,0.16,0,50,100,0,0,100
1994,16,0,25,75,100,0,0,100
1995,16,3.1,3.4,53.4,100,0,0,100
1996,16,25,25,65.09,0,0,0,0
1997,16,37.5,38.9,70.93,0,0,0,0
1998,16,0,25,75,100,0,0,100
1999,16,19.03,44.03,75,0,0,0,0
2000,16,1.98,26.98,57.17,100,0,0,100
2001,16,12.62,12.62,50,0,0,0,0
2002,16,0,25,75,100,0,0,100
2003,16,0,8.19,53.94,100,0,0,100
2004,16,9.52,9.52,36.27,0,0,30.51,30.51
2005,16,9.13,19.38,69.38,0,0,0,0
2006,16,0,25,75,100,0,0,100
2007,16,8.27,33.27,75,0,0,0,0
2008,16,6.05,9,55.07,0,0,0,0
2009,16,0,10.4,43.34,100,0,14.81,114.81
2010,16,0,0,50,100,0,0,100
2011,16,0,3.92,53.92,100,0,0,100
2012,16,24.23,24.23,50,0,0,0,0
2013,16,0,17.78,67.78,100,0,0,100
2014,16,0,3.01,53.01,100,0,0,100
2015,16,0,0,0,100,0,100,200
2016,16,0,0,50,100,0,0,100
2017,16,0,25,56.08,100,0,0,100
2018,16,17.15,36.36,50,0,0,0,0
2019,16,1.42,24.14,63.89,100,0,0,100
