"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,7.99,5.59,53.39,70.09,0,19.43,89.52
1984,16,66.9,32.55,57.55,0,0,7.2,7.2
1985,16,18.33,25.6,75,0,0,0,0
1986,16,43.76,41.49,65.02,0,0,0,0
1987,16,9.38,9.88,52.81,56.19,0,21.13,77.33
1988,16,15.43,34.95,75,0,0,0,0
1989,16,17.07,39.76,75,0,0,0,0
1990,16,5.45,10.85,55.4,95.51,0,13.52,109.03
1991,16,38.06,50,66.06,0,0,0,0
1992,16,5.12,0,32.85,98.82,0,79.87,178.68
1993,16,25.8,0,48.79,0,0,32.96,32.96
1994,16,20.16,42.07,71.91,0,0,0,0
1995,16,14.43,28.77,70.63,5.65,0,0,5.65
1996,16,41.61,24.27,74.27,0,0,0,0
1997,16,49.96,31.57,59.42,0,0,1.72,1.72
1998,16,37.8,44.35,75,0,0,0,0
1999,16,43.13,43.13,75,0,0,0,0
2000,16,14.9,28.2,75,1.03,0,0,1.03
2001,16,16.88,32.2,70.86,0,0,0,0
2002,16,25.89,42.08,75,0,0,0,0
2003,16,25.84,37.74,75,0,0,0,0
2004,16,24.53,26.65,60.15,0,0,0,0
2005,16,16.05,41.05,75,0,0,0,0
2006,16,20.19,12.8,35.79,0,0,71.21,71.21
2007,16,20.46,37.1,75,0,0,0,0
2008,16,46.27,25,75,0,0,0,0
2009,16,39.18,34.57,75,0,0,0,0
2010,16,35.81,50,75,0,0,0,0
2011,16,36.23,38.51,69.35,0,0,0,0
2012,16,14.63,30.78,66.15,3.73,0,0,3.73
2013,16,0,25,75,100,0,0,100
2014,16,31.38,50,75,0,0,0,0
2015,16,51.93,29.51,41.45,0,0,54.56,54.56
2016,16,66.43,47.07,75,0,0,0,0
2017,16,0,25,75,100,0,0,100
2018,16,62.56,37.56,75,0,0,0,0
2019,16,63.13,50,75,0,0,0,0
