"","MIXEDET"
"1983",45.6792869536309
"1984",2.62055800346754
"1985",29.4822732789888
"1986",38.0744695302294
"1987",96.8469264142234
"1988",28.4725817503039
"1989",46.9001964630373
"1990",52.1713462346949
"1991",37.5008625116308
"1992",51.9007169245845
"1993",40.5381663696617
"1994",25.0158526400896
"1995",46.1859224173666
"1996",5.01490817295443
"1997",53.4332348423565
"1998",37.6989337285855
"1999",56.1858928660575
"2000",21
"2001",15.8
"2002",4.4
"2003",46.9
"2004",33.6
"2005",41.7
"2006",28.6
"2007",68.9
"2008",73.9
"2009",31.3
"2010",52.2
"2011",21.9
"2012",51.3
"2013",8.2
"2014",32.3
