Time,NDVI
Jul 1981,0.3617097
Jul 1982,0.2896774
Jul 1983,0.3153871
Jul 1984,0.4835323
Jul 1985,0.4516613
Jul 1986,0.5068064
Jul 1987,0.4180323
Jul 1988,0.4899839
Jul 1989,0.3764032
Jul 1990,0.4222097
Jul 1991,0.4703871
Jul 1992,0.3551936
Jul 1993,0.3695968
Jul 1994,0.4717904
Jul 1995,0.4437903
Jul 1996,0.4914194
Jul 1997,0.5138872
Jul 1998,0.4153871
Jul 1999,0.3664355
Jul 2000,0.4272742
Jul 2001,0.5410968
Jul 2002,0.3937742
Jul 2003,0.3248226
Jul 2004,0.4949032
Jul 2005,0.288129
Jul 2006,0.4066613
