"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,20.1,27.81,74.36,16.1,0,0,16.1
1984,16,50,29.14,44.8,0,0,48,48
1985,16,27.25,27.25,75,0,0,0,0
1986,16,25,50,75,0,0,0,0
1987,16,58.82,10.75,30.3,0,0,84.26,84.26
1988,16,37.96,37.96,75,0,0,0,0
1989,16,24.72,30.29,75,0,0,0,0
1990,16,25,50,75,0,0,0,0
1991,16,34.05,50,75,0,0,0,0
1992,16,5.19,10.04,54.85,98.95,0,22.87,121.83
1993,16,26.16,0,50,0,0,35,35
1994,16,33.86,50,75,0,0,0,0
1995,16,5.93,7.7,57.7,94.85,0,15.75,110.6
1996,16,50,25,75,0,0,0,0
1997,16,53.6,45.86,70.86,0,0,0,0
1998,16,28.06,50,75,0,0,0,0
1999,16,14.37,39.37,75,47.93,0,0,47.93
2000,16,25.7,39.32,75,0,0,0,0
2001,16,27.15,46.76,75,0,0,0,0
2002,16,41.05,37.93,70.24,0,0,0,0
2003,16,27.29,49.14,74.14,0,0,0,0
2004,16,29.18,24.91,54.46,0,0,23.84,23.84
2005,16,33.88,48.05,75,0,0,0,0
2006,16,6.41,25,75,92.15,0,0,92.15
2007,16,22.85,31.21,75,0.85,0,0,0.85
2008,16,49.3,38.57,75,0,0,0,0
2009,16,39.43,19.93,63.39,0,0,1.53,1.53
2010,16,45.56,32.46,57.46,0,0,16.36,16.36
2011,16,41.02,43.03,75,0,0,0,0
2012,16,15.71,35.83,75,40.52,0,0,40.52
2013,16,25,50,75,0,0,0,0
2014,16,25,50,72.95,0,0,0,0
2015,16,25,25,68.41,0,0,0,0
2016,16,21.6,38.77,75,7.79,0,0,7.79
2017,16,19.05,44.05,75,21.96,0,0,21.96
2018,16,48.95,28.98,61.53,0,0,6.17,6.17
2019,16,74.16,41,66,0,0,0,0
