"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,10.11,7.52,54.36,68.06,0,31.29,99.35
1984,16,69.05,34.09,59.09,0,0,21.82,21.82
1985,16,27.2,27.2,75,0,0,0,0
1986,16,50,50,75,0,0,0,0
1987,16,21.98,13.48,53.81,0,0,32.38,32.38
1988,16,22.87,43.01,75,0,0,0,0
1989,16,7.77,27.32,75,82.7,0,0,82.7
1990,16,32.47,50,75,0,0,0,0
1991,16,50,50,75,0,0,0,0
1992,16,30.57,25,25,0,0,90,90
1993,16,36.76,19.32,58.8,0,0,22.4,22.4
1994,16,34,50,73.4,0,0,0,0
1995,16,30.39,50,75,0,0,0,0
1996,16,36.82,25,75,0,0,0,0
1997,16,62.69,50,75,0,0,0,0
1998,16,60.26,50,75,0,0,0,0
1999,16,41.13,48.6,75,0,0,0,0
2000,16,24.49,37.34,75,0,0,0,0
2001,16,36.6,36.6,75,0,0,0,0
2002,16,47.09,50,75,0,0,0,0
2003,16,21.07,46.07,75,0,0,0,0
2004,16,17.59,17.59,50,21.29,0,40,61.29
2005,16,20.03,45.03,75,6.08,0,0,6.08
2006,16,7.38,25,50,85.14,0,40,125.14
2007,16,36.99,39.3,75,0,0,0,0
2008,16,59.91,36.43,75,0,0,0,0
2009,16,33.59,29.05,75,0,0,0,0
2010,16,12.75,35.87,73.12,51.56,0,0,51.56
2011,16,44.18,36.3,69.22,0,0,1.56,1.56
2012,16,17.19,37.74,75,23.82,0,0,23.82
2013,16,25.46,35.57,75,0,0,0,0
2014,16,31.14,50,75,0,0,0,0
2015,16,37.91,33.57,66.48,0,0,7.04,7.04
2016,16,57.19,50,75,0,0,0,0
2017,16,1.92,26.92,75,100,0,0,100
2018,16,63.26,38.26,75,0,0,0,0
2019,16,61.14,50,75,0,0,0,0
