"","MIXEDET"
"1983",17.7234426319276
"1984",-22.3521550569434
"1985",12.0645437273863
"1986",19.4734072056105
"1987",20.3674483389098
"1988",18.838355918348
"1989",19.0580588170852
"1990",9.20825988700481
"1991",36.0343462916749
"1992",31.2096811586956
"1993",12.721606228426
"1994",9.30942962257285
"1995",6.18068027938013
"1996",33.5568716403215
"1997",13.1738445927638
"1998",6.56562805392378
"1999",-5.43185732852738
"2000",2.9
"2001",6
"2002",1.4
"2003",20.7
"2004",1.4
"2005",24
"2006",18.5
"2007",46.4
"2008",25.2
"2009",22
"2010",37.4
"2011",12.2
"2012",23.2
"2013",2
"2014",16.3
