"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,29.99,4.36,39.45,0,0,43.28,43.28
1984,16,7.33,9.02,46.11,61.16,0,20.31,81.47
1985,16,6.68,27.95,75,71.98,0,0,71.98
1986,16,50,50,75,0,0,0,0
1987,16,51.57,33.97,47.05,0,0,17.06,17.06
1988,16,14.78,25,75,0,0,0,0
1989,16,18,30.85,65.14,0,0,0,0
1990,16,15.9,15.9,45.14,0,0,23.65,23.65
1991,16,20.85,7.06,57.06,0,0,0,0
1992,16,16.76,21.47,47.07,0,0,16.99,16.99
1993,16,34.78,30.64,71.39,0,0,0,0
1994,16,54.74,50,75,0,0,0,0
1995,16,0,25,75,100,0,0,100
1996,16,48.55,36.88,71.13,0,0,0,0
1997,16,22.36,28.53,51.75,0,0,0.86,0.86
1998,16,33.59,50,75,0,0,0,0
1999,16,25.62,48.14,75,0,0,0,0
2000,16,24.15,33.5,61.73,0,0,0,0
2001,16,0,20.07,70.07,100,0,0,100
2002,16,0.34,0,32.58,100,0,66.97,166.97
2003,16,25,47.23,56.23,0,0,0,0
2004,16,11.19,11.19,50,0,0,6.9,6.9
2005,16,12.61,35.78,73.17,0,0,0,0
2006,16,25,28.12,28.84,0,0,79.85,79.85
2007,16,10.42,25,75,9.62,0,0,9.62
2008,16,3.81,25,75,100,0,0,100
2009,16,0,12.94,56.19,100,0,0,100
2010,16,42.55,13.5,51.96,0,0,0.15,0.15
2011,16,35.96,42.27,75,0,0,0,0
2012,16,19.58,39.75,75,0,0,0,0
2013,16,3.38,18,64.62,100,0,0,100
2014,16,26.72,42.27,67.27,0,0,0,0
2015,16,15.09,28.84,75,0,0,0,0
2016,16,39.1,43.55,68.55,0,0,0,0
2017,16,12.31,29.01,73.65,0,0,0,0
2018,16,32.18,41.07,62.5,0,0,0,0
2019,16,25,15.6,65.6,0,0,0,0
