"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,28.47,3.42,36.42,0,0,70.31,70.31
1984,16,8.56,26.78,51.22,11.12,0,11.12,22.23
1985,16,5.42,12.8,60.87,89.42,0,0,89.42
1986,16,42.74,50,75,0,0,0,0
1987,16,42.13,26.98,51.89,0,0,8.45,8.45
1988,16,4.36,25,75,100,0,0,100
1989,16,45.87,36.11,44.35,0,0,38.61,38.61
1990,16,5.68,10.72,51.62,82.99,0,9.53,92.53
1991,16,30.38,32.9,75,0,0,0,0
1992,16,7.77,7.77,50,30.68,0,16,46.68
1993,16,27.47,26.99,75,0,0,0,0
1994,16,29.43,50,75,0,0,0,0
1995,16,17.01,32.44,67.38,0,0,0,0
1996,16,64.12,39.12,75,0,0,0,0
1997,16,24.69,36.74,75,0,0,0,0
1998,16,14.22,30.95,75,0,0,0,0
1999,16,25,50,75,0,0,0,0
2000,16,27.54,50,75,0,0,0,0
2001,16,29.6,25,50,0,0,16,16
2002,16,5.04,13,45.21,99.06,0,35.17,134.23
2003,16,30.2,43.17,61.17,0,0,0,0
2004,16,9.65,28.15,68.02,0,0,0,0
2005,16,12.48,30.05,75,0,0,0,0
2006,16,25,50,75,0,0,0,0
2007,16,14.77,28.49,75,0,0,0,0
2008,16,21.27,25,72.56,0,0,0,0
2009,16,11.97,36.97,75,0,0,0,0
2010,16,39.84,43.09,75,0,0,0,0
2011,16,29.76,19.92,57.72,0,0,0,0
2012,16,8.12,32.01,73.89,21.88,0,0,21.88
2013,16,17.54,35.83,68.51,0,0,0,0
2014,16,6.01,29.5,67.44,74.71,0,0,74.71
2015,16,6.81,18.18,45.69,54.73,0,33.23,87.96
2016,16,28.11,50,75,0,0,0,0
2017,16,20.11,35.44,61.16,0,0,0,0
2018,16,36.39,35.79,69.12,0,0,0,0
2019,16,41.48,33.78,71.87,0,0,0,0
