"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.3742884,0.2120862,0.2739147,0.3462561,0.2494896,0.2609585,0.267562,0.2337231,0.2689829,0.2839687,0.2640344,0.2129272,0.279068,0.1545363,0.2354554,0.3820907,0.2796234,0.2033253,0.2287669,0.2278766,0.2317791,0.1706214,0.1845732,0.2343386,0.243372,0.2225847
"Aug",0.4411293,0.2487535,0.3045772,0.2991102,0.1941082,0.3951247,0.2881566,0.4816843,0.3114947,0.3085736,0.35866,0.3232135,0.2242831,0.3665108,0.4574261,0.4409892,0.233372,0.4533611,0.3902508,0.423528,0.5208212,0.3613217,0.4105751,0.3780237,0.3967519,0.3139368
"Sep",0.4750523,0.3408525,0.3359308,0.3109865,0.2925018,0.4859577,0.3805875,0.5874139,0.2526648,0.2803127,0.408555,0.5383099,0.3074953,0.5784376,0.5070284,0.4961976,0.2048238,0.6191344,0.5586368,0.5065691,0.5959302,0.446724,0.4786675,0.3752069,0.4312613,0.5046238
"Oct",0.4437064,0.4544618,0.3507525,0.3748146,0.3430169,0.4306131,0.3897641,0.3795688,0.3654435,0.3539644,0.4005533,0.4907491,0.3744455,0.4865708,0.3716847,0.4425396,0.34466,0.4888731,0.5040271,0.5239278,0.4601102,0.4343268,0.4424687,0.3582956,0.3760287,0.4351108
"Nov",0.384294,0.4985413,0.4015627,0.3811969,0.3448834,0.3357452,0.3579733,0.3808035,0.3379456,0.3568292,0.3864801,0.4266199,0.3710787,0.3489523,0.310848,0.4481687,0.4950561,0.4618956,0.4752795,0.5452976,0.3900687,0.320337,0.3438847,0.2885885,0.3294584,0.368877
"Dec",0.3406487,0.5108829,0.35286,0.4053701,0.3224341,0.3393701,0.3213771,0.3505097,0.320913,0.3606782,0.3940088,0.3822416,0.3363144,0.3020261,0.2975693,0.4427951,0.5121886,0.369912,0.3589467,0.5306544,0.3285879,0.2544043,0.3806813,0.2564189,0.3202694,0.3188531
"Jan",,0.3205263,0.450909,0.3207079,0.4446636,0.2801169,0.3075393,0.3276134,0.3246475,0.4777502,0.3278694,0.3154359,0.3922094,0.3054544,0.2457514,0.3598478,0.3285761,0.3868015,0.3424496,0.3120877,0.4483395,0.349126,0.3686424,0.3023766,0.2835188,0.2548141
"Feb",,0.3093658,0.3303439,0.3657603,0.2540011,0.2414155,0.2562888,0.344831,0.3258874,0.3783094,0.3280766,0.3468477,0.3690906,0.2790967,0.2582119,0.3284547,0.3240526,0.3615682,0.3465405,0.3039328,0.3369622,0.4524495,0.2892474,0.3027354,0.3054115,0.1976017
"Mar",,0.3991756,0.2596275,0.3710227,0.220431,0.3786313,0.3266387,0.468178,0.3557799,0.5394068,0.4379499,0.488161,0.4993249,0.2722374,0.3877701,0.2970238,0.2425164,0.3879971,0.2821035,0.2619577,0.3208138,0.3587629,0.3016482,0.2433739,0.2798355,0.2084419
"Apr",,0.4232232,0.420457,0.3689004,0.3331227,0.529461,0.5913459,0.3904207,0.5430024,0.4662614,0.5395046,0.4002873,0.3491588,0.3582946,0.4396673,0.3949962,0.3273409,0.3641771,0.2915197,0.2447284,0.40857,0.3657446,0.3213052,0.2912946,0.275658,0.4015871
"May",,0.4614588,0.4491309,0.3953781,0.5710599,0.4882105,0.4796787,0.3827162,0.5284346,0.3653668,0.4043829,0.4020572,0.5273859,0.3167371,0.4101906,0.4247994,0.2564486,0.3669966,0.2162619,0.3149685,0.3013983,0.2782859,0.3808868,0.3290348,0.3408722,0.3836983
"Jun",,0.3187509,0.4401569,0.4002812,0.3944446,0.346715,0.4027857,0.2585951,0.3133245,0.2606533,0.3600137,0.3041331,0.4204841,0.1982447,0.2779776,0.4667507,0.2324385,0.2329289,0.1950054,0.2516429,0.194162,0.1588021,0.1988093,0.1966025,0.2545936,0.2060389
