"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",11.87932,3.007141,2.185585,5.793156,8.686301,3.854978,6.251998,4.934588,10.05104,24.75687,3.710682
"Feb",12.65087,3.05108,3.452968,4.144019,8.156427,1.955082,9.064186,6.705264,5.486448,13.9734,13.71649
"Mar",8.226269,2.149729,4.104472,9.583997,8.748748,4.679244,9.000019,12.30204,7.134963,12.1766,20.09816
"Apr",25.53594,9.160081,16.52129,19.14429,13.78965,31.60904,19.9232,23.30704,11.91855,30.38754,19.3701
"May",16.77023,13.00288,8.903228,26.85612,22.6452,23.55072,15.90643,24.27106,19.25206,37.9846,34.03764
"Jun",11.26297,10.59471,6.114701,11.24414,16.84534,11.63941,10.93513,17.23386,19.46559,18.54412,20.17975
"Jul",42.38525,25.88833,32.03032,31.27785,31.35387,32.41092,32.15836,27.72967,25.96245,34.69727,29.61585
"Aug",59.82141,46.2723,43.29578,63.18665,55.21801,56.71548,58.36832,57.64326,43.90152,61.43095,52.88971
"Sep",41.52499,33.03566,27.97612,46.37324,31.14626,33.47143,38.14948,48.77126,34.28016,40.68662,44.48936
"Oct",11.35806,10.94249,8.477609,17.87144,9.307493,12.03814,20.4805,32.40504,11.24284,16.6922,22.88633
"Nov",4.376016,23.01976,2.911581,8.130607,15.27098,8.447956,9.231733,15.39516,10.53856,8.559194,12.13622
"Dec",1.735726,6.377222,9.077859,5.34126,14.21097,3.671808,4.421817,12.25915,11.23836,8.496815,6.388622
