"year","MIXEDET"
1983,15.6926556558756
1984,13.6456978682356
1985,13.8714361599338
1986,18.7992413319068
1987,20.5382918212539
1988,7.98236433261684
1989,18.9214178205201
1990,11.5062437484681
1991,14.9117380590239
1992,17.7833720463742
1993,18.2002497405912
1994,8.10470858155388
1995,16.6095396399564
1996,22.1104409196641
1997,22.1346923520719
1998,20.6441485855684
1999,19.9715706058235
2000,15.57132
2001,18.19155
2002,13.18854
2003,19.53196
2004,20.34749
2005,23.49025
2006,21.22717
2007,26.38774
2008,11.12939
2009,14.29134
2010,22.85062
2011,16.45361
2012,16.20762
2013,23.2646923410886
2014,17.29566
