"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",20.63299,15.66141,17.99452,20.46141,24.20244,20.36979,19.87592,27.82025,18.99475,20.87722,28.34816,21.90321,22.11598,26.6301,23.04147,28.76472,28.37332,28.64489,29.47904,24.24767,26.33453,23.82444,19.09491,22.58896,28.05958,22.39412,22.43645,23.52253,22.02618,24.61051,23.90284
"Feb",24.43026,17.90489,20.03083,21.81566,22.9492,22.66414,19.073,26.01699,22.63381,20.53623,32.92113,21.98813,24.61656,32.63604,24.07587,28.60464,28.70332,27.99754,29.79496,31.48946,30.08533,25.45761,25.33577,23.55064,25.7173,26.90385,23.86323,22.0451,26.17459,26.9394,25.34519
"Mar",33.95171,26.05776,30.1295,32.54117,33.40528,30.8367,33.84814,39.34648,32.18899,31.87605,44.59566,28.65489,38.65805,35.87761,29.08299,37.92932,38.04657,37.31998,37.99003,43.01121,40.32311,34.05428,36.33319,35.15642,36.8051,34.26734,32.2645,31.50172,31.71795,35.04656,36.43036
"Apr",38.56744,32.78515,38.17395,34.71193,39.5252,36.21315,39.98812,40.71843,40.68987,38.00497,42.10321,35.89186,45.92387,44.15724,32.62856,46.0103,41.44653,41.21557,47.74305,46.01183,42.81697,38.81736,43.85581,45.06852,41.49024,35.67647,37.92518,47.06371,40.14312,46.08991,43.14917
"May",45.16474,34.73454,45.07171,52.44294,53.12298,45.00037,50.14182,42.95306,43.9823,46.73205,54.3304,42.04601,50.70552,53.74206,48.38778,45.81073,45.85863,41.90749,48.63145,45.02898,51.98722,48.07933,53.16602,53.74657,43.07031,39.47961,42.67114,47.64199,46.89256,50.24166,40.41483
"Jun",39.93409,29.81147,38.76068,31.97543,47.03255,31.65884,38.62,32.24211,35.11431,36.56038,41.43647,31.51132,45.26435,39.81486,44.03269,43.02731,35.24329,38.92371,40.24791,39.69818,41.8873,36.4939,43.48019,39.74277,34.75159,33.19631,35.90942,37.61414,43.05849,45.87725,36.0863
"Jul",36.60559,33.55517,33.89157,41.23509,43.82666,25.11555,41.41716,30.36691,35.44185,39.72122,40.34246,25.29787,37.97195,46.16951,46.20565,43.98441,42.98212,48.00444,47.08735,44.29452,38.30201,41.42458,42.48105,42.45447,47.19576,34.10537,35.96172,44.18232,50.03796,51.11454,47.8896
"Aug",30.65545,41.38291,41.00604,51.4749,48.60326,47.49975,39.99592,40.61004,47.5667,37.88765,46.46482,40.00134,58.88234,54.11661,53.81068,48.65374,59.73487,54.17208,56.68064,53.69409,45.46479,51.86006,51.7461,50.2144,59.93862,45.65284,46.88972,51.30075,52.45965,56.69331,58.06635
"Sep",40.19565,38.44584,45.04756,52.86323,48.27394,52.14537,38.73774,35.5533,42.36752,53.7901,48.92343,55.71104,58.33008,53.65834,50.9508,60.03123,57.1852,53.35444,62.94097,56.23318,55.64075,49.70925,48.91364,58.16417,55.98048,49.16293,53.10128,59.90361,55.92861,57.06354,60.33329
"Oct",30.38682,34.48341,41.18164,47.46179,42.03442,43.19658,42.32499,36.8263,42.80468,43.54176,41.7065,47.52957,48.31881,49.04689,41.21931,48.26314,46.19489,48.52731,51.42412,51.93114,48.94722,41.20741,44.30712,49.25911,48.26737,42.15574,39.971,53.77054,45.78622,44.95725,46.09438
"Nov",26.89697,24.21403,27.68057,31.55322,28.98562,30.05392,31.64459,23.89706,28.49181,31.85186,31.49817,31.47486,35.03793,31.04352,33.46765,36.98781,37.36033,37.75659,36.59558,32.27055,31.57231,30.42037,32.02916,35.37039,32.30662,30.54682,29.90734,33.1021,30.37927,30.65753,32.25706
"Dec",23.07056,18.99007,21.61067,24.62384,23.40432,20.56275,20.24719,21.05879,21.35849,26.78366,23.72771,24.91903,28.49433,28.05576,31.27722,29.1827,30.45074,30.17994,28.81919,22.86321,24.34014,20.95234,26.1424,29.89338,26.67778,25.48212,24.33504,27.50146,29.54889,23.59855,24.71092
