"year","MIXEDET"
1983,10.8955641572843
1984,16.6270089072768
1985,25.9983482816693
1986,34.7847615538458
1987,27.1914531454459
1988,28.8174044441239
1989,27.5979829424247
1990,19.9048923640811
1991,28.2691061771452
1992,29.3003378347738
1993,26.7326678234055
1994,34.8795909912936
1995,35.9837985040015
1996,37.0024384688441
1997,26.0510515113633
1998,35.9059118887357
1999,33.012270932679
2000,45.55208
2001,41.4445
2002,35.87894
2003,29.98126
2004,23.39669
2005,29.95575
2006,35.8577
2007,28.64651
2008,25.75878
2009,23.51016
2010,30.87558
2011,27.53737
2012,22.06579
2013,32.8716497057997
2014,48.77721
