"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,30.44,28.98,69.39,0,0,0,0
1984,16,6.99,9.3,48.59,50.25,0,45.26,95.51
1985,16,19.26,40.55,75,0,0,0,0
1986,16,33.82,50,75,0,0,0,0
1987,16,61.17,42.74,44.67,0,0,62.32,62.32
1988,16,36.79,25,75,0,0,0,0
1989,16,23.66,34.4,63.77,0,0,0,0
1990,16,18.43,18.43,50,0,0,39.13,39.13
1991,16,25.77,10.13,60.13,0,0,0,0
1992,16,0,4.69,54.69,100,0,18.76,118.76
1993,16,34.8,34.34,75,0,0,0,0
1994,16,54.38,49.64,75,0,0,0,0
1995,16,0,25,75,100,0,0,100
1996,16,68.43,50,63.77,0,0,0,0
1997,16,27.91,32.51,75,0,0,0,0
1998,16,32.31,50,75,0,0,0,0
1999,16,25.95,48.04,75,0,0,0,0
2000,16,25.69,44.6,71.29,0,0,0,0
2001,16,5.25,21.7,66.45,93.66,0,0,93.66
2002,16,2.48,8.61,58.61,100,0,1.69,101.69
2003,16,9.86,33.3,57.44,0,0,6.77,6.77
2004,16,20.78,22.08,51.3,0,0,33.48,33.48
2005,16,25,50,75,0,0,0,0
2006,16,23.18,42.74,45.28,0,0,59.64,59.64
2007,16,3.54,25,75,100,0,0,100
2008,16,2.11,25,75,100,0,0,100
2009,16,8.58,25.02,66.45,10.6,0,0,10.6
2010,16,56.1,33.48,58.48,0,0,2.28,2.28
2011,16,33.59,35.33,74.02,0,0,0,0
2012,16,25.33,45.85,75,0,0,0,0
2013,16,8,20.88,62.88,25.01,0,0,25.01
2014,16,25,44.96,64.13,0,0,0,0
2015,16,9.85,27.79,74,0,0,0,0
2016,16,44.73,50,75,0,0,0,0
2017,16,28.88,45.73,55.9,0,0,13.48,13.48
2018,16,35.19,41.77,62.39,0,0,0,0
2019,16,66.16,41.16,75,0,0,0,0
