"time","crop","value"
"1983","Barley",79
"1984","Barley",46
"1985","Barley",100
"1986","Barley",97
"1987","Barley",100
"1988","Barley",95
"1989","Barley",99
"1990","Barley",72
"1991","Barley",95
"1992","Barley",75
"1993","Barley",88
"1994","Barley",100
"1995","Barley",86
"1996","Barley",100
"1997","Barley",78
"1998","Barley",97
"1999","Barley",100
"2000","Barley",100
"2001","Barley",86
"2002","Barley",68
"2003","Barley",99
"2004","Barley",57
"2005","Barley",83
"2006","Barley",99
"2007","Barley",93
"2008","Barley",68
"2009","Barley",85
"2010","Barley",100
"2011","Barley",83
"2012","Barley",94
"2013","Barley",100
"2014","Barley",100
"2015","Barley",100
"2016","Barley",100
"2017","Barley",100
"2018","Barley",100
"1983","Maize",70
"1984","Maize",36
"1985","Maize",79
"1986","Maize",65
"1987","Maize",79
"1988","Maize",77
"1989","Maize",58
"1990","Maize",44
"1991","Maize",77
"1992","Maize",71
"1993","Maize",75
"1994","Maize",76
"1995","Maize",78
"1996","Maize",99
"1997","Maize",75
"1998","Maize",86
"1999","Maize",62
"2000","Maize",61
"2001","Maize",48
"2002","Maize",45
"2003","Maize",59
"2004","Maize",36
"2005","Maize",56
"2006","Maize",64
"2007","Maize",79
"2008","Maize",49
"2009","Maize",53
"2010","Maize",87
"2011","Maize",64
"2012","Maize",55
"2013","Maize",60
"2014","Maize",89
"2015","Maize",75
"2016","Maize",92
"2017","Maize",87
"2018","Maize",76
"1983","Sorghum",72
"1984","Sorghum",37
"1985","Sorghum",81
"1986","Sorghum",78
"1987","Sorghum",82
"1988","Sorghum",78
"1989","Sorghum",57
"1990","Sorghum",49
"1991","Sorghum",78
"1992","Sorghum",72
"1993","Sorghum",76
"1994","Sorghum",77
"1995","Sorghum",79
"1996","Sorghum",99
"1997","Sorghum",77
"1998","Sorghum",85
"1999","Sorghum",63
"2000","Sorghum",73
"2001","Sorghum",62
"2002","Sorghum",46
"2003","Sorghum",59
"2004","Sorghum",37
"2005","Sorghum",58
"2006","Sorghum",64
"2007","Sorghum",81
"2008","Sorghum",51
"2009","Sorghum",54
"2010","Sorghum",88
"2011","Sorghum",67
"2012","Sorghum",57
"2013","Sorghum",55
"2014","Sorghum",91
"2015","Sorghum",77
"2016","Sorghum",92
"2017","Sorghum",88
"2018","Sorghum",76
"1983","Teff",51
"1984","Teff",35
"1985","Teff",75
"1986","Teff",82
"1987","Teff",85
"1988","Teff",87
"1989","Teff",73
"1990","Teff",53
"1991","Teff",92
"1992","Teff",54
"1993","Teff",67
"1994","Teff",74
"1995","Teff",59
"1996","Teff",83
"1997","Teff",62
"1998","Teff",73
"1999","Teff",78
"2000","Teff",76
"2001","Teff",59
"2002","Teff",52
"2003","Teff",73
"2004","Teff",43
"2005","Teff",62
"2006","Teff",80
"2007","Teff",65
"2008","Teff",52
"2009","Teff",65
"2010","Teff",78
"2011","Teff",66
"2012","Teff",68
"2013","Teff",72
"2014","Teff",82
"2015","Teff",74
"2016","Teff",89
"2017","Teff",70
"2018","Teff",95
"1983","Wheat",50
"1984","Wheat",35
"1985","Wheat",74
"1986","Wheat",80
"1987","Wheat",84
"1988","Wheat",86
"1989","Wheat",72
"1990","Wheat",53
"1991","Wheat",90
"1992","Wheat",53
"1993","Wheat",66
"1994","Wheat",73
"1995","Wheat",58
"1996","Wheat",82
"1997","Wheat",61
"1998","Wheat",72
"1999","Wheat",77
"2000","Wheat",75
"2001","Wheat",58
"2002","Wheat",52
"2003","Wheat",72
"2004","Wheat",43
"2005","Wheat",61
"2006","Wheat",79
"2007","Wheat",64
"2008","Wheat",52
"2009","Wheat",64
"2010","Wheat",77
"2011","Wheat",64
"2012","Wheat",67
"2013","Wheat",71
"2014","Wheat",81
"2015","Wheat",73
"2016","Wheat",88
"2017","Wheat",69
"2018","Wheat",93
