"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",11.7628,12.24518,13.0804,14.15,13.85193,14.60196,13.48932,14.76166,10.98911,13.23187,14.71699,15.99927,15.18656,16.24783,16.24357,14.25519,17.47141,16.15903,15.23411,15.63679,14.64038,15.56523,14.04643,14.92633,15.29057,14.29288,15.38727,16.81846,15.23238,15.38912,16.2622
"Feb",13.84799,9.926534,12.25608,11.24124,13.29898,13.52248,17.3572,11.18133,11.38058,14.22693,12.86139,15.36491,12.66365,17.9213,15.71439,14.72816,16.05549,18.18,16.48178,19.82755,14.51424,15.29328,14.77454,15.94254,16.17222,16.026,15.35633,18.29805,16.8072,16.54215,17.20403
"Mar",17.06166,18.54325,16.75549,18.64943,17.19835,16.52303,20.61536,16.54352,18.97899,20.00914,21.04018,24.37477,21.97616,22.80597,16.89331,18.87247,24.2792,23.48495,19.59928,23.40754,20.83219,21.73807,22.66949,21.52399,23.47913,22.00525,22.56075,22.86378,23.88428,25.00458,26.37424
"Apr",21.4928,23.28627,18.87209,21.19798,21.36277,19.40232,21.16649,16.5693,22.88678,20.78056,23.69883,24.31096,27.25791,25.6056,21.2012,21.57557,26.22479,24.26507,23.93381,24.55534,24.76397,25.23722,26.48766,22.07452,25.65685,22.80875,25.53987,25.35186,27.97067,28.83514,29.74656
"May",24.98761,23.45029,28.01894,29.8167,31.95291,29.56107,26.7695,26.89284,28.44632,29.65028,33.82927,30.53949,29.1677,37.44363,27.76199,29.46232,33.82352,33.09597,30.55597,31.13826,31.0935,32.65361,31.64041,34.77758,30.21103,29.66025,30.21665,30.91854,30.17662,33.52575,28.67161
"Jun",28.90228,23.52799,31.48041,27.35642,35.97485,30.18431,30.96447,26.56832,32.86311,30.24327,32.44025,29.57175,32.82241,33.71332,35.02975,30.10986,32.06074,34.15746,32.38917,32.50087,30.83773,27.90387,31.25586,32.53408,30.02861,30.1663,30.47204,32.33454,32.24197,33.099,28.53379
"Jul",38.06099,38.50385,37.37754,41.7369,44.57079,24.6686,42.33127,34.28416,38.679,35.62311,39.72441,28.07183,29.75587,45.40317,42.52391,38.88973,43.46667,47.38501,44.75738,40.8045,36.9218,39.40259,38.10647,35.30344,37.77092,36.65472,33.92335,39.96167,42.01998,46.4775,41.58805
"Aug",37.31884,41.76348,46.50466,55.71251,45.41581,41.83619,36.77437,51.61023,42.74005,30.3214,48.95319,48.4576,58.62056,49.55514,55.4864,42.76276,58.7206,54.4305,53.67536,48.14002,46.79068,51.93312,45.75682,47.87221,51.37284,49.95099,51.6385,57.97406,49.01381,58.38855,49.88115
"Sep",45.91229,42.2855,46.64917,46.91508,47.55457,45.57795,40.09597,38.90395,44.79945,48.18076,48.30254,46.3647,51.17424,50.88931,50.26307,54.00454,51.43085,45.74982,55.68351,49.6955,53.76786,48.27594,46.44591,49.91568,49.77613,47.55378,54.29908,55.44101,48.36333,50.12828,54.52078
"Oct",32.44943,33.17513,32.8817,37.22598,32.25364,31.66381,35.00055,32.84284,34.04691,30.76013,31.48517,37.28577,37.31612,33.68929,33.94629,39.78187,38.80407,37.02025,38.42017,37.71865,38.73262,35.39441,35.27287,40.23016,39.23539,32.07785,34.8611,41.57707,40.21676,39.38174,36.377
"Nov",20.48527,18.32983,22.73782,22.26512,22.70477,22.16612,20.72929,16.74799,18.56372,22.6576,24.21568,24.51981,22.26796,21.85915,26.66677,25.2361,27.02558,26.08038,25.48141,22.16174,23.11967,21.74483,24.03183,24.99219,25.16128,22.6342,22.88471,24.081,21.83337,24.00986,24.0399
"Dec",16.7573,13.46673,16.68091,15.64115,14.89065,14.33297,14.00546,13.92118,15.42259,17.41552,18.28281,17.13062,17.52652,18.2275,18.52064,18.89329,22.03909,19.79926,19.81595,19.32046,15.00303,16.31467,17.43377,17.74602,18.15507,17.25042,17.30311,17.94973,18.20023,17.66593,16.47572
