"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.2723432,0.1779669,0.1759298,0.2053645,0.2681829,0.3180513,0.2692429,0.1723214,0.2396966,0.2842579,0.1686254,0.2442817,0.2727185,0.2382947,0.264619,0.3526489,0.3551058,0.218134,0.2369506,0.2681852,0.3178698,0.2605072,0.2378873,0.2650201,0.3108577,0.2879741
"Aug",0.4478577,0.3293635,0.2978428,0.3473693,0.3565186,0.4533609,0.2992535,0.3473645,0.3982557,0.3919362,0.2892902,0.3480488,0.3635237,0.4143316,0.4735756,0.3943315,0.4263396,0.3524705,0.42272,0.3711663,0.4302523,0.4215512,0.3905743,0.4073778,0.4153484,0.4102936
"Sep",0.5060478,0.4078663,0.4371125,0.4025173,0.3932437,0.4874433,0.4387053,0.4574935,0.4186148,0.355917,0.3969221,0.4589007,0.3491437,0.5737088,0.4846893,0.3954244,0.4187571,0.5189782,0.4956599,0.4199258,0.5390595,0.4854296,0.486354,0.4541882,0.4643163,0.4760173
"Oct",0.439495,0.4345841,0.4340996,0.3532656,0.3519589,0.369911,0.3793195,0.3535926,0.3921464,0.3460764,0.3265446,0.4163615,0.3721896,0.5474848,0.4073553,0.353211,0.3583778,0.4648016,0.4070995,0.3753687,0.4376668,0.387809,0.4152674,0.3831172,0.3698551,0.3938175
"Nov",0.337036,0.3527265,0.363078,0.2666852,0.2953085,0.312487,0.3267723,0.3334622,0.3270979,0.286698,0.2835597,0.3504034,0.3252934,0.3991266,0.3365906,0.3031783,0.3577729,0.4077795,0.4011948,0.4133971,0.3974226,0.3054668,0.3552204,0.3035872,0.3070453,0.323478
"Dec",0.290145,0.3068539,0.2934144,0.2440081,0.2681106,0.279829,0.261385,0.3339931,0.2620135,0.2594669,0.2565951,0.2948011,0.3118695,0.3220432,0.2805818,0.2575753,0.3627275,0.3513176,0.3162036,0.3626679,0.3445261,0.2815355,0.3216904,0.2774325,0.2789422,0.2881371
"Jan",,0.2295166,0.2625483,0.2522662,0.2474327,0.2415588,0.2533277,0.2463717,0.2830434,0.2289359,0.2250617,0.2199201,0.2708476,0.2767173,0.2877972,0.2495059,0.2350432,0.3002051,0.3004544,0.2836043,0.3254142,0.2986991,0.2751915,0.2639363,0.2684276,0.2506489
"Feb",,0.2222178,0.2351791,0.251987,0.2083609,0.2141756,0.2232911,0.2272064,0.2334281,0.2003008,0.2144895,0.2049152,0.2277386,0.2189392,0.2354143,0.2294027,0.2301272,0.2537051,0.2852436,0.2522328,0.2709368,0.2825382,0.2389746,0.2463286,0.2395187,0.2152418
"Mar",,0.2159953,0.1889926,0.2192839,0.2046394,0.2098795,0.1997927,0.218235,0.2174573,0.2083712,0.2052283,0.2056588,0.205211,0.2100351,0.2284529,0.2070501,0.21544,0.2311585,0.2406208,0.2356886,0.2401665,0.2402301,0.2419584,0.2351582,0.2384191,0.2141302
"Apr",,0.2466649,0.1883597,0.2001839,0.1923695,0.1807042,0.2048067,0.1915929,0.223017,0.2031561,0.1911961,0.193243,0.1931338,0.1905011,0.233148,0.2484872,0.2393105,0.2286206,0.2033945,0.2015998,0.2370039,0.2864159,0.1989823,0.2251529,0.2380082,0.2212154
"May",,0.2282978,0.199028,0.1748505,0.1670345,0.2040772,0.1863107,0.164088,0.1910746,0.1857552,0.1845314,0.1972223,0.2429792,0.181492,0.2321559,0.2524559,0.2063524,0.2429801,0.1959749,0.2550546,0.2285554,0.2517269,0.1814682,0.2205506,0.2198256,0.2348849
"Jun",,0.1872066,0.2455382,0.1525771,0.2046624,0.1972618,0.2233677,0.1574938,0.1750909,0.1659865,0.1899261,0.1759728,0.2360952,0.1455782,0.2149275,0.2762405,0.2455535,0.2116897,0.1809488,0.2094931,0.2307993,0.2122121,0.1736989,0.1894086,0.2131758,0.2246296
